省份编码,省份,年份,货运量(万吨),铁路货运量(万吨),国家铁路货运量(万吨),地方铁路货运量(万吨),合资铁路货运量(万吨),公路货运量(万吨),水运货运量(万吨)
110000,北京市,2019,22808.3839134558,483.6253,,,,22324.7586134558,
110000,北京市,2018,20873.2823,595.6692,,,,20277.6131,
110000,北京市,2017,20110.0358,736.3458,,,,19373.69,0
110000,北京市,2016,20733.9835,761.9835,,,,19972.0,0
110000,北京市,2015,20078.0,1034.0,,,,19044.0,
110000,北京市,2014,26550.6714635619,1134.67146356189,1132.2229,2.44856356188725,,25416.0,
110000,北京市,2013,25747.6184570956,1096.61845709556,1093.6523,2.96615709555802,,24651.0,0
110000,北京市,2012,26161.9098,1236.9098,1232.2401,4.6697,,24925.0,
110000,北京市,2011,24663.4513,1387.4513,1379.9336,7.5177,,23276.0,
110000,北京市,2010,21762.0,1578.0,1572.0,6.0,,20184.0,
110000,北京市,2009,20469.7744,1716.7744,1634.8475,81.9269,,18753.0,
110000,北京市,2008,20525.3568,1836.3568,1732.7994,103.5574,,18689.0,
110000,北京市,2007,19877.0,2005.3306,1925.2083,80.1223,,17872.0,
110000,北京市,2006,33008.0,2055.0,1956.0,99.0,,30953.0,
110000,北京市,2005,32113.0,2063.0,1976.0,87.0,,30050.0,
110000,北京市,2004,31321.0,2065.0,1959.0,106.0,,29256.0,0
110000,北京市,2003,30729.0,2368.0,2265.0,103.0,,28361.0,
110000,北京市,2002,30799.0,2424.0,2348.0,76.0,,28375.0,
110000,北京市,2001,30608.0,2601.0,2505.0,96.0,,28007.0,
110000,北京市,2000,30714.0,2704.0,2612.0,92.0,,28010.0,
120000,天津市,2019,50093.2902604368,9888.1823,,,,31250.1881604368,8954.9198
120000,天津市,2018,52220.6512,9248.5672,,,,34711.1446,8260.9394
120000,天津市,2017,51800.4525,8735.7762,,,,34720.0,8344.6763
120000,天津市,2016,50505.6053,8150.0652,,,,32841.0,9514.5401
120000,天津市,2015,48779.0,8378.0,,,,30551.0,9850
120000,天津市,2014,49753.1966,8873.8766,8873.8766,,,31130.0,9749.32
120000,天津市,2013,45232.967,8348.967,8348.967,,,28206.0,8678
120000,天津市,2012,46015.2024,7909.2024,7909.2024,,,27735.0,10371
120000,天津市,2011,43600.9444,7345.9444,7345.9322,,,23505.0,12750
120000,天津市,2010,40013.0,7242.0,7240.0,,3,20855.0,11916
120000,天津市,2009,42323.9423,11262.9423,4141.8563,7121.086,,19800.0,11261
120000,天津市,2008,34113.5002,12209.5002,3903.2944,8306.2058,,18160.0,3744
120000,天津市,2007,50261.0,11328.4009,3740.5922,7587.8087,,23500.0,15433
120000,天津市,2006,41939.0,8410.0,3410.0,5000.0,,20290.0,13239
120000,天津市,2005,39219.0,6810.0,3344.0,3466.0,,19850.0,12559
120000,天津市,2004,36237.0,6113.0,3005.0,3108.0,,19650.0,10474
120000,天津市,2003,32014.0,5664.0,2658.0,3006.0,,20072.0,6278
120000,天津市,2002,30052.0,4519.0,2516.0,2003.0,,19554.0,5979
120000,天津市,2001,27988.0,3727.0,2219.0,1508.0,,19382.0,4879
120000,天津市,2000,26026.0,3078.0,2007.0,1071.0,,18764.0,4184
130000,河北省,2019,242444.540779274,26823.2085,,,,211461.310179274,4160.0221
130000,河北省,2018,249322.6953,19637.3348,,,,226333.5694,3351.7911
130000,河北省,2017,228853.6812,17100.2483,,,,207340.2652,4413.1677
130000,河北省,2016,210585.9416,16313.1683,,,,189822.12,4450.6533
130000,河北省,2015,198024.0,17843.0,,,,175637.0,4544
130000,河北省,2014,209946.173836438,20618.8718364381,17588.7609,2712.33503643811,317.7759,185286.479,4040.823
130000,河北省,2013,198009.142042904,22469.1420429044,19353.74,2844.77874290444,270.6233,172492.0,3048
130000,河北省,2012,219130.2797,21010.2797,17865.5784,3034.0613,110.64,195530.0,2590
130000,河北省,2011,189798.7382,20446.7382,18050.3066,2376.1835,20.2481,166680.0,2672
130000,河北省,2010,156596.0,18508.0,16482.0,2004.0,22,135938.0,2150
130000,河北省,2009,123065.3569,15483.3569,14118.3977,1336.9305,28.0287,106530.0,1052
130000,河北省,2008,106921.8459,14749.8459,13361.3403,1376.2606,12.245,91342.0,830
130000,河北省,2007,96890.5685,14905.5685,13421.9276,1241.5564,242.0845,79822.0,2163
130000,河北省,2006,90831.0,14790.0,13432.0,1146.0,212,73263.0,2778
130000,河北省,2005,88342.0,17151.0,13360.0,2439.0,1352,68652.0,2539
130000,河北省,2004,83672.0,15744.0,13712.0,1909.0,123,66227.0,1701
130000,河北省,2003,77089.0,14347.0,12831.0,1486.0,30,61570.0,1172
130000,河北省,2002,82226.0,14466.0,12639.0,1497.0,330,66655.0,1105
130000,河北省,2001,78886.0,14245.0,12837.0,1408.0,,63696.0,945
130000,河北省,2000,75604.0,12711.0,11397.0,1314.0,,62321.0,572
140000,山西省,2019,192191.654132166,91321.1529,,,,100846.654732166,23.8465
