省份编码,省份,年份,年末常住人口(万人),城镇人口(万人),乡村人口(万人)
110000,北京市,2019,2154,1865,289
110000,北京市,2018,2154,1863.21,290.79
110000,北京市,2017,2170.7,1877.6555,293.0445
110000,北京市,2016,2173,1879.645,293.355
110000,北京市,2015,2170.5,1877.4825,293.0175
110000,北京市,2014,2151.6,1857.9066,293.6934
110000,北京市,2013,2114.8,1825.0724,289.7276
110000,北京市,2012,2069.3,1783.7366,285.5634
110000,北京市,2011,2018.6,1740.0332,278.5668
110000,北京市,2010,1961.9,1686.43853895371,275.461461046286
110000,北京市,2009,1860,1581,279
110000,北京市,2008,1771,1503.579,267.421
110000,北京市,2007,1676,1416.22,259.78
110000,北京市,2006,1601,1350.1233,250.8767
110000,北京市,2005,1538,1286.0756,251.9244
110000,北京市,2004,1493,,
110000,北京市,2003,1456,,
110000,北京市,2002,1423,,
110000,北京市,2001,1385,,
110000,北京市,2000,1364,,
120000,天津市,2019,1562,1304,258
120000,天津市,2018,1560,1297.14,262.86
120000,天津市,2017,1557,1291.2201,265.7799
120000,天津市,2016,1562,1295.3666,266.6334
120000,天津市,2015,1546.95,1278.39948,268.55052
120000,天津市,2014,1516.81,1247.879587,268.930413
120000,天津市,2013,1472.21,1207.359421,264.850579
120000,天津市,2012,1413.15,1152.423825,260.726175
120000,天津市,2011,1354.58,1090.4369,264.1431
120000,天津市,2010,1299.29,1033.585195,265.704805
120000,天津市,2009,1228.16,958.087616,270.072384
120000,天津市,2008,1176,908.2248,267.7752
120000,天津市,2007,1115,850.8565,264.1435
120000,天津市,2006,1075,814.0975,260.9025
120000,天津市,2005,1042.53,783.044283,259.485717
120000,天津市,2004,1024,,
120000,天津市,2003,1011,,
120000,天津市,2002,1007,,
120000,天津市,2001,1004.06,,
120000,天津市,2000,1001,,
130000,河北省,2019,7592,4374,3218
130000,河北省,2018,7556,4263.8508,3292.1492
130000,河北省,2017,7519.52,4136.487952,3383.032048
130000,河北省,2016,7470,3983.004,3486.996
130000,河北省,2015,7424.92,3811.211436,3613.708564
130000,河北省,2014,7383.75,3642.403875,3741.346125
130000,河北省,2013,7332.61,3528.451932,3804.158068
130000,河北省,2012,7287.51,3410.55468,3876.95532
130000,河北省,2011,7240.51,3301.67256,3938.83744
130000,河北省,2010,7193.6,3200.82201834862,3992.77798165138
130000,河北省,2009,7034.4,3077.17497867501,3957.22502132499
130000,河北省,2008,6988.82,2928.4251,4060.3949
130000,河北省,2007,6943.19,2794.7085,4148.4815
130000,河北省,2006,6897.86,2673.97,4223.89
130000,河北省,2005,6850.83,2582.16130736556,4268.66869263444
130000,河北省,2004,6809,,
130000,河北省,2003,6769,,
130000,河北省,2002,6735,,
130000,河北省,2001,6699.13,,
130000,河北省,2000,6674,,
140000,山西省,2019,3729,2221,1508
140000,山西省,2018,3718,2171.6838,1546.3162
140000,山西省,2017,3702,2122.7268,1579.2732
140000,山西省,2016,3682,2069.6522,1612.3478
140000,山西省,2015,3664.12,2016.365236,1647.754764
140000,山西省,2014,3647.96,1962.237684,1685.722316
140000,山西省,2013,3629.8,1907.82288,1721.97712
140000,山西省,2012,3610.83,1850.911458,1759.918542
140000,山西省,2011,3593.28,1785.141504,1808.138496
140000,山西省,2010,3574.11,1717.359855,1856.750145
140000,山西省,2009,3427.36,1576.242864,1851.117136
140000,山西省,2008,3410.64,1538.580625556,1872.059374444
140000,山西省,2007,3392.58,1493.74752089518,1898.83247910482
140000,山西省,2006,3374.55,1451.39396561999,1923.15603438001
140000,山西省,2005,3355.21,1412.80976853342,1942.40023146658
140000,山西省,2004,3335,,
140000,山西省,2003,3314,,
140000,山西省,2002,3294,,
140000,山西省,2001,3271.63,,
140000,山西省,2000,3247,,
150000,内蒙古自治区,2019,2540,1609,931
150000,内蒙古自治区,2018,2534,1589.0714,944.9286
150000,内蒙古自治区,2017,2529,1568.4858,960.5142
150000,内蒙古自治区,2016,2520,1541.988,978.012
150000,内蒙古自治区,2015,2511.04,1514.15712,996.88288
150000,内蒙古自治区,2014,2504.81,1490.612431,1014.197569
150000,内蒙古自治区,2013,2497.61,1466.346831,1031.263169
150000,内蒙古自治区,2012,2489.85,1437.63939,1052.21061
150000,内蒙古自治区,2011,2481.71,1405.144202,1076.565798
150000,内蒙古自治区,2010,2472.18,1372.0599,1100.1201
150000,内蒙古自治区,2009,2458.22,1312.68948,1145.53052
150000,内蒙古自治区,2008,2444.33,1263.963043,1180.366957
150000,内蒙古自治区,2007,2428.83,1218.058245,1210.771755
150000,内蒙古自治区,2006,2415.05,1174.68032,1240.36968
150000,内蒙古自治区,2005,2403.11,1134.26792,1268.84208
150000,内蒙古自治区,2004,2392.66471499914,,
150000,内蒙古自治区,2003,2385.77647666609,,
150000,内蒙古自治区,2002,2384.05441708283,,
150000,内蒙古自治区,2001,2381.45410711211,,
150000,内蒙古自治区,2000,2372,,
210000,辽宁省,2019,4352,2964,1388
210000,辽宁省,2018,4359,2968.479,1390.521
210000,辽宁省,2017,4369,2948.6381,1420.3619
210000,辽宁省,2016,4378,2949.4586,1428.5414
210000,辽宁省,2015,4382.4,2951.5464,1430.8536
210000,辽宁省,2014,4391,2944.1655,1446.8345
210000,辽宁省,2013,4390,2917.155,1472.845
210000,辽宁省,2012,4389,2881.3785,1507.6215
210000,辽宁省,2011,4383,2807.3115,1575.6885
210000,辽宁省,2010,4375,2717.00078994237,1657.99921005763
210000,辽宁省,2009,4341,2619.7935,1721.2065
210000,辽宁省,2008,4315,2591.1575,1723.8425
210000,辽宁省,2007,4298,2544.416,1753.584
210000,辽宁省,2006,4271,2519.4629,1751.5371
210000,辽宁省,2005,4221,2477.727,1743.273
210000,辽宁省,2004,4217,,
210000,辽宁省,2003,4210,,
210000,辽宁省,2002,4203,,
210000,辽宁省,2001,4194,,
210000,辽宁省,2000,4184,,
220000,吉林省,2019,2691,1568,1123
220000,吉林省,2018,2704,1555.6112,1148.3888
220000,吉林省,2017,2717,1539.1805,1177.8195
220000,吉林省,2016,2733,1529.6601,1203.3399
220000,吉林省,2015,2753.32,1522.861292,1230.458708
220000,吉林省,2014,2752.38,1508.579478,1243.800522
220000,吉林省,2013,2751.28,1491.19376,1260.08624
220000,吉林省,2012,2750.4,1476.9648,1273.4352
220000,吉林省,2011,2749.41,1468.18494,1281.22506
220000,吉林省,2010,2746.6,1465.30732731987,1281.29267268013
220000,吉林省,2009,2739.55,1460.72806,1278.82194
220000,吉林省,2008,2734.21,1454.873141,1279.336859
220000,吉林省,2007,2729.82,1451.172312,1278.647688
220000,吉林省,2006,2723,1442.3731,1280.6269
220000,吉林省,2005,2716,1426.4432,1289.5568
220000,吉林省,2004,2709,,
220000,吉林省,2003,2704,,
220000,吉林省,2002,2699,,
220000,吉林省,2001,2690.8,,
220000,吉林省,2000,2682,,
230000,黑龙江省,2019,3751,2284,1467
230000,黑龙江省,2018,3773,2267.573,1505.427
230000,黑龙江省,2017,3788.7,2250.4878,1538.2122
230000,黑龙江省,2016,3799,2249.008,1549.992
230000,黑龙江省,2015,3811.7,2241.2796,1570.4204
230000,黑龙江省,2014,3833,2223.5233,1609.4767
230000,黑龙江省,2013,3835.02,2201.30148,1633.71852
230000,黑龙江省,2012,3834.04,2181.56876,1652.47124
230000,黑龙江省,2011,3834.01,2166.21565,1667.79435
230000,黑龙江省,2010,3833.35,2133.67216961444,1699.67783038556
230000,黑龙江省,2009,3826.01,2123.43555,1702.57445
230000,黑龙江省,2008,3825.04,2119.07216,1705.96784
230000,黑龙江省,2007,3824.03,2061.11616971757,1762.91383028243
230000,黑龙江省,2006,3823.01,2045.31035,1777.69965
230000,黑龙江省,2005,3819.95,2028.39345,1791.55655
230000,黑龙江省,2004,3817,,
230000,黑龙江省,2003,3815,,
230000,黑龙江省,2002,3813,,
230000,黑龙江省,2001,3811,,
230000,黑龙江省,2000,3807,,
310000,上海市,2019,2428,2144,284
310000,上海市,2018,2424,2135.544,288.456
310000,上海市,2017,2418,2120.586,297.414
310000,上海市,2016,2420,2127.18,292.82
310000,上海市,2015,2415.27,2115.77652,299.49348
310000,上海市,2014,2425.68,2173.40928,252.27072
310000,上海市,2013,2415.15,2163.9744,251.1756
310000,上海市,2012,2380.43,2125.72399,254.70601
310000,上海市,2011,2347.46,2096.28178,251.17822
310000,上海市,2010,2302.66,2056.3689406449,246.291059355103
310000,上海市,2009,2210.28412774259,1958.31173717993,251.972390562655
310000,上海市,2008,2140.6434637898,1896.61010891776,244.033354872037
310000,上海市,2007,2063.59217829501,1830.40626214767,233.185916147336
310000,上海市,2006,1964.10919638376,1742.1648571924,221.944339191365
310000,上海市,2005,1890.25541565446,1684.02854980656,206.226865847901
310000,上海市,2004,1834.98,,
310000,上海市,2003,1765.84,,
310000,上海市,2002,1712.97,,
310000,上海市,2001,1668.33,,
310000,上海市,2000,1609,,
320000,江苏省,2019,8070,5698,2372
320000,江苏省,2018,8051,5604.3011,2446.6989
320000,江苏省,2017,8029.3,5520.94668,2508.35332
320000,江苏省,2016,7999,5416.9228,2582.0772
320000,江苏省,2015,7976.3,5305.83476,2670.46524
320000,江苏省,2014,7960.06,5190.755126,2769.304874
320000,江苏省,2013,7939.49,5090.007039,2849.482961
320000,江苏省,2012,7919.98,4989.5874,2930.3926
320000,江苏省,2011,7898.80066823418,4889.35761363696,3009.44305459722
320000,江苏省,2010,7869.34,4767.246172,3102.093828
320000,江苏省,2009,7810.269,4342.509564,3467.759436
320000,江苏省,2008,7762.482,4215.027726,3547.454274
320000,江苏省,2007,7723.128,4108.704096,3614.423904
320000,江苏省,2006,7655.664,3973.289616,3682.374384
320000,江苏省,2005,7588.23828705479,3832.06033496267,3756.17795209212
320000,江苏省,2004,7523,,
320000,江苏省,2003,7458,,
320000,江苏省,2002,7406,,
320000,江苏省,2001,7359,,
320000,江苏省,2000,7327,,
330000,浙江省,2019,5850,4095,1755
330000,浙江省,2018,5737,3952.793,1784.207
330000,浙江省,2017,5657,3846.76,1810.24
330000,浙江省,2016,5590,3745.3,1844.7
330000,浙江省,2015,5539,3644.662,1894.338
330000,浙江省,2014,5508,3573.0396,1934.9604
330000,浙江省,2013,5498,3518.72,1979.28
330000,浙江省,2012,5477,3461.464,2015.536
330000,浙江省,2011,5463,3403.449,2059.551
330000,浙江省,2010,5446.51,3356.139462,2090.370538
330000,浙江省,2009,5275.5,3054.5145,2220.9855
330000,浙江省,2008,5212.4,3002.3424,2210.0576
330000,浙江省,2007,5154.9,2948.6028,2206.2972
330000,浙江省,2006,5071.8,2865.567,2206.233
330000,浙江省,2005,4990.9,2795.90218,2194.99782
330000,浙江省,2004,4925.2,,
330000,浙江省,2003,4856.8,,
330000,浙江省,2002,4776.4,,
330000,浙江省,2001,4728.8,,
330000,浙江省,2000,4680,,
340000,安徽省,2019,6366,3553,2813
340000,安徽省,2018,6324,3458.5956,2865.4044
340000,安徽省,2017,6255,3345.7995,2909.2005
340000,安徽省,2016,6196,3221.3004,2974.6996
340000,安徽省,2015,6143.6,3102.518,3041.082
340000,安徽省,2014,6082.9,2989.74535,3093.15465
340000,安徽省,2013,6029.8,2885.86228,3143.93772
340000,安徽省,2012,5988,2784.42,3203.58
