年份,原煤开采累计新增生产能力,焦炭累计新增生产能力,天然原油开采累计新增生产能力,天然气开采累计新增生产能力,铁矿开采(原矿)累计新增生产能力,生铁累计新增生产能力,粗钢累计新增生产能力,铁合金累计新增生产能力,铜采矿(原矿)累计新增生产能力,铜选矿处理原矿累计新增生产能力,铜选矿铜含量累计新增生产能力,铜冶炼累计新增生产能力,电解铜累计新增生产能力,铅锌采矿累计新增生产能力,铅锌选矿处理原矿累计新增生产能力,铅含量累计新增生产能力,锌含量累计新增生产能力,铅冶炼累计新增生产能力,电解铅累计新增生产能力,锌冶炼累计新增生产能力,电解锌累计新增生产能力,氧化铝累计新增生产能力,电解铝累计新增生产能力,水力发电累计新增生产能力,火力发电累计新增生产能力,核能发电累计新增生产能力,风能发电累计新增生产能力,其他发电累计新增生产能力,水泥累计新增生产能力,平板玻璃累计新增生产能力,电石累计新增生产能力,氮肥累计新增生产能力,磷肥累计新增生产能力,钾肥累计新增生产能力,塑料树脂及共聚物累计新增生产能力,轮胎外胎累计新增生产能力,轮胎内胎累计新增生产能力,载货汽车制造累计新增生产能力,客车制造累计新增生产能力,轿车制造累计新增生产能力,其他汽车制造累计新增生产能力,电视机累计新增生产能力,化学纤维累计新增生产能力,棉纺锭累计新增生产能力,毛纺锭累计新增生产能力,啤酒累计新增生产能力,白酒累计新增生产能力,其他酒累计新增生产能力,卷烟累计新增生产能力,机制纸浆累计新增生产能力,家用电冰箱累计新增生产能力,家用洗衣机累计新增生产能力,新建铁路投产里程累计新增生产能力,新建公路累计新增生产能力,改建公路累计新增生产能力,新(扩)建港口码头年吞吐量累计新增生产能力,新(扩)建港口码头泊位累计新增生产能力,城市自来水供水能力(万吨/日)累计新增生产能力
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,24529.47,2577.8,2755.65,173.76,9189.05,524.78,100.0,,1715.06,,,,141750.0,,,,,,,,,,5240000.0,6875.18,6677.11,1818.42,37039.21,682.49,9204.34,,,3788176.0,1667767.0,2660495.0,4248268.3,10046.17,,252450.0,514397.6,4148807.0,177599.7,1321.8,3367906.0,13649595.0,,200.0,157.95,49.56,1757400.8,259.12,189.7,,,77521.03,,22635.4,231.0,3765.4
2015,41035.97,4018.12,4293.0,420.0,15343.72,1118.2,2691.45,,3287.88,,,,504420.0,3496.34,,168589.0,164241.0,,,,,,3497410.0,6880.0,8539.0,2009.0,4237.0,879.0,16762.69,11711.0,,5891480.0,1524127.2,3805154.2,7071894.47,9084.8,,317740.0,219440.0,2606160.0,113601.0,701.4,4618864.0,11072580.2,,421.36,169.95,51.37,2276400.0,189.64,2586.0,,,82994.0,89895.0,52446.31,313.8,1908.39
2014,54361.65,6503.3,3255.91,207.09,18478.88,1687.08,4015.47,,3050.85,2049.51,71436.0,1253345.0,434600.0,4714.72,1445.38,197175.0,143725.0,624514.9,200000.0,568818.0,,1645667.6,3996168.5,8206.37,6408.82,1449.01,2645.38,687.34,32410.7,10486.8,,7577941.03,2028079.4,1502328.0,8644028.65,10609.14,2489.7,162400.0,191300.0,3123089.0,135307.0,723.0,7125459.0,11215397.0,344404.0,394.17,185.81,107.55,2150000.0,150.73,321.5,625.0,11824.69,78904.29,77614.45,46619.31,430.8,1605.9
2013,65094.9,8127.34,4003.54,370.45,28202.27,2937.81,3130.54,,4700.15,3594.58,79209.0,1373644.0,637507.0,4899.38,1105.7,194884.9,242737.0,766381.0,399900.0,684643.0,252877.0,2135400.0,3222000.0,6606.27,6279.54,796.0,2124.56,502.0,41055.84,15319.52,,9401007.0,1845167.0,1218755.0,9680167.4,13097.7,1796.0,163480.0,272202.0,2511150.0,230330.0,548.0,5792356.1,12244096.2,189910.0,382.29,221.73,146.3,2030800.0,169.19,1326.0,382.0,7766.87,73702.6,71027.32,34706.62,360.82,1628.62
2012,72202.59,8694.45,3178.46,322.16,24718.9,4534.06,2775.08,,4437.59,3763.66,51564.5,1840064.0,1062434.0,4861.86,1781.3,327445.0,277627.0,1042307.0,341200.0,703180.0,460400.0,3771606.1,4185492.0,4929.25,5925.67,735.0,2083.01,1104.84,43987.86,10669.05,6257611.7,8447881.3,2798846.0,2988257.0,9699208.84,13903.0,3394.5,401571.0,636913.0,2368875.0,310106.0,652.0,4214052.0,13345103.0,131004.0,689.0,310.81,57.91,2210000.0,247.95,2135.5,494.0,15307.42,82566.08,75453.86,59152.38,343.0,2569.23
2011,59654.9,10180.11,3815.17,367.83,20565.0,3999.36,2853.3,435199.63,11014.45,2605.64,49772.0,2214700.0,929000.0,3793.59,1854.43,201608.5,234005.0,1074194.0,401530.0,1018222.0,666000.0,1653240.0,2773348.0,5859.85,7068.65,379.0,2488.17,668.3,45857.15,11620.57,4218207.0,7689387.5,1979701.0,3238899.0,4511022.0,10791.5,3640.0,327274.0,383628.0,1834461.0,510693.0,430.8,4984228.7,12709127.0,559100.0,543.23,226.35,30.09,1527000.0,225.43,1053.2,739.0,8128.27,67409.86,90276.64,31953.95,264.3,2223.97
2010,60424.0,10655.0,4412.0,208.0,16425.0,2659.0,2580.0,3053233.0,2599.0,1326.0,49057.0,1672172.0,719600.0,2074.0,4115.0,264189.0,208962.0,1181129.0,259473.0,1337897.0,730112.0,5439175.0,1989150.0,5590.0,7417.0,892.0,,2738.0,54751.0,19027.0,3021451.0,6873196.0,2410788.0,1950485.0,7746510.0,9467.0,4992.0,296100.0,246620.0,2070520.0,171017.0,415.0,2345742.0,11409791.0,356285.0,528.0,290.0,61.0,1584600.0,247.0,912.0,443.0,6855.0,82483.0,136894.0,30041.0,257.0,2270.0
