年份,原煤开采新增生产能力,焦炭新增生产能力,天然原油开采新增生产能力,天然气开采新增生产能力,铁矿开采(原矿)新增生产能力,生铁新增生产能力,粗钢新增生产能力,铁合金新增生产能力,铜采矿(原矿)新增生产能力,铜选矿处理原矿新增生产能力,铜选矿铜含量新增生产能力,铜冶炼新增生产能力,电解铜新增生产能力,铅锌采矿新增生产能力,铅锌选矿处理原矿新增生产能力,铅含量新增生产能力,锌含量新增生产能力,铅冶炼新增生产能力,电解铅新增生产能力,锌冶炼新增生产能力,电解锌新增生产能力,氧化铝新增生产能力,电解铝新增生产能力,水力发电新增生产能力,火力发电新增生产能力,核能发电新增生产能力,风能发电新增生产能力,其他发电新增生产能力,水泥新增生产能力,平板玻璃新增生产能力,电石新增生产能力,氮肥新增生产能力,磷肥新增生产能力,钾肥新增生产能力,塑料树脂及共聚物新增生产能力,轮胎外胎新增生产能力,轮胎内胎新增生产能力,载货汽车制造新增生产能力,客车制造新增生产能力,轿车制造新增生产能力,其他汽车制造新增生产能力,电视机新增生产能力,化学纤维新增生产能力,棉纺锭新增生产能力,毛纺锭新增生产能力,啤酒新增生产能力,白酒新增生产能力,其他酒新增生产能力,卷烟新增生产能力,机制纸浆新增生产能力,家用电冰箱新增生产能力,家用洗衣机新增生产能力,新建铁路投产里程新增生产能力,新建公路新增生产能力,改建公路新增生产能力,新(扩)建港口码头年吞吐量新增生产能力,新(扩)建港口码头泊位新增生产能力,城市自来水供水能力(万吨/日)新增生产能力
2019,9701.99,922.6,,98.11,868.29,,,,,,,,400000,,,,,,,,,,1026012.5,395.91,2719.8,,,,3508.77,,,,,,,1419,,138327,122000,1225296,18664,,,,,,,,,273.5,,,,36616,,5363,19,1458.99
2018,11697.05,1470.0,,46.0,1778.0,,,,,,,,44751,,,,,,,,,,,798.0,5869.47,,,,3358.0,,,1301201.2,794558.0,756320.0,1945890.0,2007,,86746,10804,1023319,34146,,2025136.0,8113521.0,,34.0,34.0,9.2,866254.0,38.0,,,,32906,,27458.3,115.2,1587.84
2017,19873.0,1853.3,,168.1,7634.97,161.3,,,,,,,155000,,,,,,,,,,658162.0,1282.0,3265.99,,,,6727.96,,,2314006.2,1302941.0,687166.0,3255546.5,6226.5,,77321,152611,2313530,120155,,2509787.3,12487229.4,,126.0,138.14,38.33,1179907.7,173.8,,,,72529.1,,22710.28,162,2802.03
2016,12869.9,1540.8,2724.25,158.04,7534.45,159.28,,,1032.76,,,,141750,,,,,,,,,,550000.0,1679.96,4520.16,394.38,2008.64,612.63,6938.34,,,3305405.04,1627476.6,1447198.8,3204488.7,5353.89,,120836,296310.6,1583461,103955.7,221.8,2799085.0,11099694.0,,178.6,134.49,46.28,1287600.8,235.05,189.7,,,66194.13,,14582.44,145,3418.07
2015,22641.69,2622.12,3666.0,176.0,12740.03,898.2,1947.95,,2309.58,,,,460920,3336.08,,138358.0,159641.0,,,,,,1619410.0,1476.0,6023.0,654.0,3104.0,660.0,11710.67,10794.0,,4282677.6,1470362.2,1435297.2,5975396.47,7626.8,,192514,217640,1312160,107216,588.4,4084155.0,9407274.2,,341.96,133.26,49.0,1254134.0,169.62,936.0,,,70902,76997.0,28563.12,225.5,1721.09
2014,29545.23,4995.81,2717.29,157.45,13336.95,1263.18,2258.05,,2334.35,1480.94,65996.0,1231160.0,429100,4006.32,1264.08,196955.0,143725.0,559514.9,140000.0,518813.0,,1645612.5,1645296.5,2395.98,4374.15,505.01,2141.66,553.7,24995.84,8864.6,,5833138.03,1196202.1,1123140.0,6828288.15,8656.44,2045.9,124200,190200,2119281,84238,668.0,6442328.0,8401945.0,74824.0,275.07,143.45,100.92,1750000.0,114.18,315.0,555.0,8739.1,65352.04,68689.29,39239.41,337.14,1400.2
2013,39915.0,6691.58,2730.5,145.83,23684.23,1442.81,2487.29,,4368.86,2868.96,58709.0,1317224.0,611067,3578.38,1065.3,194884.9,235067.0,605881.0,319900.0,635841.0,252877.0,2135400.0,2866583.9,3581.07,3942.93,232.0,1711.58,425.24,34030.23,9833.1,,5980099.0,1565680.0,1097975.0,7239904.3,9117.7,1796.0,112830,191322,1716975,191345,538.8,4607954.1,9970292.0,183977.0,266.77,202.44,112.76,1630800.0,147.91,803.0,318.0,5829.56,61588.6,64258.49,29342.11,297.82,1131.17
2012,39851.64,6125.05,2494.26,274.21,20296.86,3661.86,1853.44,,3882.25,3208.16,47764.5,1460564.0,686934,3658.66,1537.95,185335.0,215587.0,865966.1,341200.0,658180.0,460400.0,1641524.1,2861219.0,2199.98,3755.33,310.0,1783.12,922.54,36095.01,8324.65,4158717.7,5794220.3,2304059.0,2262290.0,6839553.84,12562,2667.5,244871,393728,1366160,212052,569.0,4053366.0,11616127.0,108914.0,379.1,290.02,47.11,1320000.0,189.68,1672.5,397.0,4669.33,68845.54,66732.34,43936.1,269,1942.19
2011,41281.27,7078.11,3490.02,315.19,16256.05,3470.86,2480.8,431530.08,2022.0,1321.94,37470.0,1828610.0,712000,3364.59,1556.4,174628.5,65305.0,776874.0,401530.0,842220.0,605000.0,1653240.0,2073348.0,1476.94,5607.93,174.7,2027.09,513.78,36945.9,9008.67,3628297.0,4327922.5,1635817.0,1752160.0,4216587.0,9744,2055.0,290578,371708,1226339,209992,384.0,4835546.0,11104767.0,357351.0,376.43,198.74,26.49,1097000.0,214.23,965.2,739.0,3657.1,55041.48,76298.53,25417.36,202.1,1569.12
2010,38706.03,7729.41,3553.49,189.31,13333.2,1938.64,1354.88,2790400.55,2142.14,1110.14,48707.0,1543481.8,669100,1774.52,1907.92,171634.0,133520.37,1007309.0,259073.0,1271247.1,690112.0,3466170.0,1581992.0,1449.82,5310.73,515.3,,1922.4,43611.61,17752.25,2110015.0,5571773.5,2084227.0,1155773.0,6449426.0,6697.2,4738.9,134600,211020,855453,109837,326.9,2120522.0,9730125.0,203285.0,290.4,175.43,55.99,1083600.0,233.76,612.1,443.0,5017.11,72392,124983.09,21847.56,196,1621.77
