年份,原煤开采施工规模,焦炭施工规模,天然原油开采施工规模,天然气开采施工规模,铁矿开采(原矿)施工规模,生铁施工规模,粗钢施工规模,铁合金施工规模,铜采矿(原矿)施工规模,铜选矿处理原矿施工规模,铜选矿铜含量施工规模,铜冶炼施工规模,电解铜施工规模,铅锌采矿施工规模,铅锌选矿处理原矿施工规模,铅含量施工规模,锌含量施工规模,铅冶炼施工规模,电解铅施工规模,锌冶炼施工规模,电解锌施工规模,氧化铝施工规模,电解铝施工规模,水力发电施工规模,火力发电施工规模,核能发电施工规模,风能发电施工规模,其他发电施工规模,水泥施工规模,平板玻璃施工规模,电石施工规模,氮肥施工规模,磷肥施工规模,钾肥施工规模,塑料树脂及共聚物施工规模,轮胎外胎施工规模,轮胎内胎施工规模,载货汽车制造施工规模,客车制造施工规模,轿车制造施工规模,其他汽车制造施工规模,电视机施工规模,化学纤维施工规模,棉纺锭施工规模,毛纺锭施工规模,啤酒施工规模,白酒施工规模,其他酒施工规模,卷烟施工规模,机制纸浆施工规模,家用电冰箱施工规模,家用洗衣机施工规模,新建铁路投产里程施工规模,新建公路施工规模,改建公路施工规模,新(扩)建港口码头年吞吐量施工规模,新(扩)建港口码头泊位施工规模,城市自来水供水能力(万吨/日)施工规模
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44290.96,4732.8,3347.7,230.64,13316.8,1059.28,,,1857.66,,,,181750.0,,,,,,,,,,1560000.0,7881.41,13370.81,1709.04,45622.15,919.68,9897.14,,,6397429.04,2024214.6,2855797.8,5368179.5,8855.74,,252535.0,2426512.6,5084438.0,160831.7,330.0,5467360.0,15778390.0,,206.64,182.64,57.87,4714320.7,349.32,267.7,,,94026.25,,48602.89,380.0,4669.21
2015,84287.19,7311.12,4689.0,388.0,20100.42,1020.2,3403.35,,2854.68,,,,526420.0,4547.74,,216539.0,215174.0,,,,,,3539460.0,8623.0,17791.0,3237.0,5846.0,1227.0,18122.71,15504.0,,8226042.6,2020126.2,3704297.2,10022305.1,9289.8,,281514.0,598640.0,4399160.0,185816.0,990.2,6534054.0,13054249.2,,480.96,160.98,60.67,5006761.0,250.31,1521.0,,,100286.0,92116.0,96243.72,543.5,2508.32
2014,104522.62,12038.51,2993.72,321.27,26399.91,1712.18,4828.92,,3294.95,2352.66,168873.35,1829098.5,534100.0,5816.77,1734.23,235139.1,214343.73,625859.9,140030.0,1166063.0,,3845926.5,4000349.5,11264.92,19700.37,2637.61,4575.04,991.98,35397.64,11892.9,,18986651.83,2810835.2,2927540.0,16251091.36,13797.23,2336.9,247400.0,566600.0,4736525.0,195393.0,743.0,12959602.0,11555314.0,142995.6,433.48,218.1,154.77,7492015.0,288.63,1107.0,605.0,19948.08,92297.22,95766.37,83615.41,661.64,2262.97
2013,140353.94,16979.84,3087.24,279.63,36120.68,2797.99,4832.89,,6343.56,4487.88,157952.0,3176805.0,862067.0,6141.25,1396.8,239567.9,332465.0,950881.0,522900.0,945741.0,345677.0,8280400.0,6362000.0,12182.29,13478.95,3380.0,3690.15,920.14,50340.72,16181.1,,20928233.0,3402061.0,2154073.0,20151602.9,16232.7,2096.0,116880.0,372923.0,4125275.0,213135.0,1008.8,14045299.6,15462305.0,210177.0,426.34,277.63,193.36,4005600.0,314.54,1759.0,728.0,14088.24,95761.41,91274.06,83306.45,791.82,2100.28
2012,151118.24,17967.95,3143.69,361.97,29263.41,5337.74,4150.71,,6278.15,6078.28,140179.35,3007595.0,1506934.0,4942.76,3063.85,405759.0,387085.0,1310759.1,521240.0,934130.0,632200.0,9666820.1,9437819.0,12687.51,13008.8,2777.5,3844.13,1574.33,63432.75,15008.05,16108157.7,24566301.3,3413331.0,4632709.0,23567213.8,22618.78,3587.5,501402.0,907142.0,6364730.0,347292.0,1307.0,12563039.0,19941774.0,157818.0,835.5,2012.72,126.22,4020000.0,418.88,2524.5,1082.0,12675.91,117316.16,112621.84,140952.1,789.0,3254.4
2011,131376.73,18661.49,4168.19,464.05,25155.79,7234.35,4872.28,1109301.7,13352.85,4800.84,223851.0,2597460.0,1094000.0,51262.07,3072.62,244671.5,322133.0,1086594.0,501530.0,1803227.0,986000.0,9489617.0,3647183.0,11634.49,13918.71,2055.5,3875.61,1105.09,64822.5,25015.17,7286777.0,15340433.5,3581882.0,3223665.0,12738977.0,20144.72,3825.0,776278.0,758359.0,4847339.0,511402.0,467.8,11591626.0,19542457.0,460800.0,651.12,832.47,66.24,1947000.0,380.33,1943.2,940.0,29340.9,96819.94,112419.36,83540.56,763.4,32728.97
2010,137744.0,20435.0,4062.0,587.0,27257.0,4524.0,3457.0,4531116.0,4747.0,2307.0,66447.0,2944067.0,1528200.0,4504.0,4139.0,291845.0,270568.0,1611052.0,416473.0,2568893.0,960112.0,8006170.0,4391600.0,7882.0,16965.0,3242.0,,4883.0,83307.0,34455.0,6787305.0,12910532.0,4455356.0,2166839.0,11185558.0,17540.0,23116.0,780900.0,1201670.0,3035653.0,696318.0,464.0,5469971.0,17259841.0,338800.0,982.0,476.0,105.0,8684600.0,382.0,1901.0,1518.0,12890.0,117755.0,168576.0,98360.0,654.0,3116.0
