年份,原煤开采建设规模,焦炭建设规模,天然原油开采建设规模,天然气开采建设规模,铁矿开采(原矿)建设规模,生铁建设规模,粗钢建设规模,铁合金建设规模,铜采矿(原矿)建设规模,铜选矿处理原矿建设规模,铜选矿铜含量建设规模,铜冶炼建设规模,电解铜建设规模,铅锌采矿建设规模,铅锌选矿处理原矿建设规模,铅含量建设规模,锌含量建设规模,铅冶炼建设规模,电解铅建设规模,锌冶炼建设规模,电解锌建设规模,氧化铝建设规模,电解铝建设规模,水力发电建设规模,火力发电建设规模,核能发电建设规模,风能发电建设规模,其他发电建设规模,水泥建设规模,平板玻璃建设规模,电石建设规模,氮肥建设规模,磷肥建设规模,钾肥建设规模,塑料树脂及共聚物建设规模,轮胎外胎建设规模,轮胎内胎建设规模,载货汽车制造建设规模,客车制造建设规模,轿车制造建设规模,其他汽车制造建设规模,电视机建设规模,化学纤维建设规模,棉纺锭建设规模,毛纺锭建设规模,啤酒建设规模,白酒建设规模,其他酒建设规模,卷烟建设规模,机制纸浆建设规模,家用电冰箱建设规模,家用洗衣机建设规模,新建铁路投产里程建设规模,新建公路建设规模,改建公路建设规模,新(扩)建港口码头年吞吐量建设规模,新(扩)建港口码头泊位建设规模,城市自来水供水能力(万吨/日)建设规模
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,84211.89,5726.5,4132.07,370.89,20029.99,1440.89,300.0,,3493.16,,,,441750.0,,,,,,,,,,7001100.0,19363.69,22636.82,4265.68,230455.95,1267.54,13572.24,,,9436467.0,2655355.0,5302800.0,8334556.5,18262.18,,564098.0,3324040.0,7003225.0,335576.7,1650.0,9118095.0,23402640.0,,355.7,236.66,81.72,5921890.8,433.22,339.7,,,118589.55,,96001.5,567.0,6590.41
2015,125260.23,9908.52,4737.0,819.0,32733.16,1488.0,4814.08,,4789.58,,,,640920.0,4858.11,,336770.0,220574.0,,,,,,7694060.0,16856.0,22616.0,5090.0,7316.0,1608.0,25978.39,18381.0,,11973883.0,2237803.2,6245510.2,14862306.1,13563.8,,375750.0,604940.0,6355219.0,198701.0,1061.4,7687097.0,17185621.2,,653.96,211.8,63.92,7056400.0,290.52,3131.0,,,123050.0,105655.0,135940.58,675.0,2849.86
2014,161485.41,14968.4,3662.64,456.29,37921.44,2831.08,7068.1,,4244.95,2588.93,170032.85,3168405.0,640400.0,7225.12,2380.83,235370.5,214343.73,1241525.9,200030.0,1317483.0,,5846442.6,9116218.5,17269.56,24728.87,4458.61,5976.34,1349.05,47805.87,15821.1,,24708043.0,3636441.0,4240112.0,17798429.19,17851.5,2582.5,330700.0,771800.0,6234294.0,414210.0,798.0,13236045.0,15384713.0,357436.0,659.18,286.87,160.2,8280000.0,370.53,1117.0,690.0,24794.41,121632.39,110655.59,106351.11,784.0,2636.92
2013,184375.98,21740.98,4874.97,617.35,47399.22,4800.19,6411.49,,7622.25,4767.2,182059.0,3387103.0,911647.0,6776.03,1588.6,240159.3,343135.0,1167150.0,542900.0,1149806.0,388440.0,9480400.0,10412000.0,18070.01,17516.89,3830.0,4560.69,1136.24,62865.07,22898.75,,24957860.0,3765194.0,2954953.0,23135714.4,21801.2,2946.0,223180.0,381923.0,5607350.0,323610.0,1013.0,14675143.6,20570035.2,264010.0,568.14,326.41,224.48,4405600.0,416.02,2216.0,852.0,17114.69,117286.34,107373.32,106914.7,908.0,2808.18
2012,202422.79,22368.95,3926.81,458.83,35661.21,7422.64,5472.45,,7330.09,6531.78,144499.35,3673637.8,2020774.0,6216.56,3590.3,411329.0,397971.0,1552100.0,521240.0,1134930.0,639700.0,11992206.1,13856702.0,17293.09,16379.14,3266.5,4544.54,1940.57,76595.31,18940.45,18302147.7,27770241.0,4194278.0,5365001.0,27002403.8,24340.18,5742.5,733602.0,1466128.0,7197770.0,410371.0,1392.0,13264857.0,24076326.0,183712.0,1205.7,2044.71,142.11,4850000.0,518.95,3124.5,1440.0,19111.47,139622.81,161340.72,160848.98,918.0,3966.49
2011,170472.65,23010.19,47719.4,507.34,35214.54,8421.1,5922.28,1112549.2,14804.15,5108.74,248993.0,3801700.0,1799000.0,51470.27,3228.92,256671.5,325433.0,1363634.0,501530.0,2248227.0,1206000.0,11553480.0,5892396.0,19960.75,17567.73,2907.0,4565.65,1250.62,81839.05,27988.87,10120207.0,19866822.5,4110966.0,4911865.0,15824064.0,20942.22,5510.0,982700.0,1203231.0,6421500.0,1164014.0,621.8,12844114.0,22009474.0,861800.0,886.14,1099.09,73.26,2087000.0,585.33,2131.2,940.0,35316.89,129907.16,120395.12,101847.45,873.6,34079.52
2010,179019.0,25014.0,5904.0,664.0,38561.0,5127.0,3908.0,4964476.0,6747.0,3025.0,202625.0,4601951.0,1880200.0,5532.0,5823.0,294710.0,279298.0,1759552.0,416773.0,3964242.0,1040112.0,11141695.0,5446650.0,17640.0,21659.0,4310.0,,5827.0,99503.0,36941.0,8897295.0,22393196.0,5451835.0,3022171.0,12894805.0,21557.0,23369.0,889400.0,1241950.0,4707652.0,870138.0,675.0,5783291.0,19877059.0,443800.0,1183.0,506.0,112.0,9094600.0,404.0,1901.0,1518.0,16911.0,134778.0,183214.0,111340.0,767.0,4013.0
