年份,政府部门实物交易资金来源_净出口,政府部门实物交易资金来源_增加值,政府部门实物交易资金来源_劳动者报酬,政府部门实物交易资金来源_工资及工资性收入,政府部门实物交易资金来源_单位社会保险付款,政府部门实物交易资金来源_生产税净额,政府部门实物交易资金来源_生产税,政府部门实物交易资金来源_生产补贴,政府部门实物交易资金来源_财产收入,政府部门实物交易资金来源_利息,政府部门实物交易资金来源_红利,政府部门实物交易资金来源_地租,政府部门实物交易资金来源_其他财产收入,政府部门实物交易资金来源_初次分配总收入,政府部门实物交易资金来源_经常转移,政府部门实物交易资金来源_收入税,政府部门实物交易资金来源_社会保险缴款,政府部门实物交易资金来源_社会保险福利,政府部门实物交易资金来源_社会补助,政府部门实物交易资金来源_其他经常转移,政府部门实物交易资金来源_可支配总收入,政府部门实物交易资金来源_最终消费,政府部门实物交易资金来源_居民消费,政府部门实物交易资金来源_政府消费,政府部门实物交易资金来源_总储蓄,政府部门实物交易资金来源_资本转移,政府部门实物交易资金来源_投资性补助,政府部门实物交易资金来源_其他资本转移,政府部门实物交易资金来源_资本形成总额,政府部门实物交易资金来源_固定资本形成总额,政府部门实物交易资金来源_存货增加,政府部门实物交易资金来源_其他非金融资产获得减处置,政府部门实物交易资金来源_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,91956.0989699154,,,,95553.6922246562,,,21597.9414753932,7243.89273625571,6522.8789111527,7691.436976,139.732851984802,116897.965971735,119041.186334962,49227.84647,61347.75,,,8465.58986496209,171265.563538111,,,,19254.9978977219,20.0651646805716,,20.0651646805716,,,,,
2017,,71373.1817026648,,,,93844.283915112,,,22180.8258122266,7752.04400898049,6555.51090154383,7821.9878561837,51.2830455185637,115071.557656092,106386.854585,44128.6648,58437.57,,,3820.619785,147131.226597294,,,,27943.226597294,15.404300869229,,15.404300869229,,,,,
2016,,62150.5319298551,,,,86545.4126052044,,,22236.2307466207,7259.49603370502,8054.46678872465,6877.3873,44.8806241910231,107124.823041761,92399.9638,39004.5419,50112.471,,,3282.9509,132368.518014032,,,,25901.5180140324,21.0113539682428,,21.0113539682428,,,,,
2015,,55791.3846196083,,,,79668.7114526208,,,23450.7261597168,7987.22804962406,8483.29651009272,6743.0122,237.1894,102617.784460899,85718.4943423908,36025.3183210014,46354.0840013894,,,3339.09202,127186.137461767,,,,30899.7374617671,3863.92299368999,,3863.92299368999,,,,,
2014,,47757.3428438541,,,,78643.1124359994,,,19498.0816297285,8057.39825198081,4223.99747774767,5869.4274,1347.2585,98266.39726443,76135.5797527356,32362.8343,40438.81373,,,3333.93172273563,121574.233187259,,,,35801.2331872585,4033.79026832817,,4033.79026832817,,,,,
2013,,42559.6657587748,,,,73536.4115246,,,15777.1538710299,5633.75825121954,3463.50701981032,5127.9177,1551.9709,88745.0357202344,68085.3254781809,29030.3639,35993.5842,,,3061.37737818093,110375.990823186,,,,29130.0908231862,3857.89863268166,,3857.89863268166,,,,,
2012,,39051.9918480129,,,,68866.0282853542,,,14622.2506033582,6228.37871161149,2104.21689353033,4411.210982584,1878.4440156324,80975.8750167299,60006.4842887836,25818.1619120047,31411.0283,,,2777.29407677887,101301.110467369,,,,29892.1104673694,3006.18954807848,,3006.18954807848,,,,,
2011,,40363.2514689288,,,,62270.8052059079,,,10922.6323013055,4135.38083969277,2391.00746161272,3075.524,1320.72,72066.9299915107,52325.835940512,22823.75,27217.5839,,,2284.502040512,90203.2123763298,,,,27048.3123763298,2425.629049992,,2425.629049992,,,,,
2010,,36155.6891682637,,,,52672.5909182424,,,7140.0784155341,2201.95668297773,1465.81033923956,2428.6760257363,1043.6353675805,59926.7368062465,40526.8783945892,17680.81,20584.5011,,,2261.5672945892,74116.2526708368,,,,20759.8526708368,1604.27782605,,1604.27782605,,,,,
