年份,中国对非洲承包工程年末在外劳务人员,中国对阿尔及利亚承包工程年末在外劳务人员,中国对安哥拉承包工程年末在外劳务人员,中国对贝宁承包工程年末在外劳务人员,中国对博茨瓦纳承包工程年末在外劳务人员,中国对布隆迪承包工程年末在外劳务人员,中国对喀麦隆承包工程年末在外劳务人员,中国对加那利群岛承包工程年末在外劳务人员,中国对佛得角承包工程年末在外劳务人员,中国对中非承包工程年末在外劳务人员,中国对塞卜泰(休达)承包工程年末在外劳务人员,中国对乍得承包工程年末在外劳务人员,中国对科摩罗承包工程年末在外劳务人员,中国对刚果(布)承包工程年末在外劳务人员,中国对吉布提承包工程年末在外劳务人员,中国对埃及承包工程年末在外劳务人员,中国对赤道几内亚承包工程年末在外劳务人员,中国对埃塞俄比亚承包工程年末在外劳务人员,中国对加蓬承包工程年末在外劳务人员,中国对冈比亚承包工程年末在外劳务人员,中国对加纳承包工程年末在外劳务人员,中国对几内亚承包工程年末在外劳务人员,中国对几内亚(比绍)承包工程年末在外劳务人员,中国对科特迪瓦承包工程年末在外劳务人员,中国对肯尼亚承包工程年末在外劳务人员,中国对利比里亚承包工程年末在外劳务人员,中国对利比亚承包工程年末在外劳务人员,中国对马达加斯加承包工程年末在外劳务人员,中国对马拉维承包工程年末在外劳务人员,中国对马里承包工程年末在外劳务人员,中国对毛里塔尼亚承包工程年末在外劳务人员,中国对毛里求斯承包工程年末在外劳务人员,中国对摩洛哥承包工程年末在外劳务人员,中国对莫桑比克承包工程年末在外劳务人员,中国对纳米比亚承包工程年末在外劳务人员,中国对尼日尔承包工程年末在外劳务人员,中国对尼日利亚承包工程年末在外劳务人员,中国对留尼汪承包工程年末在外劳务人员,中国对卢旺达承包工程年末在外劳务人员,中国对圣多美和普林西比承包工程年末在外劳务人员,中国对塞内加尔承包工程年末在外劳务人员,中国对塞舌尔承包工程年末在外劳务人员,中国对塞拉利昂承包工程年末在外劳务人员,中国对索马里承包工程年末在外劳务人员,中国对南非承包工程年末在外劳务人员,中国对西撒哈拉承包工程年末在外劳务人员,中国对苏丹承包工程年末在外劳务人员,中国对坦桑尼亚承包工程年末在外劳务人员,中国对多哥承包工程年末在外劳务人员,中国对突尼斯承包工程年末在外劳务人员,中国对乌干达承包工程年末在外劳务人员,中国对布基纳法索承包工程年末在外劳务人员,中国对刚果(金)承包工程年末在外劳务人员,中国对赞比亚承包工程年末在外劳务人员,中国对津巴布韦承包工程年末在外劳务人员,中国对莱索托承包工程年末在外劳务人员,中国对梅利利亚承包工程年末在外劳务人员,中国对斯威士兰承包工程年末在外劳务人员,中国对厄立特里亚承包工程年末在外劳务人员,中国对马约特岛承包工程年末在外劳务人员,中国对南苏丹承包工程年末在外劳务人员,中国对非洲其他国家(地区)承包工程年末在外劳务人员
2019,120356,28961,10725,987,392,598,2398,,188,329,,2271,116,2620,413,1663,2140,7073,746,141,1502,3937,16,2179,7596,499,43,229,245,885,967,540,414,2064,722,838,7720,,858,8,1912,166,575,1,598,,3078,4222,116,232,3608,3,4806,6114,871,188,,,166,,677,
2018,137353,39106,14897,357,462,675,2718,,393,185,,1575,129,3089,781,1171,3065,8310,608,297,1632,3606,350,2009,8503,805,87,161,266,597,856,688,274,2329,1066,713,7180,,748,,2425,156,653,1,551,,3154,3199,376,243,3913,21,6230,5544,589,126,,,109,,375,
2017,147093,44545,16872,164,458,385,2596,,352,183,,2106,121,3547,906,1849,3615,8636,1952,303,3314,3211,344,1121,8271,1054,87,163,237,480,757,474,527,3325,807,771,6272,,687,,1798,112,605,3,400,,3760,2945,329,211,3174,3,5111,6728,669,130,,,278,,345,
2016,165080,58630,19398,221,567,400,3671,,307,39,,2393,303,4921,1264,1545,4332,9044,2421,68,2094,2074,354,583,7937,813,221,108,236,658,763,496,692,3486,1037,1016,6037,,466,7,1392,228,766,30,280,,4825,3698,399,203,3247,,3935,5482,879,275,,,497,,342,
2015,194848,59888,31030,172,1218,569,4185,,404,667,,3197,235,8021,965,2301,7942,9385,2004,38,2228,1037,391,715,7269,749,128,163,285,771,979,903,1201,3281,1450,1629,6665,,474,7,1809,228,778,,2106,,5993,5017,173,310,3446,,4575,5430,818,327,,,463,,792,0.0
2014,197853,46266,38427,482,1427,482,3532,,459,665,,3060,226,12288,154,185,10885,13325,1251,53,2377,2126,592,541,4816,462,77,189,331,845,1115,1161,1042,2688,1370,1748,7044,,1143,6,1803,199,721,,3354,,8029,4924,926,319,2506,36,4522,5576,651,442,,,394,,596,
2013,168586,33842,37847,827,2071,183,2302,,382,27,,2914,215,8637,174,993,10812,7325,2509,32,2785,1991,286,673,2630,568,436,135,346,599,1110,1480,888,3602,653,1169,6239,,758,6,1436,262,625,,1447,,9439,5179,1080,646,1211,97,3313,4582,598,582,,,330,,313,
2012,154542,31476,31905,560,2097,181,2186,,389,238,,2772,205,4838,103,1041,10885,6299,2174,24,2683,1094,392,325,2617,686,40,338,500,861,1617,2320,1490,1696,471,663,5771,,339,10,1433,349,489,,2106,,11995,4398,466,222,893,1,3022,6318,661,338,,,160,,,
2011,152038,31858,33159,326,3129,236,1036,,339,293,,2521,164,3467,211,1015,9779,5463,1531,22,2287,576,455,146,2257,195,1,446,571,1358,1424,1790,1437,1068,323,2716,6747,,426,17,1726,387,428,,1076,,15119,4141,288,159,1487,3,3033,3894,1009,141,,,210,,148,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
