省份编码,省份,年份,果园面积(千公顷),香蕉园面积(千公顷),苹果园面积(千公顷),柑桔园面积(千公顷),梨园面积(千公顷),葡萄园面积(千公顷)
110000,北京市,2019,43.84281712,,6.4,,6.1,2.2
110000,北京市,2018,46.4073869259,0,6.50128016538,0,6.57540675792,2.3770976229
110000,北京市,2017,47.71,0,6.61,0,6.7,2.7
110000,北京市,2016,52.5124666666667,0,6.7144,0,7.777,2.96586666666667
110000,北京市,2015,57.1369333333333,0,6.93606666666667,0,8.1546,3.34166666666667
110000,北京市,2014,57.5243333333333,0,6.85306666666667,0,8.23273333333333,3.1602
110000,北京市,2013,60.1829333333333,0,7.17686666666667,0,8.7308,3.29073333333333
110000,北京市,2012,62.4687333333333,0,7.75133333333333,0,9.072,3.18473333333333
110000,北京市,2011,63.4577333333333,0,7.8202,0,9.12626666666667,3.01686666666667
110000,北京市,2010,64.9316,0,8.07666666666667,0,9.24353333333333,2.73406666666667
110000,北京市,2009,66.7098,0,8.1902,0,9.7674,2.73306666666667
110000,北京市,2008,72.1548,0,9.24026666666667,0,10.3491333333333,2.98133333333333
110000,北京市,2007,74.302,0,10.2997333333333,0,10.4194,2.65966666666667
110000,北京市,2006,70.02,,9.53,,10.95,2.98
110000,北京市,2005,75.69,,10.8,,11.18,3.15
110000,北京市,2004,81.4,,12.93,,10.91,3.05
110000,北京市,2003,87.54,,13.21,,12.51,4.5
110000,北京市,2002,89.91,,13.56,,12.14,4.81
110000,北京市,2001,85.33,,16.05,,10.28,4.08
110000,北京市,2000,85.3,,18.2,,10.0,3.1
120000,天津市,2019,26.5745053333333,,2.9,,5.1,4.1
120000,天津市,2018,28.644618,,3.05108,,5.22232666666667,4.37262
120000,天津市,2017,31.4644933333333,0,4.00770666666667,0,5.10398666666667,4.81328666666667
120000,天津市,2016,33.62155,0,4.42286666666667,0,5.11083,5.31286333333333
120000,天津市,2015,33.3468633333333,0,4.28511333333333,0,4.68960333333333,5.27599666666667
120000,天津市,2014,32.96,0,4.79,0,4.88,5.21
120000,天津市,2013,34.15,0,4.95,0,4.61,4.77
120000,天津市,2012,33.71,0,4.65,0,4.11,5.05
120000,天津市,2011,32.55,0,4.53,0,3.73,4.84
120000,天津市,2010,34.36,0,4.71,0,3.82,5.31
120000,天津市,2009,33.01,0,5.25,0,3.61,5.18
120000,天津市,2008,33.78,0,5.39,0,3.39,5.09
120000,天津市,2007,35.11,0,5.53,0,3.93,5.38
120000,天津市,2006,36.39,,6.22,,3.54,5.19
120000,天津市,2005,37.0672,,6.412,,3.46913333333333,5.10333333333333
120000,天津市,2004,36.37,,6.19,,3.51,5.64
120000,天津市,2003,41.08,,7.25,,4.06,5.88
120000,天津市,2002,43.65,,8.31,,4.17,5.72
120000,天津市,2001,41.79,,9.31,,4.53,6.0
120000,天津市,2000,37.69,,10.4,,3.71,5.27
130000,河北省,2019,506.02467,,125.3,,117.9,43.9
130000,河北省,2018,529.73287,,119.46127,,120.28367,41.83967
130000,河北省,2017,560.03252,0,122.20563,0,121.99229,42.7149
130000,河北省,2016,553.04158,0,117.70315,0,121.49821,43.16277
130000,河北省,2015,594.089853034926,0,126.944939825716,0,130.97867766741,45.4313031590683
130000,河北省,2014,650.172856066303,0,135.413979670584,0,134.881335649528,47.2764524325196
130000,河北省,2013,661.339460419313,0,143.440138633852,0,138.680245970931,49.3417856102408
130000,河北省,2012,699.967597562762,0,153.064453984693,0,144.688433876205,50.0049429950217
130000,河北省,2011,745.986929692201,0,165.183738052079,0,151.480124214038,51.5573259294157
130000,河北省,2010,811.357752521233,0,199.003729188208,0,155.629018376913,52.8568834371204
130000,河北省,2009,844.816136875741,0,189.722270846769,0,167.63687984108,51.1746916524726
130000,河北省,2008,926.75112751621,0,211.144233899518,0,179.249883642945,52.831614424469
130000,河北省,2007,1016.61701253486,0,232.66823607047,0,191.340761183454,53.915687570535
