省份编码,省份,年份,农用塑料薄膜使用量(吨)
110000,北京市,2019,7699
110000,北京市,2018,8243.3
110000,北京市,2017,8972.6
110000,北京市,2016,9866.9
110000,北京市,2015,10401.5
110000,北京市,2014,10902.9
110000,北京市,2013,12356.47
110000,北京市,2012,12549.15
110000,北京市,2011,13268.39
110000,北京市,2010,13539.1
110000,北京市,2009,13054.68
110000,北京市,2008,14199.3
110000,北京市,2007,14615.3
110000,北京市,2006,10919.69
110000,北京市,2005,10916
110000,北京市,2004,9886
110000,北京市,2003,14419
110000,北京市,2002,12456.2
110000,北京市,2001,10229
110000,北京市,2000,9825
120000,天津市,2019,8096
120000,天津市,2018,9069.816
120000,天津市,2017,10906.406
120000,天津市,2016,11644
120000,天津市,2015,10551.9
120000,天津市,2014,12274
120000,天津市,2013,12901
120000,天津市,2012,12401
120000,天津市,2011,12568
120000,天津市,2010,12009
120000,天津市,2009,12640
120000,天津市,2008,11281
120000,天津市,2007,11439
120000,天津市,2006,12430
120000,天津市,2005,13421
120000,天津市,2004,13000
120000,天津市,2003,12922.05
120000,天津市,2002,11614
120000,天津市,2001,14167
120000,天津市,2000,8718
130000,河北省,2019,103211
130000,河北省,2018,109833
130000,河北省,2017,128100
130000,河北省,2016,138434
130000,河北省,2015,137983
130000,河北省,2014,137918
130000,河北省,2013,136006
130000,河北省,2012,126941
130000,河北省,2011,123785
130000,河北省,2010,118619
130000,河北省,2009,118919
130000,河北省,2008,116508
130000,河北省,2007,113687
130000,河北省,2006,111334
130000,河北省,2005,111667
130000,河北省,2004,104588
130000,河北省,2003,89096
130000,河北省,2002,75172
130000,河北省,2001,69641
130000,河北省,2000,62518
140000,山西省,2019,48555
140000,山西省,2018,49067.41
140000,山西省,2017,49997.61
140000,山西省,2016,48921.86
140000,山西省,2015,47863.87
140000,山西省,2014,48380.5
140000,山西省,2013,46399
140000,山西省,2012,45864
140000,山西省,2011,41531
140000,山西省,2010,38866.2
140000,山西省,2009,41534
140000,山西省,2008,36073
140000,山西省,2007,35724
140000,山西省,2006,34619.5
140000,山西省,2005,33515
140000,山西省,2004,33065
140000,山西省,2003,29169
140000,山西省,2002,29283
140000,山西省,2001,29102
140000,山西省,2000,27601
150000,内蒙古自治区,2019,94194
150000,内蒙古自治区,2018,93969.2
150000,内蒙古自治区,2017,94306.34
