省份编码,省份,年份,猪出栏数量(万头),牛出栏数量(万头),羊出栏数量(万只),家禽出栏量(万只)
110000,北京市,2019,,,,
110000,北京市,2018,169.4411,5.3006,35.6394,1615.6218
110000,北京市,2017,242.0685,8.4258,64.5114,3115.2
110000,北京市,2016,275.3386,7.3827,69.641,3882.74
110000,北京市,2015,284.4164,8.437,70.9944,6688.44
110000,北京市,2014,305.7599,9.1957,68.6748,7550.69
110000,北京市,2013,314.3923,11.2444,70.7659,8529.83
110000,北京市,2012,306.1116,11.8754,71.7976,10089.37
110000,北京市,2011,312.2039,11.4009,78.6193,10736.65
110000,北京市,2010,311.9293,11.085,86.443,11779.74
110000,北京市,2009,314.0363,11.6925,86.7281,12355.01
110000,北京市,2008,292.6934,11.8991,89.983,11982.98
110000,北京市,2007,288.5648,15.6395,117.3909,12946.73
110000,北京市,2006,281.5068635,16.93716,126.149481161826,11402.5
110000,北京市,2005,448.72,24.54,256.13,16852.53
110000,北京市,2004,460.52,28.96,315.92,17419.5
110000,北京市,2003,466.97,29.84,300.95,16672.15
110000,北京市,2002,483.2,26.81,263.88,16385.89332545
110000,北京市,2001,453.1,22.9,201.2,18646.46
110000,北京市,2000,415.6,17.27,103.93,13986.9
120000,天津市,2019,,,,
120000,天津市,2018,278.5619,16.688,49.167,5435.6625
120000,天津市,2017,297.220897601372,19.4887428,55.223402,6137.617
120000,天津市,2016,355.433815271254,20.07283918,63.5065246351345,7335.7735906908
120000,天津市,2015,360.384987656312,19.6185,63.3165749104033,7492.901008194
120000,天津市,2014,370.450549723556,19.43,62.9662594078818,7776.0507775112
120000,天津市,2013,367.775297711828,19.05,61.3906828780813,7662.64162645549
120000,天津市,2012,362.494104689359,19.02,61.9686629559941,7654.98663981568
120000,天津市,2011,343.473650201682,18.0,63.4167384122245,6948.58840675162
120000,天津市,2010,350.684002084886,18.11,65.1542936754829,6744.42465683913
120000,天津市,2009,323.739927062184,21.01,64.0276249354228,6045.81842675987
120000,天津市,2008,297.944098829809,21.83,62.8678913695824,5937.73062386037
120000,天津市,2007,260.69426259613,23.11,59.8700013220975,5641.37972791901
120000,天津市,2006,280.3337075,22.886012,59.3684547206448,6721.4427
120000,天津市,2005,481.45,37.83,140.11,9205.64
120000,天津市,2004,446.61,33.8396,143.9748,8500.31
120000,天津市,2003,412.94,32.82,142.45,9441.88
120000,天津市,2002,362.4,27.93,124.74,8405.41
120000,天津市,2001,306.2,21.6,108.6,6026.32
120000,天津市,2000,235.8,18.28,95.06,4484.68
130000,河北省,2019,,,,
130000,河北省,2018,3709.594,345.59735,2201.44365,59728.2155275271
130000,河北省,2017,3785.29759444291,340.5,2168.9,60637.7822614489
130000,河北省,2016,3742.56754591058,331.933413504,2259.69616020256,61875.2880218866
130000,河北省,2015,3837.11643141716,325.4249152,2216.11865894305,59388.5581540072
130000,河北省,2014,3897.77677904734,320.61568,2155.73169075643,60491.6726238585
130000,河北省,2013,3666.38575892518,325.25,2076.86630113214,59315.3012220232
130000,河北省,2012,3576.73171621665,340.331904,2047.62967262534,58564.4992324294
130000,河北省,2011,3378.1242219652,338.976,2030.96404138773,51189.0640518798
130000,河北省,2010,3335.7844227951,361.19885516,2127.00154652044,48327.1584550039
130000,河北省,2009,3420.05670261276,344.32684,2047.18162271074,52837.1482884735
130000,河北省,2008,3286.87945844287,354.1,1938.69561111523,54094.5369802506
130000,河北省,2007,2989.82451595817,359.74,1785.61741436981,52201.6243356108
130000,河北省,2006,3246.7,348.785812,1726.40126024356,48743.01081
130000,河北省,2005,4510.58,579.26,2541.99,70579.79
130000,河北省,2004,4160.14,557.85,2346.44,65273.75
130000,河北省,2003,3875.1,526.73,2179.48,63314.07
130000,河北省,2002,3541.1,480.02,2030.69,57389.69
130000,河北省,2001,3470.1,452.96,1934.68,55086.78
130000,河北省,2000,3239.1,429.99,1868.4,53301.67
140000,山西省,2019,,,,
140000,山西省,2018,814.583763602027,43.9768,558.747713098646,11968.5414146845
140000,山西省,2017,822.795136167915,40.131189942,590.541941646175,12330.330554848
140000,山西省,2016,880.241958261346,40.2722813532793,581.704231863106,12328.1633746245
140000,山西省,2015,906.394039470492,40.2253350495768,537.858987075871,10957.0289883081
140000,山西省,2014,952.841882705008,39.8,515.767713677469,9243.31603460865
140000,山西省,2013,880.340895612538,36.0696,484.109946459922,8688.53607686938
140000,山西省,2012,797.628564244626,33.9,457.901036735316,8112.34624259686
140000,山西省,2011,728.678009751289,31.4,425.777074740073,6841.07453051017
140000,山西省,2010,729.65161306449,34.9806,424.943586293991,6425.01159616965
140000,山西省,2009,696.364347561805,34.6,418.768742003787,6098.13397285941
140000,山西省,2008,603.912197102463,30.2,374.929053522936,6140.29652567649
140000,山西省,2007,577.459569831429,27.3,377.974895803303,3058.4206159806
140000,山西省,2006,530.5053118,26.6457760018738,359.876212,3292.3425
140000,山西省,2005,627.12,51.58,513.22,3494.22
140000,山西省,2004,610.52,49.94,497.64,3397.24
140000,山西省,2003,610.24,49.76,496.99,3381.67
140000,山西省,2002,592.0,50.21,484.05,3508.3
140000,山西省,2001,575.4,55.7,483.6,3507.93
140000,山西省,2000,567.5,53.74,478.8,3350.25
150000,内蒙古自治区,2019,,,,
150000,内蒙古自治区,2018,895.98969381488,375.1,6390.7,10069.5
150000,内蒙古自治区,2017,918.963788528083,363.190953893224,6257.8722008,10271.1
150000,内蒙古自治区,2016,644.948212594234,339.74831982528,6112.8248,10159.9783974776
150000,内蒙古自治区,2015,898.45353192,326.36726208,5596.3,10439.05735
