省份编码,省份,年份,农村居民家庭拥有汽车数量(辆/百户),农村居民家庭拥有大中型拖拉机数量(台/百户),农村居民家庭拥有小型和手扶拖拉机数量(台/百户),农村居民家庭拥有机动脱粒机数量(台/百户),农村居民家庭拥有胶轮大车数量(辆/百户),农村居民家庭拥有水泵数量(台/百户),农村居民家庭拥有役畜数量(头/百户),农村居民家庭拥有产品畜数量(头/百户)
110000,北京市,2019,,,,,,,,
110000,北京市,2018,,,,,,,,
110000,北京市,2017,,,,,,,,
110000,北京市,2016,,,,,,,,
110000,北京市,2015,,,,,,,,
110000,北京市,2014,,,,,,,,
110000,北京市,2013,,,,,,,,
110000,北京市,2012,6.13333333333333,0.533333333333333,2.13333333333333,0.3,0.2,1.03333333333333,0.933333333333333,12.5333333333333
110000,北京市,2011,6.53333333333333,0.5,2.2,0.333333333333333,0.133333333333333,0.9,0.533333333333333,14.3
110000,北京市,2010,3.73333333333333,1.6,3.73333333333333,0.133333333333333,,2.66666666666667,0.266666666666667,47.3333333333333
110000,北京市,2009,4.53,1.33,5.33,0.13,0.13,2.53,0.27,35.33
110000,北京市,2008,5.2,1.33,5.2,,0.4,2.67,1.07,43.2
110000,北京市,2007,4.66666666666667,0.933333333333333,4.0,0.133333333333333,0.133333333333333,1.06666666666667,1.33333333333333,23.7333333333333
110000,北京市,2006,6.8,0.666666666666667,6.66666666666667,0.0,0.266666666666667,1.33333333333333,1.33333333333333,47.2
110000,北京市,2005,7.46666666666667,1.73333333333333,7.2,0.133333333333333,0.4,1.33333333333333,1.06666666666667,36.5333333333333
110000,北京市,2004,5.33333333333333,1.86666666666667,14.0,0.4,1.46666666666667,0.933333333333333,0.933333333333333,30.2666666666667
110000,北京市,2003,5.33333333333333,0.933333333333333,13.3333333333333,0.133333333333333,1.33333333333333,1.06666666666667,0.666666666666667,621.333333333333
110000,北京市,2002,5.07,0.4,16.27,0.4,0.93,2.27,5.6,60.4
110000,北京市,2001,4.66666666666667,1.33333333333333,15.4666666666667,0.266666666666667,1.2,1.46666666666667,2.0,86.8
110000,北京市,2000,4.8,0.933333333333333,16.0,0.8,1.2,1.06666666666667,2.4,39.2
120000,天津市,2019,,,,,,,,
120000,天津市,2018,,,,,,,,
120000,天津市,2017,,,,,,,,
120000,天津市,2016,,,,,,,,
120000,天津市,2015,,,,,,,,
120000,天津市,2014,,,,,,,,
120000,天津市,2013,,,,,,,,
120000,天津市,2012,9.14285714285716,1.0,7.85714285714287,0.142857142857143,,12.5714285714286,1.42857142857143,38.7142857142858
120000,天津市,2011,9.28566666666667,1.14283333333333,7.28566666666667,0.142833333333333,0.142833333333333,11.0,1.71433333333333,26.1428333333333
120000,天津市,2010,9.5,2.83333333333333,17.0,1.5,2.16666666666667,21.8333333333333,6.83333333333333,35.5
120000,天津市,2009,7.33,2.83,16.67,1.33,2.17,21.67,6.83,54.5
120000,天津市,2008,7.0,1.67,18.5,1.33,4.0,20.83,6.33,39.5
120000,天津市,2007,6.5,1.66666666666667,17.8333333333333,1.33333333333333,4.0,19.3333333333333,6.16666666666667,39.3333333333333
120000,天津市,2006,6.5,1.66666666666667,17.8333333333333,1.33333333333333,5.0,18.8333333333333,5.83333333333333,53.1666666666667
