省份编码,省份,年份,受灾面积(千公顷),水灾受灾面积(千公顷),旱灾受灾面积(千公顷),风雹灾受灾面积(千公顷),冷冻灾受灾面积(千公顷),成灾面积(千公顷),水灾成灾面积(千公顷),旱灾成灾面积(千公顷),风雹灾成灾面积(千公顷),冷冻灾成灾面积(千公顷)
110000,北京市,2019,3,,,2,,,,,,
110000,北京市,2018,4.7,2.6,0,1.6,0.5,2.2,1.4,0,0.3,0.5
110000,北京市,2017,6.7,0.0,,6.7,,1.6,0.0,,1.6,
110000,北京市,2016,34.7478803,16.1,0,18.646747,0.0011333,26.4317265,13.2,0,13.2305932,0.0011333
110000,北京市,2015,6.2,0.7,0.2,5.3,0.0,5.1,0.7,0.2,4.2,0.0
110000,北京市,2014,53.3,,26.1,27.2,,36.4,,17.1,19.3,
110000,北京市,2013,26.9,9.8,,17.1,0.0,10.9,3.7,,7.2,0.0
110000,北京市,2012,71.2,57.6,0,13.4,0.2,47.3,37.8,0,9.5,0.0
110000,北京市,2011,56.1,39.7,2,14.4,0.0,18.4,12.9,0,5.5,0.0
110000,北京市,2010,3.1,0.6,0,0,2.5,2.3,0.0,0,0.0,2.3
110000,北京市,2009,14.6,0.0,3.3,10,1.3,10.1666666666667,0.0,1.3,8.86666666666667,0.0
110000,北京市,2008,30.8,0.0,8.1,22.6,0.1,25.0666666666667,0.0,5,20.0666666666667,0.0
110000,北京市,2007,75.6333333333333,5.1,47.4,18.2,4.93333333333333,33.5333333333333,0.2,19.1333333333333,13.9333333333333,0.266666666666667
110000,北京市,2006,73.7,2.3,26.7,41.5,3.2,39.4,2.3,5.8,31.3,
110000,北京市,2005,68.7,,31.7,37,,17.5,,,17.5,
110000,北京市,2004,27.671,3.786,7.949,15,0.6,10.0,2.0,2,6.0,
110000,北京市,2003,59,,49,8,2.0,25.0,,24,1.0,
110000,北京市,2002,194.9,1.9,166,27,,103.0,2.0,81,20.0,
110000,北京市,2001,96.1,1.1,75,20,,63.1,1.1,52,10.0,
110000,北京市,2000,204,14.0,170,20,,89.0,1.0,78,10.0,
120000,天津市,2019,,,,,,,,,,
120000,天津市,2018,14.4,0.2,0,0.1,0.0,7.2,0.1,0,0.1,0.0
120000,天津市,2017,0,0.0,,,,0.0,0.0,,,
120000,天津市,2016,23.9696667,23.6,0,0.3696667,0.0,21.3896667,21.2,0,0.1896667,0.0
120000,天津市,2015,,,,,,,,,,
120000,天津市,2014,10.3,,,10.3,,9.4,,,9.4,
120000,天津市,2013,7.8,0.0,,7.8,0.0,1.5,0.0,,1.5,0.0
120000,天津市,2012,133.6,117.5,0,16.1,0.0,83.2,83.2,0,0.0,0.0
120000,天津市,2011,8.1,3.8,2.8,1.5,0.0,3.2,1.5,1.7,0.0,0.0
120000,天津市,2010,33.3,0.0,0,0,33.3,6.7,0.0,0,0.0,6.7
120000,天津市,2009,58.5333333333333,0.0,0,58.5333333333333,0.0,48.0,0.0,0,48.0,0.0
120000,天津市,2008,79.73,0.0,23.73,56,0.0,54.0333333333333,0.0,6.7,47.3333333333333,0.0
120000,天津市,2007,105.933333333333,5.0,66.6666666666667,30.6,3.66666666666667,47.1666666666667,3.1,13.3333333333333,27.0666666666667,3.66666666666667
120000,天津市,2006,60.6,3.3,28.3,29,,29.4,2.7,6.7,20.0,
120000,天津市,2005,121.7,,33.7,21.3,,32.7,,,16.0,
