省份编码,省份,年份,有效灌溉面积(千公顷),农用化肥施用折纯量(万吨),农用氮肥施用折纯量(万吨),农用磷肥施用折纯量(万吨),农用钾肥施用折纯量(万吨),农用复合肥施用折纯量(万吨),乡村办水电站个数(个),乡村办水电站装机容量(万千瓦),农村用电量(亿千瓦小时)
110000,北京市,2019,109.243,6.172743,2.248126,0.33512,0.3372,3.252297,30,,67.767161
110000,北京市,2018,109.672,7.29341,3.016302,0.400811,0.385712,3.490585,72,4.292,65.137015
110000,北京市,2017,115.479,8.54937,3.79925,0.46632,0.43879,3.84501,72,4.292,61.50779
110000,北京市,2016,128.47,9.65297,4.38553,0.54229,0.50703,4.21812,72,4.292,54.70993
110000,北京市,2015,137.35,10.52843,4.85242,0.59812,0.53725,4.54064,72,4.292,51.6705
110000,北京市,2014,143.11,11.63976,5.36783,0.66726,0.60262,5.00205,72,4.292,50.55586
110000,北京市,2013,153.02,12.78089,5.93728,0.7415,0.67218,5.42993,72,4.292,48.53196
110000,北京市,2012,207.54,13.67,6.49,0.78,0.7,5.7,72,4.292,47.31208
110000,北京市,2011,209.33,13.84,6.78,0.88,0.74,5.44,72,4.292,45.40086
110000,北京市,2010,211.42,13.67,6.87,0.88,0.72,5.2,72,4.292,44.37736
110000,北京市,2009,218.71,13.82,7.0,0.93,0.68,5.21,72,4.292,43.9099
110000,北京市,2008,241.66,13.63,6.97,1.02,0.68,4.96,72,4.292,42.73771
110000,北京市,2007,173.571866666667,13.98715,7.17845,1.0912,0.68788,5.02962,19,0.6909,41.12383
110000,北京市,2006,181.54,14.84,7.8,1.21,0.62,5.21,28,1.1565,41.645915
110000,北京市,2005,181.47,14.84,7.8,1.21,0.62,5.21,28,1.16,42.168014
110000,北京市,2004,186.67,14.46,7.88,1.23,0.61,4.74,34,1.27,38.3954
110000,北京市,2003,178.9,14.32,7.74,1.26,0.58,4.74,34,1.54,36.2907
110000,北京市,2002,316.73,14.88,8.31,1.16,0.55,4.86,36,1.68,35.76991
110000,北京市,2001,322.66,15.69,9.04,0.96,0.48,5.21,34,1.57,31.1696
110000,北京市,2000,328.19,17.9,10.4,1.0,0.4,6.1,40,1.97,31.02426
120000,天津市,2019,304.798,16.2390451,5.2990885,1.905514,1.2402586,7.794174,1,,39.235115753
120000,天津市,2018,304.66,16.9476113,5.6312578,2.0014514,1.335845,7.9790571,1,0.58,36.91449665
120000,天津市,2017,306.62,18.0098943,6.6121007,2.2853145,1.4777493,7.6347298,1,0.58,40.3199
120000,天津市,2016,306.62,21.7791,8.9876,2.9007,1.5468,8.344,1,0.58,92.19249
120000,天津市,2015,308.871,21.779659,10.021664,3.166973,1.483787,7.107235,1,0.58,102.4361
120000,天津市,2014,308.87,23.27,10.6,3.5,1.72,7.45,1,0.58,109.0388
120000,天津市,2013,308.87,24.34,11.19,3.77,1.82,7.56,1,0.5,69.2249
120000,天津市,2012,337.04,24.45,11.12,3.99,1.67,7.67,1,0.58,51.6155
120000,天津市,2011,338.0,24.39,11.37,3.91,1.68,7.43,1,0.58,51.2968
120000,天津市,2010,344.61,25.54,11.83,3.87,1.64,7.72,1,0.5,50.992
120000,天津市,2009,347.38,25.96,12.4,3.98,1.59,7.99,1,0.5,51.3898
120000,天津市,2008,348.06,25.88,12.06,3.86,2.26,7.7,1,0.5,45.7875
120000,天津市,2007,349.3,25.82,12.7,4.15,1.99,6.98,,,52.522035
120000,天津市,2006,352.25,24.555,12.125,3.915,1.75,6.765,,,53.8856175
120000,天津市,2005,355.2,23.29,11.55,3.68,1.51,6.55,,,55.2492
120000,天津市,2004,353.39,22.85,11.52,3.62,1.5,6.21,,,48.4221
120000,天津市,2003,354.09,17.8,9.3,2.28,1.02,5.2,,,42.315708
120000,天津市,2002,354.38,17.59,9.35,2.27,0.94,5.03,,,40.2785
120000,天津市,2001,354.29,17.31,9.17,2.27,0.77,5.1,,,37.7823
120000,天津市,2000,353.15,16.64,9.16,2.04,0.72,4.72,,,35.4946
130000,河北省,2019,4482.161,297.2687,106.4948,23.3704,22.2006,145.2029,257,,501.5685
130000,河北省,2018,4492.333,312.3959,114.47,23.938,23.9679,150.02,251,40.3748,505.1571
130000,河北省,2017,4474.67,321.9959,140.2901,43.7027,26.8315,111.1716,250,39.6073,615.1557
130000,河北省,2016,4457.64,331.7876,144.9545,45.1699,27.7329,113.9303,250,39.5833,600.7781
130000,河北省,2015,4447.976,335.492,147.9455,46.3583,28.0503,113.1379,248,39.5658,611.8225
130000,河北省,2014,4404.224,335.61,150.66,46.94,28.04,109.97,246,38.8728,631.3273
130000,河北省,2013,4349.027328,331.04,150.65,46.55,27.85,105.99,243,38.5308,616.3719
130000,河北省,2012,4603.07,329.33,151.68,46.58,27.24,103.83,242,38.1693,593.9386
130000,河北省,2011,4596.607,326.2786,152.417,47.102,27.0455,99.7141,239,37.9373,559.2151
130000,河北省,2010,4548.01,322.8615,153.0712,47.312,26.8367,95.6416,236,37.0983,511.8134
130000,河北省,2009,4552.95,316.17,153.0255,47.4215,26.2924,89.4306,235,37.0178,486.0468
130000,河北省,2008,4559.243,312.4,153.47,47.92,25.47,85.54,229,36.5458,418.9047
130000,河北省,2007,4579.02,311.87,156.11,48.19,25.06,82.51,122,6.21,430.1351
130000,河北省,2006,4569.78,304.89,155.06,48.6,24.29,76.94,103,3.68,388.2184
130000,河北省,2005,4547.75,303.39,155.16,48.58,24.27,75.38,116,3.68,337.0506
130000,河北省,2004,4459.76,289.88,149.15,46.56,22.21,71.96,123,3.04,310.7739
130000,河北省,2003,4403.99,283.31,148.01,45.53,21.13,68.64,85,2.55,216.7711
130000,河北省,2002,4415.16,278.8,147.71,44.71,19.89,66.49,95,2.58,201.7316
130000,河北省,2001,4485.39,273.38,147.8,43.85,17.45,64.28,96,1.69,184.0733
130000,河北省,2000,4482.32,270.62,147.96,43.85,16.81,62.0,105,1.91,180.4468
140000,山西省,2019,1519.34,108.40849,22.61038,10.2335,8.46004,67.10457,148,,104.90002
140000,山西省,2018,1518.68,109.61077,25.289745,11.565011,8.973088,63.782926,148,20.6626,101.416022
140000,山西省,2017,1511.21,111.998382,28.223279,13.11033,9.679528,60.9852449999999,149,19.8871,99.26462
140000,山西省,2016,1487.29,117.071876,31.595564,14.796646,10.351356,60.32831,150,19.6341,97.522001
140000,山西省,2015,1460.276,118.54717,33.529105,16.023532,10.423507,58.571026,149,19.3911,96.831122
