省份编码,省份,年份,水库数(座),水库总库容量(亿立方米),除涝面积(千公顷),水土流失治理面积(千公顷)
110000,北京市,2019,86,52.149648,12,901.57
110000,北京市,2018,87,52.191766,12,813.73
110000,北京市,2017,87,52.19,12,777.63
110000,北京市,2016,87,52.18,1.2,742.73
110000,北京市,2015,87,52.18,1.2,710.8
110000,北京市,2014,86,52.0,149.77,670.8
110000,北京市,2013,86,52.17,149.77,630.8
110000,北京市,2012,82,94.97,149.77,602.8
110000,北京市,2011,82,93.87,149.77,579.8
110000,北京市,2010,82,93.9,149.8,542.8
110000,北京市,2009,82,93.87,149.77,511.8
110000,北京市,2008,82,93.87,149.77,454.41
110000,北京市,2007,82,93.87,149.77,422.3
110000,北京市,2006,98,93.818687,149.77,391.3
110000,北京市,2005,83,93.1561,149.77,371.3
110000,北京市,2004,85,93.9768,149.77,668.65
110000,北京市,2003,85,93.973371,149.77,672.56
110000,北京市,2002,85,93.5,149.8,595.7
110000,北京市,2001,109,93.2,149.7,565.6
110000,北京市,2000,86,93.5,161,555.0
120000,天津市,2019,28,26.4235,364.58,100.62
120000,天津市,2018,27,26.2235,364.58,100.01
120000,天津市,2017,28,26.46,364.58,99.25
120000,天津市,2016,28,26.46,369.32,98.84
120000,天津市,2015,28,26.46,369.32,97.3
120000,天津市,2014,28,27.0,369.32,94.9
120000,天津市,2013,28,26.81,369.32,88.5
120000,天津市,2012,28,26.46,376.69,54.24
120000,天津市,2011,28,26.45,376.75,51.58
120000,天津市,2010,28,26.2,377.2,46.4
120000,天津市,2009,28,26.15,386.33,45.63
120000,天津市,2008,29,25.86,392.42,44.83
120000,天津市,2007,87,26.58,393.5,43.93
120000,天津市,2006,143,27.5135,394.2,41.43
120000,天津市,2005,143,27.513506,400.12,38.93
120000,天津市,2004,143,27.510506,400.25,36.63
120000,天津市,2003,141,27.495106,401.89,34.53
120000,天津市,2002,137,27.5,403.1,31.6
120000,天津市,2001,123,27.2,403.9,29.1
120000,天津市,2000,109,27.2,403,24.0
130000,河北省,2019,1060,206.290927,1638.25,5722.22
130000,河北省,2018,1070,206.403425,1638.25,5532.54
130000,河北省,2017,1070,206.36,1641.15,5379.15
130000,河北省,2016,1065,206.39,1641.15,5187.9
130000,河北省,2015,1082,205.99,1641.14,5061.55
130000,河北省,2014,1078,206.0,1639.33,4826.45
130000,河北省,2013,1078,206.07,1645.13,4679.05
130000,河北省,2012,1076,162.36,1649.72,6411.51
130000,河北省,2011,1077,161.12,1649.72,6351.47
130000,河北省,2010,1066,161.4,1648.6,6290.3
130000,河北省,2009,1068,161.37,1647.51,6230.72
130000,河北省,2008,1069,161.37,1647.33,6194.03
130000,河北省,2007,1063,161.1,1647.33,6133.66
130000,河北省,2006,1089,159.6899,1647.48,6076.183
130000,河北省,2005,1099,159.70461,1642.67,5981.19
130000,河北省,2004,1102,158.82445,1648.22,5876.49
130000,河北省,2003,1102,158.29945,1642.52,5791.68
130000,河北省,2002,1104,158.3,1637.6,5642.9
130000,河北省,2001,1107,158.3,1639,5485.6
130000,河北省,2000,1110,158.4,1638,5407.0
140000,山西省,2019,613,69.821297,89.25,7086.535
140000,山西省,2018,610,69.748152,89.25,6798.51
140000,山西省,2017,610,69.73,89.13,6484.79
140000,山西省,2016,609,69.44,89.13,6171.76
140000,山西省,2015,601,69.17,89.13,5846.39
140000,山西省,2014,604,68.82,89.13,5667.97
140000,山西省,2013,642,69.23,89.13,5475.69
140000,山西省,2012,637,68.72,89.13,5290.62
140000,山西省,2011,752,67.84,89.13,5560.62
