省份编码,省份,年份,水产品总产量(万吨),捕捞产量(吨),养殖产量(吨),鱼类产量(吨),虾蟹类产量(吨),贝类产量(吨),藻类产量(吨),海水产品产量(万吨),海洋捕捞产量(吨),海水养殖产量(吨),天然生产海水产品产量(万吨),人工养殖海水产品产量(万吨),鱼类海水产品产量(万吨),虾蟹类海水产品产量(万吨),贝类海水产品产量(万吨),藻类海水产品产量(万吨),淡水产品产量(万吨),淡水捕捞产量(吨),淡水养殖产量(吨),天然生产淡水产品产量(万吨),人工养殖淡水产品产量(万吨),鱼类淡水产品产量(万吨),虾蟹类淡水产品产量(万吨),贝类淡水产品产量(万吨)
110000,北京市,2019,21.4026,9111,21079,30189,,,,19.0497,6661,,19.0497,,19.0497,,,,2.3529,2450,21079,0.245,2.1079,2.3528,,
110000,北京市,2018,3.0028,,,,,,,0.1706,,,0.1706,,0.1706,,,,2.8322,,,0.236,2.5962,2.8322,,
110000,北京市,2017,4.5098,,,,,,,0.9,,,0.9,,0.9,,,,3.6098,,,0.3016,3.3082,3.6089,0.0005,
110000,北京市,2016,5.4288,16865,37423,54033,24,,,1.3514,13514,,1.3514,,1.3514,,,,4.0774,3351,37423,0.3351,3.7423,4.0519,0.0024,
110000,北京市,2015,6.6147,21104,45043,66065,36,,,1.7,17000,,1.7,,1.7,,,,4.9147,4104,45043,0.4104,4.5043,4.9065,0.0036,
110000,北京市,2014,6.8184,17313,50871,67799,47,,,1.3222,13222,,1.3222,,1.3222,,,,5.4962,4091,50871,0.4091,5.0871,5.4577,0.0047,
110000,北京市,2013,6.3611,10699,52912,63367,121,,,0.7008,7008,,0.7008,,0.7008,,,,5.6603,3691,52912,0.3691,5.2912,5.6359,0.0121,
110000,北京市,2012,6.3842,13402,50440,63592,116,,,0.958,9580,,0.958,,0.958,,,,5.4262,3822,50440,0.3822,5.044,5.4012,0.0116,
110000,北京市,2011,6.1228,11471,49757,60979,160,,,0.7532,7532,,0.7532,,0.7532,,,,5.3696,3939,49757,0.3939,4.9757,5.3447,0.016,
110000,北京市,2010,6.3386,13184,50202,54096,165,,,0.896,8960,,0.9,,,,,,5.4426,4224,50202,0.4,5.0,5.4096,0.0165,
110000,北京市,2009,5.8161,7898,50263,53730,241,,,0.3913,3913,,,,,,,,5.4248,3985,50263,0.3985,5.0263,5.373,0.0241,
110000,北京市,2008,6.0761,11211,49550,52961,338,,,0.715,7150,,0.715,,,,,,5.3611,4061,49550,0.4061,4.955,5.2961,0.0338,
110000,北京市,2007,6.0339,6130,54208.9501727947,54000,414,,,0.613,6130,,0.613,,0.059,,,,5.42089501727947,,54208.9501727947,,5.4209,5.341,0.0414,
110000,北京市,2006,5.3937,,62438,61532,605,,,,,,,,0.0,0,0,0,5.39368385716851,,62438,0.0,6.2438,6.1532,0.0605,0
110000,北京市,2005,6.4258,,64258,63739,519,,,,,,,,,,,,6.4258,,64258,,6.4258,6.3739,0.0519,
110000,北京市,2004,6.6753,,66753,66139,455,,,,,,,,,,,,6.6753,,66753,,6.6753,6.6139,0.0455,
110000,北京市,2003,7.1249,,71249,70650,599,,,,,,,,,,,,7.1249,,71249,,7.1249,7.065,0.0599,
110000,北京市,2002,7.4168,,74168,73676,492,,,,,,,,,,,,7.4168,,74168,,7.4,7.3676,0.0492,
110000,北京市,2001,7.4302,,74302,73970,332,,,,,,,,,,,,7.4302,,74302,,7.4302,7.397,0.0332,
110000,北京市,2000,7.5044,,75044,74859.4,184.6,,,,,,,,,,,,7.5044,,75044,,7.5044,7.48594,0.01846,
120000,天津市,2019,26.2231,40082,222149,217991,41841,1482,,4.008,34925,5155,3.4925,0.5155,3.3327,0.4758,0.1327,,22.2151,5157,216994,0.5157,21.6994,18.4664,3.7083,0.0155
120000,天津市,2018,32.6445,,,,,,,4.8695,,,4.1043,0.7652,3.8093,0.7964,0.1658,,27.775,,,0.5522,27.2228,23.7299,3.9549,0.0248
120000,天津市,2017,32.3321,,,,,,,4.8589,,,3.9417,0.9172,3.7763,0.8474,0.1617,,27.4732,,,0.5534,26.9198,24.2232,3.1654,0.0181
120000,天津市,2016,39.436,70640,323720,335214,54712,2589,,6.9703,58369,11334,5.8369,1.1334,5.7236,0.9881,0.2017,,32.4657,12271,312386,1.2271,31.2386,27.7978,4.4831,0.0572
120000,天津市,2015,40.0965,77410,323555,343496,52374,3058,,7.5637,65094,10543,6.5094,1.0543,6.3828,0.8719,0.25,,32.5328,12316,313012,1.2316,31.3012,27.9668,4.3655,0.0558
120000,天津市,2014,40.8244,77306,330938,348516,53360,2776,,7.7221,65594,11627,6.5594,1.1627,6.45,0.9156,0.1797,,33.1023,11712,319311,1.1712,31.9311,28.4016,4.4204,0.0979
120000,天津市,2013,39.8562,78797,319765,330088,63252,3072,,7.8733,66464,12269,6.6464,1.2269,6.5548,1.0504,0.209,,31.9829,12333,307496,1.2333,30.7496,26.454,5.2748,0.0982
120000,天津市,2012,36.5042,38776,326266,284966,73174,3391,,4.1594,27309,14285,2.7309,1.4285,2.4771,1.3264,0.2415,,32.3448,11467,311981,1.1467,31.1981,26.0195,5.991,0.0976
120000,天津市,2011,35.2148,36074,316074,277564,66921,4081,,3.8342,25037,13305,2.5037,1.3305,2.1682,1.2064,0.3066,,31.3806,11037,302769,1.1037,30.2769,25.5882,5.4857,0.1015
120000,天津市,2010,34.4925,34441,310484,261355,65902,3607,,3.8986,24774,14212,2.5,1.4,1.1301,1.404,0.2624,,30.5939,9667,296272,1.0,29.6,25.0054,5.1862,0.0983
120000,天津市,2009,33.4044,34137,299907,251292,65723,4909,,3.9455,25388,14067,2.5388,1.4067,1.0714,1.4691,0.3892,,29.4589,8749,285840,0.8749,28.584,24.0578,5.1032,0.1017
120000,天津市,2008,32.25,33204,289296,247721,59791,5752,,3.8576,24494,14082,2.4494,1.4082,1.0778,1.4937,0.4522,,28.3924,8710,275214,0.871,27.5214,23.6943,4.4854,0.123
120000,天津市,2007,31.1537,39131.2723856433,272405,236176,59766,7164,,4.44,30185,14215,3.0185,1.4215,1.6911,1.43,0.5959,,26.7136213686135,8946.50812195331,258189.705564182,0.8947,25.819,21.9265,4.5466,0.1205
120000,天津市,2006,31.4118,40481.6025736593,299712,277028,51939,6106,,4.4996,32827,16457,3.2827,1.6457,1.9208,1.8399,0.4572,0,26.912290637655,11512,283255,1.1512,28.3255,25.782,3.354,0.1534
120000,天津市,2005,33.8115,50163,287952,279497,39810,16243,,4.8953,38038,10915,3.8038,1.0915,1.8362,1.3506,1.4907,,28.9162,12125,277037,1.2125,27.7037,26.1135,2.6304,0.1336
120000,天津市,2004,31.0033,49276,260757,254806,37221,15319,,4.8606,37975,10631,3.7975,1.0631,1.8772,1.4168,1.4241,,26.1427,11301,250126,1.1301,25.0126,23.6034,2.3053,0.1078
120000,天津市,2003,29.8257,52887,245370,246762,28637,8962,,5.085,42091,8759,4.2091,0.8759,1.8181,1.3228,0.6555,,24.7407,10796,236611,1.0796,23.6611,22.8581,1.5409,0.2407
120000,天津市,2002,28.5564,57630,227934,239452,21601,6180,,5.2778,44820,7958,4.5,0.8,1.8093,1.2819,0.371,,23.2786,12810,219976,1.3,22.0,22.1359,0.8782,0.247
120000,天津市,2001,26.4564,50597,213967,227236,16005,17725,,4.3834,37143,6691,3.7143,0.6691,1.6232,1.1751,1.5674,,22.073,13454,207276,1.3454,20.7276,21.1004,0.4254,0.2051
120000,天津市,2000,24.2201,48905,193296,205966,17880,18122,,3.984,35098,4742,3.5098,0.4742,1.1323,1.2192,1.6092,,20.2361,13807,188554,1.3807,18.8554,19.4643,0.5688,0.203
130000,河北省,2019,99.0116,282361,707755,437088,97239,379396,992,69.564,246838,448802,24.6838,44.8802,17.2572,6.9987,37.9372,0.0991,29.4476,35523,258953,3.5523,25.8953,26.4516,2.7252,0.0024
130000,河北省,2018,109.6152,,,,,,,76.7665,,,27.7829,48.9836,19.8847,7.7142,45.188,0.1003,32.8487,,,4.2136,28.6351,29.3285,3.0033,0.1575
130000,河北省,2017,116.46,,,,,,,81.1407,,,28.2249,52.9158,19.6931,7.6994,49.4534,,35.3193,,,4.9018,30.4175,31.3725,3.3197,0.261
130000,河北省,2016,136.9267,398096,971171,724757,109810,483727,,80.6799,295427,511372,29.5427,51.1372,20.3552,7.6951,48.0046,,56.2468,102669,459799,10.2669,45.9799,52.1205,3.2859,0.3681
130000,河北省,2015,129.7077,357168,939909,653219,108700,485995,,76.0931,254447,506484,25.4447,50.6484,15.7972,7.774,48.2177,,53.6146,102721,433425,10.2721,43.3425,49.5247,3.096,0.3818
130000,河北省,2014,126.3941,341275,922666,633914,107310,473075,,73.1594,239595,491999,23.9595,49.1999,14.3783,7.4982,46.9296,,53.2347,101680,430667,10.168,43.0667,49.0131,3.2328,0.3779
130000,河北省,2013,123.0636,328139,902497,633565,116632,433953,,68.2809,230539,452270,23.0539,45.227,13.4634,7.7538,43.017,,54.7827,97600,450227,9.76,45.0227,49.8931,3.9094,0.3783
130000,河北省,2012,116.3172,350163,813009,626023,115476,364671,,63.4631,252570,382061,25.257,38.2061,14.1882,8.1978,36.0885,,52.8541,97593,430948,9.7593,43.0948,48.4141,3.3498,0.3786
130000,河北省,2011,106.7131,351059,716072,609990,100221,295057,,56.3281,251761,311520,25.1761,31.152,14.5094,7.1757,29.1038,,50.385,99298,404552,9.9298,40.4552,46.4896,2.8464,0.4019
130000,河北省,2010,106.33,345539,717761,594984,106607,311903,250,58.26,253292,329308,25.3,32.9,15.1653,7.8882,30.8017,0.025,48.07,92247,388453,9.2,38.8,44.3331,2.7725,0.3886
130000,河北省,2009,100.41,341050,663050,567503,99382,285993,,55.3884,253317,300567,25.3317,30.0567,15.152,7.2917,28.2873,,45.0216,87733,362483,8.7733,36.2483,41.5983,2.6465,0.312
130000,河北省,2008,96.64,334424,631976,550168,105326,281928,,54.925,253300,295950,25.33,29.595,16.4631,8.0317,27.8828,,41.715,81124,336026,8.1124,33.6026,38.5537,2.5009,0.31
130000,河北省,2007,90.6437,327508.079832869,578928.423946991,513563,98050,267443,,52.4303,253195,271108,25.3195,27.1108,16.0388,7.5141,26.4604,,38.2133103249192,74314,307820.479074254,7.4314,30.782,35.3175,2.2909,0.2839
