省份编码,省份,年份,大牲畜年底头数(万头),牛期末数量(万头),马期末数量(万头),驴期末数量(万头),骡期末数量(万头),骆驼期末数量(万头),猪年底头数(万头),羊年底只数(万头),山羊期末数量(万头),绵羊期末数量(万头)
110000,北京市,2019,8.4647,8.1141,0.123,0.2118,0.0158,,13.1926,16.8707,4.8037,12.067
110000,北京市,2018,10.9304,10.5735,0.1425,0.1897,0.0247,,45.4345,24.2361,5.6749,18.5612
110000,北京市,2017,13.2941,12.8312,0.2185,0.2101,0.0333,0.001,112.1828,35.1815,8.3755,26.806
110000,北京市,2016,16.7116,16.1556,0.2113,0.2918,0.0529,,165.3117,59.6194,17.7687,41.8507
110000,北京市,2015,18.0752,17.4848,0.1931,0.3296,0.0677,,165.6081,69.3511,18.9699,50.3812
110000,北京市,2014,20.3242,19.68,0.1932,0.3728,0.0782,,179.6,68.35,17.19,51.16
110000,北京市,2013,21.0863,20.35,0.2012,0.4426,0.0925,,189.23,59.47,15.8,43.67
110000,北京市,2012,22.28,21.36,0.17,0.61,0.14,,187.39,58.07,16.6328642783328,41.4371357216672
110000,北京市,2011,22.2815,21.0915,0.17,0.84,0.18,,179.3372,57.7661,16.0339,41.7322
110000,北京市,2010,21.92,20.69,0.18,0.85,0.2,,183.2108562,60.63,16.18,44.45
110000,北京市,2009,23.3792,22.0592,0.2,0.89,0.23,,186.5691,67.3646,18.86,48.5046
110000,北京市,2008,24.45,23.02,0.19,0.96,0.28,,179.82,73.2,20.94,52.26
110000,北京市,2007,24.9,23.12,0.21,1.19,0.38,,168.18,78.88,21.58,57.3
110000,北京市,2006,21.398,19.468,0.21,1.26,0.46,,144.5885,70.6702,23.71,79.53
110000,北京市,2005,26.55,24.4,0.24,1.36,0.55,,218.78,126.03,27.96,98.07
110000,北京市,2004,31.74,29.25,0.32,1.53,0.64,,243.24,158.47,37.57,120.9
110000,北京市,2003,32.97,29.8,0.48,1.82,0.87,,248.5,182.98,57.94,125.04
110000,北京市,2002,30.99,27.43,0.48,2.02,1.06,,277.8,175.24,59.76,115.48
110000,北京市,2001,27.6,23.4,0.56,2.41,1.23,,248.2,145.1,56.15,88.95
110000,北京市,2000,23.59,18.85,0.59,2.65,1.5,,250.1,120.11,51.26,68.85
120000,天津市,2019,26.742,25.6757,0.067,0.9837,0.0153,0.0003,124.2579,39.2263,4.9622,34.2641
120000,天津市,2018,25.0815,24.5732,0.0898,0.4,0.0183,0.0002,196.9099,41.9312,4.9246,37.0066
120000,天津市,2017,26.701345,25.846945,0.103,0.7282,0.0232,,179.9522369,43.4797797,5.3309135,38.1488662
120000,天津市,2016,30.669,29.8858,0.043,0.7132,0.027,,190.6415016,47.4627,5.4027,42.06
120000,天津市,2015,29.9835,29.28,0.0561,0.5575,0.0899,,196.9437,47.96,5.66,42.3
120000,天津市,2014,30.379,29.96,0.0568,0.2594,0.1028,,199.78,46.76,5.58,41.18
120000,天津市,2013,28.7563,28.3226,0.0603,0.2658,0.1076,,200.99,45.43,5.49,39.94
120000,天津市,2012,29.65,29.14,0.067,0.313,0.125,,193.74638,41.39,4.87,36.52
120000,天津市,2011,30.0,29.36,0.09,0.4,0.15,,191.26,36.06,4.57276085871193,31.4872391412881
120000,天津市,2010,29.58,28.8,0.11,0.47,0.2,,186.93168,37.4,4.7,32.7
120000,天津市,2009,28.22,27.4,0.09,0.51,0.22,,180.96,38.07,4.29,33.78
120000,天津市,2008,27.23,26.01,0.14,0.76,0.32,,180.26,37.28,4.37,32.91
120000,天津市,2007,28.72,27.16,0.17,0.99,0.4,,147.94898222039,35.29,4.22,31.07
120000,天津市,2006,26.7261,24.8761,0.26,1.15,0.44,,145.6279,34.7953,18.71,54.59
120000,天津市,2005,49.39,44.4,0.31,3.6,1.07,,255.45,84.69,21.62,63.07
120000,天津市,2004,48.7172,43.4163,0.4119,3.5783,1.3107,,252.42,93.6128,19.0188,74.594
120000,天津市,2003,48.77,42.91,0.55,3.79,1.52,,245.09,106.49,39.33,67.16
120000,天津市,2002,44.13,37.29,0.71,4.47,1.66,,269.9,93.73,34.44,59.29
120000,天津市,2001,35.37,27.0,0.81,5.56,2.0,,182.9,82.1,18.1810725167581,63.9189274832419
120000,天津市,2000,31.59,21.45,0.95,6.93,2.27,,164.8,65.17,15.92,49.25
130000,河北省,2019,376.965210754382,350.111810754382,6.2735,16.1146,4.4105,0.0548,1418.367366,1194.89708113571,364.291497135714,830.605584
130000,河北省,2018,371.605949219217,342.027849219217,6.1231,17.9556,5.4552,0.0442,1820.754,1179.56276518827,365.243565188267,814.3192
130000,河北省,2017,387.8652,359.5,5.8575,17.347,5.1229,0.0378,1957.79806226119,1228.1,401.366555151941,826.733444848059
130000,河北省,2016,467.703864,395.982264,15.1092,40.8778,15.7071,0.0275,1819.0112234775,1386.2903930026,470.339154173026,915.951238829574
130000,河北省,2015,493.199625,412.481525,15.9719,47.3404,17.3728,0.033,1865.6525369,1450.09455335,475.7824656,974.31208775
130000,河北省,2014,488.231,402.421,17.06,49.92,18.79,0.04,1915.45435,1526.3999,481.5612,1044.8387
130000,河北省,2013,482.534292853358,390.664292853358,18.07,53.64,20.16,,1932.85,1455.14055690495,450.940556904947,1004.2
130000,河北省,2012,498.157135,403.107135,18.44,55.49,21.12,,1847.496,1413.48594,450.490066838109,962.995873161891
130000,河北省,2011,495.715,400.305,18.2,55.8,21.41,,1885.2,1457.202,467.53731,989.66469
130000,河北省,2010,503.87,404.2,18.85,57.73,23.09,,1846.02557216,1408.6,462.23,946.37
130000,河北省,2009,536.6593,429.1093,20.3,62.89,24.36,,1968.04432,1565.09630417258,551.39,1013.70630417258
130000,河北省,2008,569.748047,449.008047,22.7,70.65,27.39,,2015.17449513114,1617.0,750.9,866.1
130000,河北省,2007,610.4912045,474.9912045,24.92,80.72,29.86,,1907.04504129,1583.680152,643.488684292236,940.191467707764
130000,河北省,2006,612.9987,458.9287,28.99,90.16,34.92,,1812.7804575,1552.6276,991.8,1433.72
130000,河北省,2005,1019.05,826.88,33.13,104.11,40.47,,3064.39,2481.97,1000.2,1481.8
130000,河北省,2004,988.9,795.48,35.53,112.56,45.33,,2945.91,2361.7,947.963140970144,1413.73685902986
130000,河北省,2003,944.28,737.09,36.83,121.05,49.31,,2763.41,2209.71,911.06,1298.6
130000,河北省,2002,929.44,703.16,40.64,130.04,55.6,,2614.3,2101.12,897.388352,1203.731648
130000,河北省,2001,944.06,701.61,43.31,138.92,60.22,,2592.5,2185.01,999.509736180609,1185.50026381939
130000,河北省,2000,955.4,697.89,45.04,149.14,63.33,,2415.8,2090.01,999.28,1090.73
140000,山西省,2019,118.88,103.8311,0.8972,11.3732,2.774,0.0045,451.4147,868.8967,342.9962,525.9005
140000,山西省,2018,118.4632,101.9662,0.9682,11.955,3.554,0.0198,549.4818,875.6321,344.1078,531.5243
