省份编码,省份,年份,乡镇数(个),乡数(个),镇数(个),村民委员会数(个)
110000,北京市,2019,,,,
110000,北京市,2018,181,38,143,3915
110000,北京市,2017,181,38,143,3920
110000,北京市,2016,181,38,143,3941
110000,北京市,2015,181,38,143,3936
110000,北京市,2014,182,38,144,3937
110000,北京市,2013,182,38,144,3938
110000,北京市,2012,182,38,144,3940
110000,北京市,2011,182,38,144,3941
110000,北京市,2010,182,40,142,3944
110000,北京市,2009,182,40,142,3950
110000,北京市,2008,182,40,142,3951
110000,北京市,2007,183,41,142,3951
110000,北京市,2006,183,41,142,3956
110000,北京市,2005,184,41,143,3964
110000,北京市,2004,185,42,143,3978
110000,北京市,2003,190,47,143,4003
110000,北京市,2002,196,54,142,4032
110000,北京市,2001,214,67,147,4044
110000,北京市,2000,215,71,144,4043
120000,天津市,2019,,,,
120000,天津市,2018,129,3,126,3556
120000,天津市,2017,127,3,124,3680
120000,天津市,2016,127,3,124,3681
120000,天津市,2015,127,6,121,3686
120000,天津市,2014,127,6,121,3698
120000,天津市,2013,127,6,121,3707
120000,天津市,2012,134,11,123,3782
120000,天津市,2011,134,11,123,3784
120000,天津市,2010,135,20,115,3828
120000,天津市,2009,136,20,116,3821
120000,天津市,2008,136,20,116,3838
120000,天津市,2007,137,20,117,3826
120000,天津市,2006,138.5,20,118.5,3823
120000,天津市,2005,140,20,120,3821
120000,天津市,2004,140,20,120,3821
120000,天津市,2003,140,20,120,3825
120000,天津市,2002,140,20,120,3829
120000,天津市,2001,141,20,121,3852
120000,天津市,2000,220,116,104,3870
130000,河北省,2019,,,,
130000,河北省,2018,1946,790,1156,48724
130000,河北省,2017,1946,818,1128,48671
130000,河北省,2016,1952,845,1107,48860
130000,河北省,2015,1957,890,1067,48693
130000,河北省,2014,1957,907,1050,48636
130000,河北省,2013,1959,914,1045,48687
130000,河北省,2012,1959,940,1019,48721
130000,河北省,2011,1959,946,1013,48969
130000,河北省,2010,1960,953,1007,48971
130000,河北省,2009,1960,968,992,49035
130000,河北省,2008,1961,992,969,48712
130000,河北省,2007,1961,999,962,49110
130000,河北省,2006,1962,1016,946,49118
130000,河北省,2005,1962,1018,944,49678
130000,河北省,2004,1967,1030,937,49697
130000,河北省,2003,1971,1034,937,49752
130000,河北省,2002,1968,1035,933,49838
130000,河北省,2001,1974,1064,910,49914
130000,河北省,2000,1973,1073,900,49951
140000,山西省,2019,,,,
140000,山西省,2018,1196,632,564,26623
140000,山西省,2017,1196,632,564,27881
140000,山西省,2016,1196,632,564,28106
140000,山西省,2015,1196,632,564,28087
140000,山西省,2014,1196,632,564,28072
140000,山西省,2013,1196,632,564,28273
140000,山西省,2012,1196,632,564,28127
140000,山西省,2011,1196,632,564,28110
140000,山西省,2010,1196,633,563,28120
140000,山西省,2009,1196,633,563,28135
140000,山西省,2008,1196,633,563,27952
140000,山西省,2007,1212,732,480,28280
140000,山西省,2006,1201,724,477,28301
140000,山西省,2005,1192,717,475,28323
140000,山西省,2004,1193,717,476,28552
140000,山西省,2003,1191,714,477,28745
140000,山西省,2002,1189,713,476,30896
140000,山西省,2001,1187,629,558,32066
140000,山西省,2000,1834,1388,446,32338
150000,内蒙古自治区,2019,,,,
150000,内蒙古自治区,2018,778,270,508,11057
150000,内蒙古自治区,2017,777,272,505,11053
150000,内蒙古自治区,2016,775,272,503,11078
150000,内蒙古自治区,2015,771,275,496,11110
150000,内蒙古自治区,2014,770,275,495,11192
150000,内蒙古自治区,2013,768,275,493,11173
150000,内蒙古自治区,2012,767,277,490,11228
150000,内蒙古自治区,2011,669,192,477,11362
150000,内蒙古自治区,2010,642,179,463,11251
150000,内蒙古自治区,2009,642,179,463,11282
150000,内蒙古自治区,2008,640,182,458,11271
150000,内蒙古自治区,2007,602,190,412,11308
150000,内蒙古自治区,2006,648,236,411.5,11718
150000,内蒙古自治区,2005,964,553,411,12129
150000,内蒙古自治区,2004,1147,703,444,12215
150000,内蒙古自治区,2003,1138,711,427,12269
150000,内蒙古自治区,2002,1154,713,441,13120
150000,内蒙古自治区,2001,1149,733,416,13302
150000,内蒙古自治区,2000,1448,1107,341,13648
210000,辽宁省,2019,,,,
210000,辽宁省,2018,841,201,640,11586
210000,辽宁省,2017,843,202,641,11598
210000,辽宁省,2016,854,212,642,11555
210000,辽宁省,2015,861,213,648,11569
210000,辽宁省,2014,862,217,645,11558
210000,辽宁省,2013,864,228,636,11609
