省份编码,省份,年份,农业机械总动力(万千瓦),农用大中型拖拉机数量(台),农用大中型拖拉机动力(万千瓦),小型拖拉机数量(台),小型拖拉机动力(万千瓦),大中型拖拉机配套农具(部),小型拖拉机配套农具(部),农用排灌电动机数量(台),农用排灌电动机动力(万千瓦),农用排灌柴油机数量(台),农用排灌柴油机动力(万千瓦),联合收割机数量(台),联合收割机动力(万千瓦),机动脱粒机数量(台),渔用机动船数量(艘),渔用机动船动力(万千瓦)
110000,北京市,2019,122.842167,4314,,2124,,1300,,,,,,1000,,4000,,
110000,北京市,2018,125.6537,4700,,2200,,1600,,,,,,1100,,3800,,
110000,北京市,2017,133.51,6900,,1400,,9000,2800,,,1900,,1300,,3900,,
110000,北京市,2016,144.45,7300,,1300,,10200,2200,34000,,2000,,1500,,3800,,
110000,北京市,2015,186.05,7000,,1400,,10400,1900,36900,,2600,,1500,,3900,,
110000,北京市,2014,195.76,6600,,2000,,11400,2100,37400,,2600,,1800,,3900,,
110000,北京市,2013,207.72,6500,,2400,,11600,2800,37700,,2000,,1900,,4100,,
110000,北京市,2012,241.1,7400,30.75,7300,8.16,13500,7200,39200,44.81,2000,1.35,2200,17.56,4200,,
110000,北京市,2011,265.1972,8864,36.7384,11653,12.9495,14603,8444,40691,46.8563,1989,1.3467,2167,16.9982,4364,,
110000,北京市,2010,276.0,8300,36.21,13200,14.67,14100,10300,45000,49.68,2000,1.4,2100,14.92,5100,,
110000,北京市,2009,271.54,7800,33.67,14000,15.75,13900,10400,43000,48.14,2000,1.36,1800,11.95,5300,,
110000,北京市,2008,267.0476,6927,30.9599,13517,15.0254,13623,10639,45004,49.6539,2178,1.4819,1801,11.2504,5477,,
110000,北京市,2007,300.480562,7892,34.550676,32082,36.535976,14828,11698,46660,51.0791,2142,1.41119,2136,13.164506,5512,1,0.005
110000,北京市,2006,325.51,9063,38.79,32598,36.3,15804,12318,50231,53.94,1966,1.33,2590,15.51,6607,1,
110000,北京市,2005,337.71,9487,40.8936,18961,35.8727,18515,12453,51366,54.8345,2019,1.3951,2820,17.5007,6995,3,
110000,北京市,2004,340.02,9630,41.38,25326,28.77,16758,11932,51456,54.46,1879,1.31,3160,19.98,6939,2,
110000,北京市,2003,365.87,10998,44.23,20073,23.38,29884,11524,65767,59.62,1672,1.2,3766,22.31,7858,2,0.0
110000,北京市,2002,381.79,10784,47.07,20040,22.71,20016,11874,77318,61.33,1766,1.36,4544,26.19,8488,2,0.0
