省份编码,省份,年份,肉类产量(万吨),猪肉产量(万吨),牛肉产量(万吨),羊肉产量(万吨),牛奶产量(万吨),绵羊毛产量(吨),细羊毛产量(吨),半细羊毛产量(吨),山羊毛产量(吨),羊绒产量(吨),禽蛋产量(万吨),蜂蜜产量(万吨)
110000,北京市,2019,5.142507,2.286474,0.747175,0.383568,26.413483,23.13,3.9,12.59,6.69,2.73,9.621274,0.12294
110000,北京市,2018,17.465395,13.532492,0.942815,0.598693,31.055113,37.38,2.9,2.9,5.22,3.14,11.247125,0.103203
110000,北京市,2017,26.392473,19.218211,1.474351,1.055821,37.421293,54.42,4.8,7.01,29.79,22.29,15.684737,0.192467
110000,北京市,2016,30.37198274,21.841667,1.360064,1.164135,45.695278,104.38,11.14,18.94,55.82,33.34,18.333386,0.203955
110000,北京市,2015,36.41074,22.4782,1.5461,1.1955,57.2155,176.9,8.4,29.4,45.0,32.3,19.58,0.16313
110000,北京市,2014,39.29524,24.01,1.7,1.17,59.48,260.4,20.2,45.1,55.7,31.4,19.65,0.2321
110000,北京市,2013,41.79569,24.63,2.05,1.19367,61.46,270.7,21.0,43.3,58.3,33.4,17.5,0.2757
110000,北京市,2012,43.191955077981,23.94,2.17,1.21,65.05,288.2,6.5,42.6,72.4,34.4,15.24,0.25542
110000,北京市,2011,44.415559237594,24.2146,2.0971,1.29372,63.97545,296.2,9.7,73.8,62.9,35.0,15.1463,0.32696
110000,北京市,2010,46.26691417,24.10329258,2.03934095,1.3987,64.0837056,339.0,12.7,84.9,79.4,41.4,15.13700074,0.3012
110000,北京市,2009,47.19134,24.12742,2.08735,1.4026,67.3856,378.0,10.0,53.0,89.0,39.0,15.39878,0.2795
110000,北京市,2008,45.1113,22.3094,2.1289,1.451,66.3835,634.0,19.0,80.0,87.0,38.0,15.2409,0.312
110000,北京市,2007,47.8508,22.4496,2.7762,1.8619,62.2409,807.0,38.0,68.0,141.0,53.0,15.5568,0.2326
110000,北京市,2006,45.2441997182294,21.87308329395,3.0486888,1.96102762427936,61.9339,903.0,21.0,77.0,149.0,66.0,15.1847,0.2684
110000,北京市,2005,66.6932,31.3309,4.3758,3.9552,64.199,1132.0,14.0,1118.0,224.0,93.0,15.967,0.3282
110000,北京市,2004,70.8365,31.8148,5.0894,4.9077,70.041,1260.0,28.0,1232.0,320.0,128.0,15.8858,0.3036
110000,北京市,2003,70.2590621389,32.6880601389,5.1798,4.697,63.2919,1245.0,42.0,1203.0,397.0,153.0,16.1755,0.3231
110000,北京市,2002,70.68282892352,33.8228996028,4.922,4.2442,55.1,1380.0,44.0,1336.0,397.0,128.0,15.2145,0.2789
110000,北京市,2001,69.1405,31.1951,4.0118,3.0175,42.9,1351.0,19.0,1332.0,261.0,113.0,15.5587,0.2505
110000,北京市,2000,55.88885,29.0927,3.2681,1.55895,30.3,762.0,53.0,50.0,199.0,68.0,16.0165,0.26045
120000,天津市,2019,30.432684313808,15.635051113808,2.528911,0.849805,47.3677,139.431,27.202,112.047,1.18,0.255,19.363093,0.00713
120000,天津市,2018,33.8860192698478,21.2432759698478,2.8539865,1.1802106,48.0412627477478,179.443,22.668,156.775,1.92,,19.4094978,0.007375
120000,天津市,2017,36.1411214670239,22.5863104193567,3.390496192,1.423884,52.05,,865.37,303.84,4.91,,18.9888792652462,0.003853
120000,天津市,2016,45.5154883693563,29.1786966121635,3.4546848,1.61805,68.0167039,412.211,89.68,322.531,3.128,1.0,20.6310642,0.0038565
120000,天津市,2015,45.7536065,29.21286,3.3936,1.61,68.0,707.281,119.531,587.75,1.584,,20.2,0.0171779
120000,天津市,2014,46.4360481325,29.87,3.36,1.57,68.9,837.783,99.562,738.221,1.372,,19.42,0.0045263
120000,天津市,2013,46.4806795,29.82,3.28,1.48806,68.24,574.863,125.969,448.894,2.946,,18.89,0.0050105
120000,天津市,2012,45.7998,29.2,3.26,1.47,67.87,511.0,59.0,452.0,2.0,,18.66,0.0055
120000,天津市,2011,42.92,27.6,3.08,1.49,69.09,518.0,60.0,458.0,2.0,,18.67,0.0066
120000,天津市,2010,42.61083,27.9694,3.09915,1.5022,69.04119,467.0,34.0,433.0,2.0,,18.7376,0.0063
120000,天津市,2009,39.4865,25.66,3.55,1.48,68.29,603.0,44.0,559.0,1.0,,19.6,0.0043
120000,天津市,2008,37.1337,23.4799,3.6789,1.4422,69.7536,593.0,43.0,550.0,1.0,,19.6898,0.0041
120000,天津市,2007,33.761,20.4543,3.8886,1.3601,67.214,587.0,41.0,546.0,1.0,,19.3551659487322,0.0054
120000,天津市,2006,36.6860902791151,21.78192907275,3.89062204,1.32447867115601,68.275,1060.0,586.0,43.0,6.0,1.0,18.9756528909139,0.0071
120000,天津市,2005,57.7821,35.6321,6.2413,3.0403,63.4135,831.0,58.0,773.0,68.0,,23.4686,0.0037
120000,天津市,2004,53.7292,33.0538,5.5829,3.1509,54.2407,820.0,56.0,764.0,67.0,1.0,24.383,0.0048
120000,天津市,2003,53.4206,32.211,5.4147,3.1151,43.2264,1186.0,81.0,1105.0,95.0,1.0,24.2486,0.0072
120000,天津市,2002,44.8287,26.0899,4.5566,2.8317,33.6,1110.0,77.0,1033.0,97.0,1.0,24.4677,0.0073
120000,天津市,2001,36.3972,21.923,3.5283,2.4376,24.1,1332.0,37.1,1295.0,40.7,0.3,25.9953,0.00387
120000,天津市,2000,28.8712,17.3435,2.7752,1.9865,16.5,1418.4,307.0,4603.0,48.6,506.0,25.6015,0.0666
130000,河北省,2019,433.398147984414,241.883785,57.19848785,30.99947025,428.67834,19095.85,3886.06,12389.27,1961.7,632.57,385.90311116716,1.094734
130000,河北省,2018,466.695131430761,286.253,56.46445,30.54135,384.81,20816.27,4784.82,12788.34,2360.32,704.6,377.965828763134,1.12721
130000,河北省,2017,474.245683485149,291.469920428538,55.6,30.1,381.005725028836,23157.89,3783.91,14184.59,2629.01,830.61,383.721653566633,1.417452
130000,河北省,2016,457.671370482,265.40511186,54.25448238,32.365606506,440.4904539,35272.0,7094.0,22909.0,3088.0,918.0,388.53795136,1.4027
130000,河北省,2015,462.4515386,275.031204,53.190669,31.6725888,473.1369,36308.0,6655.0,22956.0,3115.0,946.0,373.594184,1.2882
130000,河北省,2014,468.1279750332,281.218,52.4046,30.4386,487.77,36145.0,6472.0,22798.0,3153.0,877.0,362.7128,1.3161
130000,河北省,2013,448.78161882007,265.285714285714,52.3,29.0514045343565,458.0,33105.0,5192.0,19327.0,2995.0,830.0,346.06,1.2142
130000,河北省,2012,442.9107,259.0,55.3,28.7,470.367785,30663.0,4757.0,17076.0,2698.0,810.0,342.555696,1.2062
130000,河北省,2011,418.1762,246.6,54.4609,28.4115,458.8954,28748.0,4122.0,15570.0,2683.0,776.0,339.837,1.1582
