省份编码,省份,年份,瓜果类面积(千公顷),西瓜面积(千公顷),甜瓜面积(千公顷),草莓播种面积(千公顷)
110000,北京市,2019,,,,
110000,北京市,2018,3.61,2.76,0.08,0.77
110000,北京市,2017,3.90974862154,3.12687489677,0.08185337426,0.70102035051
110000,北京市,2016,4.24852,3.48570666666667,0.091366666666667,0.671446666666667
110000,北京市,2015,5.20333333333333,4.3554,0.159733333333333,0.688
110000,北京市,2014,6.47606666666667,5.6078,0.246066666666667,0.6186
110000,北京市,2013,6.95353333333333,5.77726666666667,0.376333333333333,0.770466666666667
110000,北京市,2012,7.6598,6.47366666666667,0.3656,0.808266666666667
110000,北京市,2011,8.20386666666667,7.34073333333333,0.318866666666667,0.541666666666667
110000,北京市,2010,7.81166666666667,6.9696,0.313533333333333,0.5262
110000,北京市,2009,7.58473333333333,6.88246666666667,0.319066666666667,0.3594
110000,北京市,2008,8.0878,7.56,0.280866666666667,0.206533333333333
110000,北京市,2007,8.5348,8.00086666666667,0.352466666666667,0.166533333333333
110000,北京市,2006,8.65,8.14,0.4,0.11
110000,北京市,2005,7.7,7.2,0.4,0.1
110000,北京市,2004,8.42,7.62,0.6,0.1
110000,北京市,2003,8.94,8.12,0.58,0.04
110000,北京市,2002,8.7,7.9,0.5,0.1
110000,北京市,2001,9.4,8.5,0.6,
110000,北京市,2000,8.07,7.06,0.51,
120000,天津市,2019,,,,
120000,天津市,2018,4.775008,3.769684,0.68928,0.136594
120000,天津市,2017,4.33965479114219,3.8,0.258967721652164,0.24910369197674
120000,天津市,2016,4.61353953277488,3.66126533333333,0.399546666666667,0.190467333333333
120000,天津市,2015,4.72439891107566,3.9050489799628,0.0,0.0
120000,天津市,2014,4.88494870123763,3.88956802653922,0.0,0.0
120000,天津市,2013,4.15743680578497,3.11172417134387,0.0,0.0
120000,天津市,2012,4.61901187532489,3.68311646811957,0.0,0.0
120000,天津市,2011,4.83318922912534,3.76162580112745,0.0,0.0
120000,天津市,2010,5.15390200350396,4.05320002402774,0.0,0.0
120000,天津市,2009,6.57071076267995,5.1346034898361,0.0,0.0
120000,天津市,2008,6.30238977567103,5.05231405519465,0.0,0.0
120000,天津市,2007,6.31361004969391,4.9935573022122,0.0,0.0
120000,天津市,2006,8.55,7.32,1.03,0.01
120000,天津市,2005,8.6,7.17,1.12,
120000,天津市,2004,8.66526666666667,7.01,,
120000,天津市,2003,13.1,9.1,3.8,
120000,天津市,2002,12.63,8.71,3.81,0.01
120000,天津市,2001,16.0401333333333,10.5989333333333,5.117,
120000,天津市,2000,12.18,9.2,2.53,
130000,河北省,2019,,,,
130000,河北省,2018,73.85096,45.02948,16.63098,7.95543
130000,河北省,2017,70.74087,43.85615,14.59586,7.6684
130000,河北省,2016,70.25606,45.29326,12.92938,7.76082
130000,河北省,2015,85.7975409422669,59.97239394979,14.2645709608193,7.74972915155416
130000,河北省,2014,85.6108986972871,60.937608705506,13.2035816521574,7.6492840676761
