省份编码,省份,年份,瓜类单位面积产量(公斤/公顷),西瓜单位面积产量(公斤/公顷),甜瓜单位面积产量(公斤/公顷),草莓单位面积产量(公斤/公顷)
110000,北京市,2019,,,,
110000,北京市,2018,41758.1163434903,47982.3550724638,34807.5,20170
110000,北京市,2017,43913.1812859042,50086.7176239702,32129.4024073627,17752.2663799223
110000,北京市,2016,39524.4226224662,43767.1653380663,38302.8091937249,17665.140939464
110000,北京市,2015,39427.533632287,42886.4627818341,30478.9232053422,19596.0755813953
110000,北京市,2014,38855.8229789687,40894.1117728878,40797.4803576267,19722.4377626899
110000,北京市,2013,42762.7776765769,46388.0439423487,37597.7856510186,17505.1051310894
110000,北京市,2012,44415.089166819,47844.0605530096,40851.2035010941,18687.3968987133
110000,北京市,2011,46076.6874156902,48350.6052982899,39010.3491532511,19578.0923076923
110000,北京市,2010,43753.415831022,46092.8173783287,42011.163087391,13853.8578487267
110000,北京市,2009,45660.5110265358,47665.8320175906,37411.6172168826,15589.3155258765
110000,北京市,2008,41677.6873809936,42651.9841269841,35198.1960598149,16398.3214977405
110000,北京市,2007,45096.897408258,46173.6228575238,36264.4221675809,13636.9095276221
110000,北京市,2006,44872.1387283237,45543.7346437346,35977.5,11681.8181818182
110000,北京市,2005,46442.0779220779,46942.7777777778,41200.0,21480
110000,北京市,2004,46257.4821852732,47438.3202099738,37276.6666666667,20060
110000,北京市,2003,49258.2774049217,50928.9408866995,32737.9310344828,23250
110000,北京市,2002,49351.3793103448,50922.1518987342,39508.0,10720
110000,北京市,2001,48964.8936170213,50371.1764705882,37223.3333333333,
110000,北京市,2000,,,,
120000,天津市,2019,,,,
120000,天津市,2018,47416.8485162747,50174.6923614818,40192.7518570102,22722.3011259645
120000,天津市,2017,46691.1889848961,48552.6315789474,37154.0905184761,30047.2898997687
120000,天津市,2016,47188.4406691411,51723.9947975881,39002.2437523982,28501.6033074518
120000,天津市,2015,48834.3641566707,52054.4192712562,,
120000,天津市,2014,50893.8390419291,56493.2131610382,,
120000,天津市,2013,52168.4020510674,56777.4758788954,,
120000,天津市,2012,50119.8181818182,54492.8229665072,,
120000,天津市,2011,53118.9624329159,58377.7511961723,,
120000,天津市,2010,49690.3281519862,54384.3537414966,,
120000,天津市,2009,49164.0167364017,56085.0091407678,,
120000,天津市,2008,49144.1616766467,55754.2694497154,,
120000,天津市,2007,48787.6923076923,53366.862745098,,
120000,天津市,2006,43227.0175438596,45159.1530054645,34685.4368932039,10000
120000,天津市,2005,47039.5348837209,45462.7615062762,,
120000,天津市,2004,45546.5498272798,45532.0970042796,,
120000,天津市,2003,40219.6183206107,46340.6593406593,26044.7368421053,
120000,天津市,2002,39279.3349168646,43422.9621125143,30898.687664042,15300
120000,天津市,2001,39064.2638049559,38017.0331605696,26969.9042407661,
120000,天津市,2000,,,,
130000,河北省,2019,,,,
130000,河北省,2018,52939.1960510737,54291.9041037116,58941.8350572245,35399.2304627154
130000,河北省,2017,55894.41181597,57978.9322592156,61714.5683776084,36572.2601846539
130000,河北省,2016,55543.3279349853,57177.2921622334,58996.4561332407,32888.3326761863
130000,河北省,2015,53067.4485524939,55643.3625704709,54099.286963541,34769.3460597933
130000,河北省,2014,52419.8838401093,55486.4082990302,51259.5981602517,33098.944168933
130000,河北省,2013,51144.2735198795,54249.7438053446,49909.2764677445,32609.6774193548
130000,河北省,2012,49547.3214787611,53243.4221167844,46756.1325175018,32165.3441295547
130000,河北省,2011,48856.8550303169,52557.8494565657,44923.4500709891,31827.7147487844
130000,河北省,2010,48105.2419199877,52106.833299738,42616.1079048051,31736.877076412
130000,河北省,2009,47466.4719532688,51682.6884024481,39111.6918844567,33219.9694263416
130000,河北省,2008,46694.7010114212,51188.228182018,37971.8387251872,32318.1482029286
130000,河北省,2007,45395.394994227,49923.0523286795,36993.2552623777,31737.2950515617
130000,河北省,2006,44660.8227418259,48808.3661550998,36943.5495367071,31587.8278412912
130000,河北省,2005,45483.8235294118,49886.1456713323,33930.2019315189,31804.2580645161
130000,河北省,2004,42940.7373524838,46831.374984474,31060.8877721943,31028.5527177472
130000,河北省,2003,42368.8964407083,45832.3022010708,31775.4985754986,30862.6615969582
130000,河北省,2002,40420.288184438,43219.1050779286,30961.8421052632,30275.8441558442
130000,河北省,2001,36913.8364779874,40151.0815894663,24384.8810437452,
130000,河北省,2000,,,,
140000,山西省,2019,,,,
140000,山西省,2018,32755.3643292966,36822.8290177616,20814.3560617504,19075.5438680373
140000,山西省,2017,32018.3539073299,36167.4523614313,22599.2874626262,23518.6635343252
140000,山西省,2016,32117.3607368744,34391.0822430197,24391.4072158889,26347.2858286629
140000,山西省,2015,29168.0996046101,32647.2234389449,20474.3028688611,25686.1313868613
140000,山西省,2014,34234.5399869887,38143.6637595441,26473.9201988312,24913.0869130869
140000,山西省,2013,30130.1273773654,32004.5850777553,24621.1774002371,27503.1847133758
140000,山西省,2012,30419.0307736271,33629.1436979177,20749.6228953484,42440.5250205086
140000,山西省,2011,28015.6650435674,30343.9779445459,18611.2140090924,29823.3199821985
140000,山西省,2010,27750.6947536144,31685.5098389982,22109.4785490059,34969.2028985507
140000,山西省,2009,26693.4048976853,27957.2519420904,19132.6890627397,34652.9411764706
140000,山西省,2008,27544.7195532043,28143.1025390676,18315.8154955793,19389.6103896104
140000,山西省,2007,25826.8831898891,25624.6953393904,20028.8765517773,21122.8070175439
140000,山西省,2006,22252.3431077007,23014.1500474834,14870.3225806452,10012
140000,山西省,2005,22689.1411648569,22483.6575875486,16478.9099526066,8297.2972972973
140000,山西省,2004,21650.5056696292,22183.0763714593,15330.2872062663,14674.1935483871
140000,山西省,2003,23431.8946047679,24742.2627955702,16054.9695740365,17903.8461538462
140000,山西省,2002,24464.4276457883,25769.5391825046,18249.5948136143,23022.2222222222
140000,山西省,2001,18843.1513409962,18870.4935914917,11854.9668874172,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,,,,
150000,内蒙古自治区,2018,38571.3680425456,45767.9103917546,30329.3849237871,15431.6646430684
150000,内蒙古自治区,2017,40096.9226162288,45130.5140049345,36169.7068236131,17030.5810540704
150000,内蒙古自治区,2016,39958.9102484642,43710.9334354659,33511.534653416,16908.609156777
150000,内蒙古自治区,2015,37680.3683532474,40913.8934616783,33143.5352384299,17954.262385829
150000,内蒙古自治区,2014,36913.6775820721,41525.8305347482,31500.3068714213,18928.7833827893
150000,内蒙古自治区,2013,31314.2472086292,31065.9187896806,31330.3645747431,14463.9175257732
150000,内蒙古自治区,2012,35921.6740381333,42107.8721657637,29306.3164789789,11475.7181942544
