年份,城区面积,建成区面积,城市建设用地面积,征用土地面积,城市人口密度
2019,200569.51,60312.45,,,2613.33838827247
2018,200896.5,58455.66,56075.9,2003.66,2546.17278051136
2017,198357.17,56225.38,55155.47,1934.37,2477.0
2016,198178.59,54331.47,52761.3,1713.62,2408.0
2015,191775.54,52102.31,51584.1,1548.53,2399.0
2014,184098.59,49772.63,49982.74,1475.88,2419.0
2013,183416.05,47855.28,47108.5,1831.57,2362.0
2012,183039.42,45565.76,45750.67,2161.48,2307.0
2011,183618.02,43603.23,41860.61,1841.72,2228.0
2010,178691.73,40058.01,39758.42,1641.57,2209.0
2009,175463.61,38107.26,38726.92,1504.69,2147.0
2008,178110.28,36295.3,39140.46,1344.58,2080.0
2007,,35469.65,36351.65,1216.03,2104.0
2006,,33659.8,31765.7,1396.48,2238.15254959798
2005,,32520.72,29636.83,1263.5,870.204448883514
2004,,30406.19,30781.28,1612.56,865.0
2003,,,,,
2002,,,,,
2001,,,,,
2000,,,,,
