年份,道路清扫保洁面积,生活垃圾清运量,粪便清运量,市容环卫专用车辆设备,公共厕所数量
2019,922124.15,24206.185336,,281558,153426
2018,869328.81,22801.753899,,252484,147466
2017,842048.0,21520.86,,228019,136084
2016,794923.0,20362.01,1299.16,193942,129818
2015,730333.0,19141.87,1436.77,165725,126344
2014,676093.0,17860.18,1551.97,141431,124410
2013,646014.0,17238.58,1682.41,126552,122541
2012,573507.0,17080.87,1811.8,112157,121941
2011,630545.0,16395.28,1962.86,100340,120459
2010,485033.0,15804.8,1950.52,90414,119327
2009,447265.0,15733.68,2140.96,83756,118525
2008,468545.0,15437.7,2330.71,76400,115306
2007,379355.0,15214.53,2506.29,71609,112604
2006,324768.0,14841.3,2130.5,66020,107331
2005,310806.09,15576.8,3804.6,64205,114917
2004,275972.54,15509.3,3576.3,60238,109629
2003,,,,,
2002,,,,,
2001,,,,,
2000,,,,,
