年份,城市用水普及率,城市燃气普及率,每万人拥有公共交通车辆,人均城市道路面积,人均公园绿地面积,每万人拥有公共厕所
2019,98.7836254855425,97.2944314288113,13.1295606651455,17.355097146651,14.3552587740349,2.92710567083082
2018,98.3562234075413,96.6993876256751,13.0905862012069,16.7006736039375,14.11,2.8829138101319
2017,98.3,96.26,14.7259888575022,16.05,14.01,2.76932400403014
2016,98.42,95.75,13.8415423159806,15.8,13.7,2.72079957781058
2015,98.07,95.3,12.2448007972285,15.6018498953029,13.3499766083702,2.74664690987005
2014,97.64,94.57,12.9935204873154,15.339276105573,13.08,2.7939698221615
2013,97.56,94.25,12.7770490607399,14.87,12.6357221247265,2.82886107298236
2012,97.16,93.15,12.1475253032494,14.3853937275365,12.26,2.88776390533119
2011,97.04,92.41,11.8121241503846,13.7528395081649,11.8,2.94504005028564
2010,96.68,92.04,10.6870490108643,13.21,11.18,3.02332475271607
2009,96.12,91.41,11.1185520928889,12.79,10.66,3.14604886521931
2008,94.73,89.55,11.13,12.21,9.71,3.11307347227052
2007,93.83,87.4,10.23,11.43,8.98,3.03913762809942
2006,86.67,79.11,9.05,11.04,8.3,2.88
2005,91.09,82.08,8.62,10.9166502893633,7.89222376391002,3.19891881960934
2004,88.8490615987611,81.53,8.40537387282912,10.3361959198113,7.38813597739684,3.21046028633479
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
