年份,道路长度,道路面积,城市桥梁,城市排水管道长度,城市污水日处理能力,城市道路照明灯
2019,45.924531,909677.83,76157,74.39819,19170.96,28655982.0
2018,43.223112,854268.18,73432,68.348475,18145.22,27383445.0
2017,39.783023,788852.58,69816,63.03036,17036.7,25936289.0
2016,38.245362,753818.86,67737,57.661651,16779.2,25623261.0
2015,36.49776,717675.11,64512,53.956698,16065.4,24225203.0
2014,35.233333,683027.9,61872,51.11785,15123.5,23019144.0
2013,33.630375,644154.75,59530,46.487782,14652.7,21995472.0
2012,32.7081,607449.3,57601,43.907994,13692.9,20622248.0
2011,30.889687,562523.18,53386,41.407399,13304.1,19492076.0
2010,29.4443,521321.8,52548,36.9553,13392.9,17739889.0
2009,26.91414,481947.0,51068,34.3892,12183.9,16942776.0
2008,25.97397,452433.0,49840,31.522,11172.5,15104336.0
2007,24.61721,423662.0,48100,29.1933,10336.5,13949521.0
2006,24.12,410900.0,54643,26.1379,9734.0,12837000.0
2005,24.701486,392166.47,52123,24.105567,7989.74,12070195.0
2004,22.296375,352954.63,51092,21.88809,7387.24,10531538.0
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
