年份,全部地级及以上城市数,城市市辖区年末总人口为400万以上的地级及以上城市数,城市市辖区年末总人口为200-400万的地级及以上城市数,城市市辖区年末总人口为100-200万的地级及以上城市数,城市市辖区年末总人口为50-100万的地级及以上城市数,城市市辖区年末总人口为20-50万的地级及以上城市数,城市市辖区年末总人口为20万以下的地级及以上城市数
2019,297,20,44,98,88,39,8
2018,297,20,42,99,88,40,8
2017,298,19,42,100,86,42,9
2016,297,17,43,96,90,43,8
2015,295,15,38,94,92,49,7
2014,292,17,35,91,98,47,4
2013,290,14,33,86,103,52,2
2012,289,14,31,82,108,50,4
2011,288,14,31,82,108,49,4
2010,287,14,30,81,109,49,4
2009,287,14,28,82,110,51,2
2008,287,13,28,81,110,51,4
2007,287,13,26,79,111,55,3
2006,286,13,24,80,106,59,4
2005,286,13,25,75,108,61,4
2004,286,12,23,73,111,63,4
2003,284,11,21,73,111,63,5
2002,278,10,21,71,109,63,4
2001,269,8,16,69,105,64,7
2000,262,8,12,70,103,66,3
