年份,公共交通车辆运营数,公共汽电车运营数,轨道交通配属车辆数,运营线路总长度,公共汽电车运营线路总长度,轨道交通运营里程,公共交通客运总量,公共汽电车客运量,轨道交通客运量,出租汽车
2019,,584026,40998,,964919.1,6172.2,,6288266,2387796,1102470
2018,,565933,34012,,876650.0,5295.1,,6356469,2127659,1097237
2017,583437.0,554820,28617,795935.4,791365.0,4570.4,8470688.0,6627688,1843000,1102823
2016,538842.0,515051,23791,729417.5,725690.0,3727.5,8441316.0,6826235,1615081,1102563
2015,482975.0,482975,19941,669639.4,666444.0,3195.4,8454295.0,7054193,1400102,1092083
2014,476255.0,458955,17300,620051.1,617235.0,2816.1,8495033.0,7228457,1266576,1074386
2013,460970.0,446604,14366,577580.9,575173.0,2407.9,8254548.0,7162676,1091872,1053580
2012,432021.0,419410,12611,551793.9,549736.0,2057.9,7887914.0,7014989,872925,1026678
2011,412590.0,402645,9945,521252.7,519554.0,1698.7,7439185.0,6725785,713400,1002306
2010,374876.0,374876,8285,490283.3,488812.0,1471.3,6867496.9,6310719.7,556777.2,986000
2009,370640.0,365161,5479,209249.0,208250.0,999.0,6767589.0,6401819,365770,971579
2008,371822.0,367292,4530,147349.0,146514.0,835.0,7029996.0,6692606,337390,968811
2007,347969.0,344489,3480,140801.0,140038.0,763.0,5546439.0,5325857,220582,959668
2006,315576.0,312812,2764,125857.0,125236.0,621.0,4659247.0,4477648,181599,928647
2005,313296.0,310932,2364,,,,4836929.74,4671881.02,165048.72,936973
2004,281516.0,279620,1896,,,,4272897.6,4140076.7,132820.9,903734
2003,,,,,,,,,,
2002,,,,,,,,,,
2001,,,,,,,,,,
2000,,,,,,,,,,
