年份,供水综合生产能力,供水管道长度,供水总量,生活用供水总量,生产用供水总量,用水人口,人均日生活用水量
2019,30897.8,920082.14,628.301008,340.116053,161.564694,51778.03,179.965286964322
2018,31221.84,866820.24,614.635459,328.791439,161.955114,50310.9,179.697192446409
2017,30475.0,797355.01,593.759098,315.396818,160.667368,48303.52,178.89
2016,30320.66,756623.49,580.691121,303.137635,160.691075,46958.38,176.86
2015,29678.26,710206.39,560.472843,287.269503,162.433492,45112.62,174.46
2014,28673.33,676727.43,546.661256,275.691137,162.383685,43476.32,173.73
2013,28373.39,646413.4,537.302171,267.6465595856,161.741162,42261.44,173.51
2012,27177.32,591872.11,523.0326,257.2473,159.272341,41026.48,171.79
2011,26668.73,573773.79,513.422183,247.65195,159.652121,39691.29,170.94
2010,27601.47,539778.3,507.874514,238.752505,195.25338,38156.7,171.43
2009,27046.83,510399.39,496.74674,233.408189,191.020611,36214.21,176.58
2008,26604.06,480083.85,500.076246,228.203022,177.663031,35086.66,178.19
2007,25708.36,447229.23,501.948818,226.367567,182.853017,34766.48,178.385938141708
2006,26961.6,430397.0,540.4794,222.0313,252.6259,32303.08,188.32
2005,24719.82,379332.07,502.0601,243.7374,209.8008,32723.4,204.066111293489
2004,24753.02,358410.49,490.2755,233.4625,211.3633,30339.68,210.820709932087
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
