年份,人工煤气生产能力,人工煤气管道长度,液化石油气管道长度,天然气管道长度,人工煤气供气总量,液化石油气供气总量,天然气供气总量,人工煤气用气人口,液化石油气用气人口,天然气用气人口
2019,1474.51,10914.97,4451.5,767946.33,27.684147,1040.811029,1608.556983,675.37,11297.1,39024.99
2018,1333.59,13124.04,4841.43,698042.72,29.7893,1015.329777,1443.953789,778.79,11782.47,36902.14
2017,1158.12,11715.87,6200.32,623253.34,27.088163,998.808822,1263.754572,751.72,12615.7,33933.87
2016,1456.46,18513.06,8715.55,551031.25,44.094383,1078.804185,1171.71857,1085.22,13743.77,30855.57
2015,1519.08,21291.58,9009.34,498087.02,47.137801,1039.216892,1040.79062,1321.73,13955.06,28561.47
2014,2102.07,29042.94,10985.85,434571.47,55.951269,1082.849026,964.378286,1757.01,14378.41,25972.94
2013,2284.15,30467.25,13436.86,388472.98,62.798877,1109.729791,900.990392,1942.99,15101.95,23783.44
2012,2656.15,33537.77,12651.47,342751.81,76.9686,1114.8032,795.0377,2442.28,15682.86,21207.53
2011,3311.28,37099.88,12892.8,298972.07,84.725587,1165.832608,678.799723,2676.33,16093.58,19027.8
2010,8508.98,38876.68,13374.36,256428.6,279.938034,1268.00535,487.580814,2801.94,16502.73,17021.22
2009,11099.45,40446.98,14235.61,218778.15,361.55074,1340.030268,405.099609,2971.0,16924.46,14543.68
2008,11026.69,45171.58,28589.53,184083.71,355.828655,1329.107187,368.0393,3369.61,17632.14,12167.09
2007,9787.5,48630.0,17202.26,155251.0,322.3512,1466.769221,308.6363,4021.7,18172.34,10189.8
2006,9515.4,50524.0,17469.0,121498.0,296.45,1263.6613,244.7742,4066.61,17100.27,8319.4
2005,9423.48,51403.74,18661.85,92043.11,255.834328,1222.014135,210.495114,4368.55,18012.82,7104.4
2004,8298.74,56419.29,20118.76,71411.25,213.722481,1126.711993,169.336431,4653.82,17559.17,5627.55
2003,,,,,,,,,,
2002,,,,,,,,,,
2001,,,,,,,,,,
2000,,,,,,,,,,
