年份,蒸汽供热能力,热水供热能力,蒸汽供热总量,热水供热总量,蒸汽管道长度,热水管道长度,供热面积
2019,100943.4,550529.51,65067.48,327475.14,,,92.513684
2018,92321.62,578244.25,57731.49,323664.6,,,87.804997
2017,98328.0,647827.0,57985.0,310300.0,,,83.08578
2016,78307.05,493254.41,41501.29,318043.85,12179.77,201389.06,73.866325
2015,80698.74,472556.31,49702.94,302109.89,11692.08,192721.03,67.220487
2014,84664.13,447068.31,55613.97,276546.48,12476.12,174708.06,61.124586
2013,84362.35,403541.58,53241.58,266461.62,12259.39,165876.68,57.167658
2012,86452.46,365277.63,51609.0,243817.66,12689.86,147389.93,51.8368
2011,85274.0,338752.0,51780.0,229251.0,13388.0,133965.0,47.37844
2010,105084.0,315717.0,66397.0,224716.0,15122.0,124051.0,43.5668
2009,93193.0,286106.0,63137.0,200051.0,14317.0,110490.0,37.95741
2008,94454.0,305695.0,69082.0,187467.0,16045.0,104551.0,34.89475
2007,94009.0,224660.0,66374.0,158641.0,14116.0,88870.0,30.0591
2006,95204.0,217699.0,67794.0,148011.0,14012.0,79943.0,26.58531
2005,106723.0,197976.0,71493.0,139542.0,14772.0,71338.0,25.20562
2004,98262.0,174442.0,69447.0,125194.0,12775.0,64263.0,21.626618
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
