年份,工程招标代理收入,房屋建筑工程工程招标代理收入,冶炼工程工程招标代理收入,矿山工程工程招标代理收入,化工、石油工程工程招标代理收入,水利水电工程工程招标代理收入,电力工程工程招标代理收入,农林工程工程招标代理收入,铁路工程工程招标代理收入,公路工程工程招标代理收入,港口与航道工程工程招标代理收入,航天航空工程工程招标代理收入,通信工程工程招标代理收入,市政公用工程工程招标代理收入,机电安装工程工程招标代理收入,综合资质工程招标代理收入,事务所资质工程招标代理收入
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2011,298438.93,219186.67,993.98,329.35,1778.64,6213.24,28775.17,,581.37,610.88,797.87,,1140.43,11755.53,,25596.06,679.74
2010,247760.0,180029.0,1055.0,369.0,1824.0,3180.0,23329.0,,485.0,418.0,1516.0,,292.0,14665.0,,20547.0,51.0
2009,192109.55,140074.93,1270.24,128.0,646.8,2973.03,19720.57,,640.83,285.79,981.47,,412.95,12384.77,,12508.01,82.16
2008,147120.0,108292.0,820.0,521.0,583.0,3504.0,10263.0,,642.0,427.0,1280.0,,449.0,6820.0,,13518.0,
2007,95811.23,76664.45,677.56,229.3,277.78,2714.74,7339.48,,331.23,233.72,626.23,,307.66,6382.86,,,
2006,78967.2,63174.07,704.37,182.15,414.17,1932.19,5322.81,60.0,259.36,323.0,649.94,4.7,,5899.33,41.11,,
2005,57472.66,48768.45,597.23,62.46,344.75,1362.5,2257.96,72.03,289.63,327.92,338.2,7.73,,2980.28,63.52,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
