年份,工程造价咨询收入,房屋建筑工程工程造价咨询收入,冶炼工程工程造价咨询收入,矿山工程工程造价咨询收入,化工、石油工程工程造价咨询收入,水利水电工程工程造价咨询收入,电力工程工程造价咨询收入,农林工程工程造价咨询收入,铁路工程工程造价咨询收入,公路工程工程造价咨询收入,港口与航道工程工程造价咨询收入,航天航空工程工程造价咨询收入,通信工程工程造价咨询收入,市政公用工程工程造价咨询收入,机电安装工程工程造价咨询收入,综合资质工程造价咨询收入,事务所资质工程造价咨询收入
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2011,349355.84,272586.07,2283.42,133.72,29197.62,2475.66,11404.35,,1040.5,90.0,70.22,,,11113.09,,14965.63,3995.56
2010,241164.0,204668.0,1437.0,51.0,9153.0,1043.0,5090.0,,450.0,6.0,265.0,,23.0,8564.0,,8344.0,2069.0
2009,167523.33,147434.9,677.34,51.11,2226.33,2204.03,2887.02,,281.65,16.1,213.37,300.0,,3654.99,,5435.24,2141.25
2008,484890.0,105760.0,863.0,133.0,363704.0,1714.0,6406.0,,443.0,8.0,206.0,,,4287.0,,1354.0,12.0
2007,91376.02,79316.91,1584.85,52.7,2141.81,1934.55,1482.34,,335.35,,137.3,,,4302.43,73.78,,
2006,77973.03,63944.6,1052.47,69.17,6228.89,1828.24,793.76,56.86,419.65,,133.3,,,3365.59,80.5,,
2005,58781.22,50448.82,1253.93,69.17,1263.42,1142.06,1467.54,8.0,170.22,,151.3,,,2806.76,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
