年份,工程监理收入,房屋建筑工程工程监理收入,冶炼工程工程监理收入,矿山工程工程监理收入,化工、石油工程工程监理收入,水利水电工程工程监理收入,电力工程工程监理收入,农林工程工程监理收入,铁路工程工程监理收入,公路工程工程监理收入,港口与航道工程工程监理收入,航天航空工程工程监理收入,通信工程工程监理收入,市政公用工程工程监理收入,机电安装工程工程监理收入,综合资质工程监理收入,事务所资质工程监理收入
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2011,6662814.87,3755194.65,62341.19,78898.86,228732.4,144636.42,539776.0,5549.07,367724.05,100290.65,26474.1,15099.93,86475.87,404719.75,1074.14,832535.4,13292.39
2010,5283629.0,3040135.0,52441.0,56415.0,187766.0,120759.0,412390.0,7509.0,366166.0,82261.0,24190.0,7751.0,58385.0,359005.0,1648.0,504277.0,2532.0
2009,4041700.65,2341621.04,40303.46,40751.46,158899.81,105832.6,353311.71,8702.84,243293.1,59237.51,26865.92,10023.8,52135.79,254260.91,1335.88,343259.47,1865.35
2008,3328151.0,2009468.0,40458.0,36287.0,156688.0,121369.0,289046.0,15376.0,168300.0,52199.0,32952.0,5513.0,66590.0,210711.0,5413.0,117748.0,33.0
2007,2700857.61,1719571.07,45225.93,25263.55,124349.17,103938.67,251956.58,12049.08,117926.51,55351.03,28212.42,4947.78,34330.24,173709.01,4026.57,,
2006,2352795.74,1466465.15,36016.42,19291.16,122465.29,98627.35,222296.07,12952.54,104977.06,55053.44,22660.7,3553.12,34059.95,151087.07,3290.42,,
2005,1928415.897244,1244523.547244,31766.17,12980.29,82035.68,74067.86,179226.86,12152.15,66222.98,53325.26,20152.35,3190.91,20719.54,125647.56,2404.74,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
