年份,工程项目管理与咨询服务收入,房屋建筑工程工程项目管理与咨询服务收入,冶炼工程工程项目管理与咨询服务收入,矿山工程工程项目管理与咨询服务收入,化工、石油工程工程项目管理与咨询服务收入,水利水电工程工程项目管理与咨询服务收入,电力工程工程项目管理与咨询服务收入,农林工程工程项目管理与咨询服务收入,铁路工程工程项目管理与咨询服务收入,公路工程工程项目管理与咨询服务收入,港口与航道工程工程项目管理与咨询服务收入,航天航空工程工程项目管理与咨询服务收入,通信工程工程项目管理与咨询服务收入,市政公用工程工程项目管理与咨询服务收入,机电安装工程工程项目管理与咨询服务收入,综合资质工程项目管理与咨询服务收入,事务所资质工程项目管理与咨询服务收入
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2011,1801064.16,591143.38,137121.96,27356.0,376923.97,101718.21,464663.66,,3463.24,1074.25,186.51,,11151.77,30431.68,12343.57,42690.14,795.82
2010,1327413.0,412116.0,120401.0,19457.0,276801.0,9053.0,424451.0,,3787.0,1050.0,1546.0,291.0,,25396.0,11076.0,21743.0,246.0
2009,1660812.26,241899.75,27529.64,17722.11,224271.75,81647.72,1045308.8,,1219.4,1607.03,1007.5,351.7,63.65,8431.66,20.0,9731.55,
2008,730240.0,160994.0,46951.0,249.0,97794.0,68344.0,336614.0,642.0,616.0,1231.0,1274.0,,215.0,9865.0,,5450.0,
2007,470602.73,137230.79,33372.0,83.25,44674.46,74138.84,170085.68,55.0,926.75,127.58,224.8,331.9,220.89,8984.79,146.0,,
2006,339763.57,110703.6,24345.33,167.5,11296.15,49624.59,138777.59,38.0,467.28,183.64,517.0,331.9,129.0,2980.56,201.43,,
2005,232419.76,110034.49,18693.87,26.0,10519.24,13090.81,73190.43,6.0,373.02,1014.0,89.1,121.66,278.0,4777.93,205.21,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
