年份,住宿业企业所有者权益合计,内资住宿业企业所有者权益合计,国有住宿业企业所有者权益合计,集体住宿业企业所有者权益合计,股份合作住宿业企业所有者权益合计,联营住宿业企业所有者权益合计,国有联营住宿业企业所有者权益合计,集体联营住宿业企业所有者权益合计,国有与集体联营住宿业企业所有者权益合计,其他联营住宿业企业所有者权益合计,有限责任公司住宿业企业所有者权益合计,国有独资公司住宿业企业所有者权益合计,其他有限责任公司住宿业企业所有者权益合计,股份有限公司住宿业企业所有者权益合计,私营住宿业企业所有者权益合计,私营独资住宿业企业所有者权益合计,私营合伙住宿业企业所有者权益合计,私营有限责任公司住宿业企业所有者权益合计,私营股份有限公司住宿业企业所有者权益合计,其他住宿业企业所有者权益合计,港、澳、台商投资住宿业企业所有者权益合计,港、澳、台商合资经营住宿业企业所有者权益合计,港、澳、台商合作经营住宿业企业所有者权益合计,港、澳、台商独资经营住宿业企业所有者权益合计,港、澳、台商投资股份有限公司住宿业企业所有者权益合计,其他港澳台商投资住宿业企业所有者权益合计,外商投资住宿业企业所有者权益合计,中外合资经营住宿业企业所有者权益合计,中外合作经营住宿业企业所有者权益合计,外资住宿业企业所有者权益合计,外商投资股份有限公司住宿业企业所有者权益合计,其他外商投资住宿业企业所有者权益合计,旅游饭店所有者权益合计,一般旅馆所有者权益合计,民宿服务所有者权益合计,露营地服务所有者权益合计,其他住宿业所有者权益合计
2019,3493.2371,2771.7386,450.2138,15.7932,3.0716,3.2208,2.7445,,,,1541.874,371.5883,1170.286,200.0961,557.3301,43.6452,12.9346,458.3991,42.3513,0.1395,428.3255,103.4336,44.8616,277.8355,3.5629,-1.3682,293.1732,140.6869,19.0376,112.2699,18.9317,2.2472,2820.2521,541.7992,28.7252,2.3033,100.1578
2018,3432.5,2738.7,461.7,19.2,1.6,3.7,3.4,-0.3,,,1466.0,279.7,1186.2,198.4,587.4,43.9,12.5,507.2,23.8,0.6,442.9,98.4,56.7,278.5,6.5,2.8,250.9,121.1,12.1,105.2,1.4,11.2,2820.5,521.2,21.7,0.3,68.8
2017,3368.9543,2701.356,474.176,22.451,2.6,3.504,3.097,-0.186,0.651,-0.057,1462.94,276.173,1186.767,189.275,534.322,49.947,13.011,438.291,33.074,12.089,441.678,109.828,47.045,269.462,11.217,4.125,225.921,96.185,11.493,104.259,3.006,10.979,2760.46,532.97,,,75.524
2016,3357.7018,2701.7107,485.0259,28.1497,3.6121,4.3231,2.7638,0.1074,1.467,,1395.0108,265.183,1129.8277,150.2832,624.313,62.293,17.2821,507.4383,37.3003,10.9933,413.2555,116.1947,35.6305,251.8999,4.3082,5.2223,242.7356,117.0294,12.2811,109.4759,-7.9922,11.9413,2792.1856,487.8,,,77.716
2015,3188.3109,2575.9785,501.2552,28.2691,5.7246,6.7708,3.7206,1.0959,2.2619,-0.3076,1260.6056,189.1597,1071.446,144.6789,616.0244,73.3594,16.2417,479.9719,46.4519,12.6514,387.2699,120.1532,36.1019,220.2226,5.7458,5.0465,225.0625,127.5811,-14.4954,106.3229,-5.0318,10.6863,2658.9459,450.4554,,,78.9102
2014,2985.4,2428.5,504.14595,35.03808,4.681,4.55207,2.89742,1.51174,0.50774,-0.36483,1226.96678,159.49976,1067.46702,130.95755,505.99007,76.6305,16.59572,376.66119,36.10266,16.07639,369.87883,146.39206,34.1638,180.31422,6.81727,2.19148,187.05626,84.61414,-13.0151,108.91106,-3.36273,9.90889,2486.09029,445.40251,,,53.85018
2013,3012.81536,2446.76588,580.00816,39.88952,5.99485,6.25739,3.9904,1.86438,0.70575,-0.30314,1112.33481,146.67244,965.66237,131.83672,554.12233,76.95892,15.59249,418.74158,42.82934,16.3221,350.22368,139.44518,15.08525,181.58782,12.15895,1.94648,215.8258,98.44347,1.61511,117.24836,-2.64541,1.16427,2546.1935,412.16101,,,54.46085
2012,2805.53717,2314.27172,745.63971,48.1586,18.69728,12.96338,8.35903,1.70789,1.73364,1.16282,853.65511,64.23381,789.4213,119.13371,450.53551,90.82994,19.82957,306.82711,33.04889,65.48842,292.97614,153.94732,30.84267,97.15817,9.97295,1.05503,198.28931,90.75659,0.56567,104.51514,-0.349,2.80091,2441.20886,326.92586,,,37.40245
2011,2675.8,2198.6,690.6,47.1,18.4,10.4,6.6,2.0,0.3,1.5,801.0,51.5,749.4,127.3,439.1,89.7,19.2,298.6,31.6,64.8,277.3,136.0,30.6,102.3,7.3,1.1,199.8,89.2,-0.1,105.0,4.1,1.7,2340.2,305.2,,,30.3
2010,2418.4,1982.9,672.9,47.3,17.9,13.5,8.1,0.5,2.4,2.6,637.8,46.8,591.0,119.9,448.8,111.4,22.0,288.3,27.2,24.7,240.7,126.8,21.4,89.9,2.7,,194.9,92.8,7.7,92.3,2.1,,2111.7,278.2,,,28.5
2009,2127.3,1786.3,661.1,48.4,16.9,12.7,7.8,0.3,3.5,1.1,569.0,52.5,516.5,101.2,357.5,94.2,21.7,221.1,20.6,19.3,172.6,80.0,15.0,73.1,4.5,,168.4,77.6,2.6,84.0,4.2,,1853.8,245.5,,,27.9
2008,2164.1,1810.0,718.9,56.9,17.9,14.4,7.4,1.4,2.5,3.2,565.1,63.6,501.6,85.6,342.7,95.2,19.3,205.8,22.3,8.6,149.1,57.3,18.8,70.9,2.0,,205.0,107.4,14.3,77.7,5.6,,1921.2,210.2,,,32.6
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1379.60737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
