年份,住宿业企业资产总计,内资住宿业企业资产总计,国有住宿业企业资产总计,集体住宿业企业资产总计,股份合作住宿业企业资产总计,联营住宿业企业资产总计,国有联营住宿业企业资产总计,集体联营住宿业企业资产总计,国有与集体联营住宿业企业资产总计,其他联营住宿业企业资产总计,有限责任公司住宿业企业资产总计,国有独资公司住宿业企业资产总计,其他有限责任公司住宿业企业资产总计,股份有限公司住宿业企业资产总计,私营住宿业企业资产总计,私营独资住宿业企业资产总计,私营合伙住宿业企业资产总计,私营有限责任公司住宿业企业资产总计,私营股份有限公司住宿业企业资产总计,其他住宿业企业资产总计,港、澳、台商投资住宿业企业资产总计,港、澳、台商合资经营住宿业企业资产总计,港、澳、台商合作经营住宿业企业资产总计,港、澳、台商独资经营住宿业企业资产总计,港、澳、台商投资股份有限公司住宿业企业资产总计,其他港澳台商投资住宿业企业资产总计,外商投资住宿业企业资产总计,中外合资经营住宿业企业资产总计,中外合作经营住宿业企业资产总计,外资住宿业企业资产总计,外商投资股份有限公司住宿业企业资产总计,其他外商投资住宿业企业资产总计,旅游饭店资产总计,一般旅馆资产总计,民宿服务资产总计,露营地服务资产总计,其他住宿业资产总计
2019,14771.0902,12023.7334,913.9226,62.9632,12.1697,7.3794,5.339,,,,6148.9979,831.6507,5317.3474,615.7382,4262.1524,97.0497,25.6149,4004.1998,135.2885,0.4104,1631.9938,736.9129,90.3541,795.6524,7.3668,1.7081,1115.3631,362.0349,72.7366,635.7426,34.0616,10.7876,12013.8743,2269.9652,46.3652,5.5924,435.2933
2018,13529.5,11090.5,933.8,67.5,13.3,8.3,6.1,1.0,,,5963.3,666.7,5296.6,550.1,3551.7,101.4,25.8,3343.0,81.5,2.4,1569.8,667.6,113.0,760.5,19.2,9.5,869.2,323.3,87.7,437.1,9.3,11.8,11417.0,1733.9,81.2,0.4,296.9
2017,12648.0581,10397.702,1010.676,74.733,18.015,7.573,5.344,1.128,1.036,0.065,5882.194,660.417,5221.776,472.086,2908.311,106.272,26.249,2656.985,118.805,24.115,1513.846,603.484,106.324,757.952,33.574,12.512,736.51,339.497,109.407,264.583,8.55,14.473,10628.915,1699.8855,,,319.258
2016,12151.8951,9859.0524,1094.9648,91.9899,19.0736,19.8509,5.1488,1.6421,13.0208,,5438.5442,572.5938,4865.9506,452.4865,2709.9317,120.9014,31.934,2426.2436,130.8533,32.2112,1547.2685,603.4426,142.0178,762.6724,28.3611,10.7749,745.5746,303.3783,112.1253,283.036,37.7814,9.254,10351.5202,1517.8404,,,282.5347
2015,11640.1634,9500.0784,1164.0729,105.5686,20.5113,11.0284,7.4586,1.6958,1.6184,0.2559,5026.7889,432.6743,4594.1146,427.1737,2706.0035,144.3228,31.1508,2373.5596,156.9704,38.9321,1418.4503,575.435,144.682,665.587,23.0866,9.6598,721.6349,343.5255,56.9895,274.0241,37.1468,9.9494,9982.2215,1382.1329,,,275.8089
2014,11056.2,8966.6,1187.64838,121.65715,23.86893,12.35146,6.38132,1.99004,3.84815,0.13195,4659.7,389.02275,4270.6,411.3239,2505.88036,149.27294,31.9498,2162.17311,162.48451,44.23083,1376.72335,609.52596,148.48701,579.56109,35.39953,3.74976,712.871,303.70542,64.18717,296.01446,37.90099,11.06296,9510.26269,1333.37241,,,212.6
2013,10368.79374,8407.06337,1254.8187,129.30324,25.85037,14.19428,7.7257,2.74143,3.49308,0.23407,4113.64062,346.58538,3767.05524,410.98215,2413.65987,162.85088,31.58753,2057.20754,162.01392,44.61414,1247.41856,580.47769,123.76187,498.54443,37.38197,7.2526,714.31181,327.16979,84.95987,266.81075,32.73356,2.63784,8938.72529,1223.9235,,,206.14495
2012,9310.10846,7533.4167,1653.05905,156.06617,49.8829,26.41283,14.11419,3.08554,6.12984,3.08326,3096.26835,148.4774,2947.79095,320.5491,1988.27072,254.49746,60.41957,1533.69093,139.66276,242.90758,1071.1299,555.74726,139.23736,336.4494,36.94463,2.75125,705.56186,305.46198,89.42943,268.69248,33.27547,8.7025,8216.37671,968.37503,,,125.35672
2011,8442.3,6704.9,1552.4,144.7,56.1,25.2,13.4,3.1,4.8,3.8,2615.5,137.0,2478.5,342.2,1788.4,232.3,57.2,1368.2,130.7,180.4,1055.2,551.4,129.2,343.2,27.9,3.6,682.2,291.1,81.8,240.1,64.3,4.9,7462.9,861.4,,,118.0
2010,7576.4,5955.3,1522.6,145.2,49.8,31.3,14.6,3.0,8.0,5.7,2137.8,120.6,2017.2,289.3,1714.5,269.5,61.6,1283.5,99.9,64.6,975.5,514.8,119.4,326.1,15.3,,645.6,283.1,88.9,257.6,16.0,,6688.9,784.8,,,102.7
2009,6723.9,5152.7,1487.3,146.2,49.2,30.3,16.3,2.2,9.4,2.5,1728.7,114.5,1614.2,258.3,1398.7,223.2,52.5,1038.0,85.0,53.9,948.6,504.6,137.3,284.4,22.3,,622.6,260.7,102.3,245.7,13.8,,5978.0,658.0,,,87.9
2008,6532.1,4975.0,1575.4,154.4,51.6,31.2,15.8,3.5,6.5,5.4,1626.3,107.0,1519.2,235.9,1269.2,203.0,48.1,944.4,73.6,31.0,864.2,465.7,123.4,256.8,18.2,,693.0,319.4,122.7,233.0,17.9,,5869.4,568.4,,,94.3
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3888.63408,2805.94558,1152.95979,158.47988,51.8196,48.83716,27.60246,3.35496,15.31824,2.5615,727.90299,64.05799,663.845,190.52908,460.28666,79.51651,10.69158,335.74694,34.33163,15.13042,615.4286,425.4341,133.11484,52.85713,4.02253,0.0,467.2599,267.61785,114.32042,82.38241,2.93922,,3713.03617,153.53267,,,22.06524
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
