年份,住宿业企业固定资产合计,内资住宿业企业固定资产合计,国有住宿业企业固定资产合计,集体住宿业企业固定资产合计,股份合作住宿业企业固定资产合计,联营住宿业企业固定资产合计,国有联营住宿业企业固定资产合计,集体联营住宿业企业固定资产合计,国有与集体联营住宿业企业固定资产合计,其他联营住宿业企业固定资产合计,有限责任公司住宿业企业固定资产合计,国有独资公司住宿业企业固定资产合计,其他有限责任公司住宿业企业固定资产合计,股份有限公司住宿业企业固定资产合计,私营住宿业企业固定资产合计,私营独资住宿业企业固定资产合计,私营合伙住宿业企业固定资产合计,私营有限责任公司住宿业企业固定资产合计,私营股份有限公司住宿业企业固定资产合计,其他住宿业企业固定资产合计,港、澳、台商投资住宿业企业固定资产合计,港、澳、台商合资经营住宿业企业固定资产合计,港、澳、台商合作经营住宿业企业固定资产合计,港、澳、台商独资经营住宿业企业固定资产合计,港、澳、台商投资股份有限公司住宿业企业固定资产合计,其他港澳台商投资住宿业企业固定资产合计,外商投资住宿业企业固定资产合计,中外合资经营住宿业企业固定资产合计,中外合作经营住宿业企业固定资产合计,外资住宿业企业固定资产合计,外商投资股份有限公司住宿业企业固定资产合计,其他外商投资住宿业企业固定资产合计,旅游饭店固定资产合计,一般旅馆固定资产合计,民宿服务固定资产合计,露营地服务固定资产合计,其他住宿业固定资产合计
2009,3557.2,2729.5,902.0,87.4,31.2,16.7,8.4,1.3,5.3,1.8,884.3,60.4,823.9,120.4,663.0,122.8,26.9,470.5,42.8,24.5,501.4,254.9,68.5,168.5,9.5,,326.3,131.7,60.7,125.4,8.6,,3191.3,316.8,,,49.0
2008,5117.9,3737.2,1380.0,141.2,47.1,27.4,14.5,3.4,5.0,4.5,1132.8,82.3,1050.5,172.1,811.3,143.4,34.4,582.5,50.9,25.3,758.4,434.2,111.6,196.3,16.4,,622.3,300.0,116.7,189.9,15.7,,4675.3,375.5,,,67.1
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2375.34842,2330.66926,1042.86794,133.85752,41.58934,46.87999,26.71965,3.16141,15.13338,1.86555,578.3503,59.76671,518.58359,149.61096,327.31702,58.31621,8.58384,235.62109,24.79588,10.19619,590.57041,417.0263,129.56403,40.68652,3.29356,0.0,482.05905,301.30007,105.54846,72.55446,2.65606,0.0,3264.05176,120.81152,,,18.43544
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
