年份,住宿业企业流动资产合计,内资住宿业企业流动资产合计,国有住宿业企业流动资产合计,集体住宿业企业流动资产合计,股份合作住宿业企业流动资产合计,联营住宿业企业流动资产合计,国有联营住宿业企业流动资产合计,集体联营住宿业企业流动资产合计,国有与集体联营住宿业企业流动资产合计,其他联营住宿业企业流动资产合计,有限责任公司住宿业企业流动资产合计,国有独资公司住宿业企业流动资产合计,其他有限责任公司住宿业企业流动资产合计,股份有限公司住宿业企业流动资产合计,私营住宿业企业流动资产合计,私营独资住宿业企业流动资产合计,私营合伙住宿业企业流动资产合计,私营有限责任公司住宿业企业流动资产合计,私营股份有限公司住宿业企业流动资产合计,其他住宿业企业流动资产合计,港、澳、台商投资住宿业企业流动资产合计,港、澳、台商合资经营住宿业企业流动资产合计,港、澳、台商合作经营住宿业企业流动资产合计,港、澳、台商独资经营住宿业企业流动资产合计,港、澳、台商投资股份有限公司住宿业企业流动资产合计,其他港澳台商投资住宿业企业流动资产合计,外商投资住宿业企业流动资产合计,中外合资经营住宿业企业流动资产合计,中外合作经营住宿业企业流动资产合计,外资住宿业企业流动资产合计,外商投资股份有限公司住宿业企业流动资产合计,其他外商投资住宿业企业流动资产合计,旅游饭店流动资产合计,一般旅馆流动资产合计,民宿服务流动资产合计,露营地服务流动资产合计,其他住宿业流动资产合计
2019,6176.3785,4929.5234,275.0633,25.4502,5.2523,3.5258,2.5887,,,,2378.319,261.1712,2117.1479,321.2678,1920.3989,37.3226,9.9071,1808.2261,64.9437,0.2465,642.4252,292.2994,39.0245,306.9235,3.7635,0.414,604.4304,138.2762,27.539,415.0198,21.782,1.8135,4870.2086,1035.2751,30.8487,2.4263,237.6203
2018,5485.1,4469.6,280.7,26.2,6.3,3.5,2.5,0.1,,,2331.4,209.8,2121.6,232.2,1588.1,37.2,9.8,1504.9,36.1,1.2,587.8,274.1,47.7,255.7,9.8,0.6,427.7,100.5,28.6,294.0,2.5,2.2,4508.8,780.7,44.9,0.1,150.7
2017,4881.0356,4074.987,298.688,28.538,7.853,3.441,2.396,0.135,0.876,,2255.792,205.424,2050.368,189.003,1284.231,39.796,10.128,1185.584,48.723,7.441,534.341,222.533,44.423,253.539,10.241,3.606,271.707,108.372,43.988,113.863,2.366,3.119,3989.306,728.093,,,163.637
2016,4309.2669,3472.0309,298.4079,30.7933,7.8578,4.2726,2.4222,0.2674,1.5827,,1884.5184,158.897,1725.6216,174.275,1058.5655,40.3632,9.2561,955.9221,53.0249,13.3414,555.7006,226.1952,71.265,244.9264,10.2339,3.0801,281.5362,115.7404,43.7961,113.9371,5.0499,3.0125,3588.318,587.3752,,,133.5737
2015,4092.2269,3358.5514,318.4644,36.0868,6.622,4.5178,2.7878,0.3098,1.2663,0.154,1753.784,108.6972,1645.087,162.0547,1060.7434,47.9098,8.4949,940.4562,63.8823,16.2788,479.1008,205.0899,68.9782,192.1332,9.2273,3.6721,254.5755,130.6141,25.892,92.8871,2.1466,3.0358,3458.7574,503.1634,,,130.3064
2014,3903.3,3185.8,338.40098,41.66122,9.43846,5.16732,2.34857,0.58292,2.17751,0.05832,1596.1,102.66513,1493.5,154.85234,1024.03977,49.40223,8.85101,895.90812,69.87841,16.08168,458.70431,215.00579,60.80301,174.8598,7.66962,0.36609,258.86944,115.97864,24.67434,112.89819,2.5819,2.73637,3293.0,527.74018,,,82.6
2013,3515.55218,2892.22261,322.69744,43.76479,11.38033,4.37704,2.18282,1.02082,1.07352,0.09988,1360.94505,84.146,1276.79905,153.94042,977.8483,52.4352,10.32972,848.30264,66.78074,17.26924,378.32799,182.67141,47.71851,136.5777,10.36763,0.99274,245.00158,127.73228,32.50951,82.98092,1.15437,0.6245,2960.74743,476.35779,,,78.44696
2012,3137.29988,2536.45413,421.15399,48.91221,19.50255,8.76565,4.70888,1.06598,1.37828,1.61251,1044.70001,28.18938,1016.51063,113.50916,779.26566,93.78591,23.89386,610.76554,50.82035,100.6449,346.55426,185.85823,54.49438,95.22976,10.54531,0.42658,254.29149,121.31264,35.08064,94.14346,1.77941,1.97534,2740.02771,353.70606,,,43.56611
2011,2696.9,2118.2,377.3,41.5,15.2,7.2,3.9,0.9,1.2,1.2,822.4,22.2,800.2,120.8,668.8,79.6,22.3,515.9,51.0,65.1,344.0,185.0,50.8,99.2,8.7,0.4,234.7,108.7,30.5,65.2,30.0,0.3,2361.6,299.0,,,36.3
2010,2302.1,1800.9,360.5,39.4,12.3,7.2,3.5,0.9,1.9,0.9,678.6,20.8,657.7,91.5,584.3,85.5,21.4,441.7,35.7,27.1,306.7,167.4,49.3,84.0,5.9,,194.5,96.1,23.6,72.0,2.7,,2014.8,256.3,,,30.9
2009,1874.8,1418.3,326.2,37.7,9.6,7.5,4.5,0.4,2.0,0.6,492.3,15.3,476.9,84.6,440.7,64.4,16.2,333.8,26.3,19.8,260.5,136.9,50.1,67.5,6.1,,196.0,90.9,23.7,79.4,2.1,,1645.8,206.7,,,22.4
2008,1710.1,1282.9,348.1,37.1,9.8,8.6,4.4,0.7,2.5,1.0,415.6,22.0,393.7,70.8,383.6,51.9,11.8,299.2,20.7,9.2,253.8,136.6,46.4,66.5,4.3,,173.4,82.4,32.2,56.5,2.4,,1525.3,162.5,,,22.3
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,808.16574,557.42233,209.80291,30.50333,11.43596,7.91932,4.59889,0.61474,2.09943,0.60626,149.2201,11.04848,138.17162,40.2708,105.1751,14.73746,2.34439,81.45814,6.63511,3.09481,148.80356,95.8022,40.15632,11.99637,0.84867,0.0,101.93985,45.25453,35.50024,20.21261,0.97247,0.0,770.60593,33.60439,,,3.95542
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
