年份,大中型工业企业发明专利申请数,煤炭开采和洗选业大中型工业企业发明专利申请数,石油和天然气开采业大中型工业企业发明专利申请数,黑色金属矿采选业大中型工业企业发明专利申请数,有色金属矿采选业大中型工业企业发明专利申请数,非金属矿采选业大中型工业企业发明专利申请数,农副食品加工业大中型工业企业发明专利申请数,食品制造业大中型工业企业发明专利申请数,饮料制造业大中型工业企业发明专利申请数,烟草制品业大中型工业企业发明专利申请数,纺织业大中型工业企业发明专利申请数,纺织服装、鞋、帽制造业大中型工业企业发明专利申请数,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业发明专利申请数,木材加工及木、竹、藤、棕、草制品业大中型工业企业发明专利申请数,家具制造业大中型工业企业发明专利申请数,造纸及纸制品业大中型工业企业发明专利申请数,印刷业和记录媒介的复制大中型工业企业发明专利申请数,文教体育用品制造业大中型工业企业发明专利申请数,石油加工、炼焦及核燃料加工业大中型工业企业发明专利申请数,化学原料及化学制品制造业大中型工业企业发明专利申请数,医药制造业大中型工业企业发明专利申请数,化学纤维制造业大中型工业企业发明专利申请数,橡胶制品业大中型工业企业发明专利申请数,塑料制品业大中型工业企业发明专利申请数,非金属矿物制品业大中型工业企业发明专利申请数,黑色金属冶炼及压延加工业大中型工业企业发明专利申请数,有色金属冶炼及压延加工业大中型工业企业发明专利申请数,金属制品业大中型工业企业发明专利申请数,通用设备制造业大中型工业企业发明专利申请数,专用设备制造业大中型工业企业发明专利申请数,交通运输设备制造业大中型工业企业发明专利申请数,电气机械及器材制造业大中型工业企业发明专利申请数,通信设备、计算机及其他电子设备制造业大中型工业企业发明专利申请数,仪器仪表及文化、办公用机械制造业大中型工业企业发明专利申请数,工艺品及其他制造业大中型工业企业发明专利申请数,电力、热力的生产和供应业大中型工业企业发明专利申请数,燃气生产和供应业大中型工业企业发明专利申请数,水的生产和供应业大中型工业企业发明专利申请数
2019,267754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,241854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,218376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,188684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,163156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,158680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,139723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,124695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,97822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,72523,333.0,387.0,17.0,68.0,37.0,558.0,834.0,272.0,245.0,809.0,197.0,114.0,172.0,215.0,294.0,183.0,248.0,345.0,2902.0,3705.0,365.0,404.0,785.0,1800.0,2102.0,1194.0,1170.0,3330.0,4027.0,5391.0,8339.0,28913.0,1485.0,290.0,956.0,8.0,19.0
2009,63011,391.0,399.0,27.0,42.0,29.0,424.0,705.0,266.0,230.0,878.0,169.0,66.0,190.0,67.0,248.0,137.0,256.0,252.0,3079.0,2938.0,188.0,221.0,626.0,2665.0,1836.0,1165.0,754.0,2676.0,2991.0,3911.0,6173.0,26560.0,1333.0,247.0,848.0,2.0,20.0
2008,43773,151.0,275.0,12.0,45.0,36.0,203.0,480.0,120.0,271.0,661.0,87.0,63.0,82.0,43.0,197.0,79.0,125.0,175.0,2098.0,2538.0,182.0,159.0,246.0,530.0,1331.0,1104.0,644.0,1820.0,2494.0,2549.0,4466.0,18939.0,843.0,177.0,528.0,8.0,12.0
2007,36074,113.0,217.0,11.0,37.0,31.0,111.0,296.0,115.0,123.0,394.0,56.0,47.0,43.0,41.0,82.0,54.0,141.0,154.0,1350.0,1483.0,230.0,113.0,167.0,429.0,1133.0,585.0,418.0,1382.0,1578.0,1822.0,3022.0,19447.0,460.0,203.0,178.0,2.0,6.0
2006,25685,78.0,168.0,4.0,17.0,13.0,137.0,178.0,88.0,53.0,397.0,48.0,63.0,62.0,37.0,58.0,41.0,217.0,174.0,1122.0,1475.0,114.0,54.0,182.0,364.0,801.0,520.0,395.0,1078.0,889.0,1237.0,2266.0,12704.0,400.0,144.0,84.0,13.0,10.0
2005,18292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,13908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,9395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
