年份,大中型工业企业专利申请数,国有及国有控股大中型工业企业专利申请数,内资大中型工业企业专利申请数,国有大中型工业企业专利申请数,集体大中型工业企业专利申请数,股份合作大中型工业企业专利申请数,联营大中型工业企业专利申请数,国有联营大中型工业企业专利申请数,有限责任公司大中型工业企业专利申请数,国有独资公司大中型工业企业专利申请数,股份有限公司大中型工业企业专利申请数,私营大中型工业企业专利申请数,其他大中型工业企业专利申请数,港、澳、台商投资大中型工业企业专利申请数,合资经营大中型工业企业专利申请数,合作经营大中型工业企业专利申请数,独资经营大中型工业企业专利申请数,投资股份有限公司大中型工业企业专利申请数,外商投资大中型工业企业专利申请数,中外合资经营大中型工业企业专利申请数,中外合作经营大中型工业企业专利申请数,外资大中型工业企业专利申请数,外商投资股份有限公司大中型工业企业专利申请数
2019,574316,,,,,,,,,,,,,,,,,,,,,,
2018,541149,,,,,,,,,,,,,,,,,,,,,,
2017,496260,,,,,,,,,,,,,,,,,,,,,,
2016,438422,,,,,,,,,,,,,,,,,,,,,,
2015,394956,,,,,,,,,,,,,,,,,,,,,,
2014,393480,,,,,,,,,,,,,,,,,,,,,,
2013,359791,,,,,,,,,,,,,,,,,,,,,,
2012,327116,,,,,,,,,,,,,,,,,,,,,,
2011,265612,,,,,,,,,,,,,,,,,,,,,,
2010,198890,61444.0,140484.0,14731.0,1646.0,686.0,72.0,19.0,45096.0,8081.0,40010.0,37955.0,288.0,24213.0,11925.0,336.0,10782.0,1170.0,34193.0,14559.0,306.0,17810.0,1518.0
2009,166762,52170.0,119642.0,12108.0,1411.0,573.0,99.0,72.0,39544.0,6754.0,36202.0,29057.0,648.0,19781.0,9480.0,232.0,8719.0,1350.0,27339.0,11895.0,218.0,13464.0,1762.0
2008,122076,37642.0,89663.0,9427.0,1333.0,329.0,45.0,27.0,30117.0,4899.0,25783.0,22455.0,174.0,14708.0,6425.0,149.0,7023.0,1111.0,17705.0,9073.0,103.0,7093.0,1436.0
2007,95905,,,,,,,,,,,,,,,,,,,,,,
2006,69009,,,,,,,,,,,,,,,,,,,,,,
2005,55271,,,,,,,,,,,,,,,,,,,,,,
2004,42318,,,,,,,,,,,,,,,,,,,,,,
2003,31382,,,,,,,,,,,,,,,,,,,,,,
2002,21297,,,,,,,,,,,,,,,,,,,,,,
2001,15339,,,,,,,,,,,,,,,,,,,,,,
2000,11819,,,,,,,,,,,,,,,,,,,,,,
