年份,出口额,第一类活动物；动物产品出口额,01章活动物出口额,02章肉及食用杂碎出口额,03章鱼、甲壳动物、软体动物及其他水生无脊椎动物出_口额,04章乳品；蛋品；天然蜂蜜；其他食用动物产品出口额,05章其他动物产品出口额,第二类植物产品出口额,06章活树及其他活植物；鳞茎、根及类似品；插花及装_饰用簇叶出口额,07章食用蔬菜、根及块茎出口额,08章食用水果及坚果；甜瓜或柑桔属水果的果皮出口额,09章咖啡、茶、马黛茶及调味香料出口额,10章谷物出口额,11章制粉工业产品；麦芽；淀粉；菊粉；面筋出口额,12章含油子仁及果实；杂项子仁及果实；工业用或药用_植物；稻草、秸秆及饲料出口额,13章虫胶；树胶、树脂及其他植物液、汁出口额,14章编结用植物材料；其他植物产品出口额,第三类动、植物油、脂及其分解产品；精制的食用油脂；_动、植物蜡出口额,15章动、植物油、脂及其分解产品；精制的食用油脂；_动、植物蜡出口额,第四类食品；饮料、酒及醋；烟草、烟草及烟草代用品的_制品出口额,16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动_物的制品出口额,17章糖及糖食出口额,18章可可及可可制品出口额,19章谷物、粮食粉、淀粉或乳的制品；糕饼点心出口额,20章蔬菜、水果、坚果或植物其他部分的制品出口额,21章杂项食品出口额,22章饮料、酒及醋出口额,23章食品工业的残渣及废料；配制的动物饲料出口额,24章烟草、烟草及烟草代用品的制品出口额,第五类矿产品出口额,25章盐；硫磺；泥土及石料；石膏料、石灰及水泥出口额,26章矿砂、矿渣及矿灰出口额,27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物_蜡出口额,第六类化学工业及其相关工业的产品出口额,28章无机化学品；贵金属、稀土金属、放射性元素及其_同位素的有机及无机化合物出口额,29章有机化学品出口额,30章药品出口额,31章肥料出口额,32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料，颜_料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨出口额,33章精油及香膏；芳香料制品及化妆盥洗品出口额,34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、_调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂出口额,35章蛋白类物质；改性淀粉；胶；酶出口额,36章炸药；烟火制品；火柴；引火合金；易燃材料制品_出口额,37章照相及电影用品出口额,38章杂项化学产品出口额,第七类塑料及其制品；橡胶及其制品出口额,39章塑料及其制品出口额,40章橡胶及其制品出口额,第八类生皮、皮革、毛皮及其制品；鞍具及挽具；旅行用_品、手提包及类似品；动物肠线(蚕胶丝除外)制品出口额,41章生皮(毛皮除外)及皮革出口额,42章皮革制品；鞍具及挽具；旅行用品、手提包及类似_容器；动物肠线(蚕胶丝除外)制品出口额,43章毛皮、人造毛皮及其制品出口额,第九类木及木制品；木炭；软木及软木制品；稻草、秸秆、_针茅或其他编结材料制品；篮筐及柳条编结品出口额,44章木及木制品；木炭出口额,45章软木及软木制品出口额,46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳_条编结品出口额,第十类木浆及其他纤维状纤维素浆；纸及纸板的废碎品；_纸、纸板及其制品出口额,47章木浆及其他纤维状纤维素浆；纸及纸板的废碎品出_口额,48章纸及纸板；纸浆，纸或纸板制品出口额,49章书籍、报纸、印刷图画及其他印刷品；手稿、打字_稿及设计图纸出口额,第十一类纺织原料及纺织制品出口额,50章蚕丝出口额,51章羊毛、动物细毛或粗毛；马毛纱线及其机织物出口额,52章棉花出口额,53章其他植物纺织纤维；纸纱线及其机织物出口额,54章化学纤维长丝出口额,55章化学纤维短纤出口额,56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、_缆及其制品出口额,57章地毯及纺织材料的其他铺地制品出口额,58章特种机织物；簇绒织物；花边；装饰毯；装饰带；_刺绣品出口额,59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制_品出口额,60章针织物及钩编织物出口额,61章针织或钩编的服装及衣着附件出口额,62章非针织或非钩编的服装及衣着附件出口额,63章其他纺织制成品；成套物品；旧衣着及旧纺织品；_碎织物出口额,第十二类鞋、帽、伞、杖、鞭及其零件；已加工的羽毛及_其制品；人造花；人发制品出口额,64章鞋靴、护腿和类似品及其零件出口额,65章帽类及其零件出口额,66章雨伞、阳伞、手杖、鞭子、马鞭及其零件出口额,67章已加工羽毛、羽绒及其制品；人造花；人发制品出_口额,第十三类石料、石膏、水泥、石棉、云母及类似材料的制_品；陶瓷产品；玻璃及其制品出口额,68章石料、石膏、水泥、石棉、云母及类似材料的制品_出口额,69章陶瓷产品出口额,70章玻璃及其制品出口额,第十四类天然或养殖珍珠、宝石或半宝石、贵金属、包贵_金属及其制品；仿首饰；硬币出口额,71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金_属及其制品；仿首饰；硬币出口额,第十五类贱金属及其制品出口额,72章钢铁出口额,73章钢铁制品出口额,74章铜及其制品出口额,75章镍及其制品出口额,76章铝及其制品出口额,78章铅及其制品出口额,79章锌及其制品出口额,80章锡及其制品出口额,81章其他贱金属，金属陶瓷及其制品出口额,82章贱金属工具、器具、利口器、餐匙、餐叉及其零件_出口额,83章贱金属杂项制品出口额,第十六类机器、机械器具、电气设备及其零件；录音机及_放声机、电视图像、声音的录制和重放设备及其零件、附件出口额,84章核反应堆、锅炉、机械器具及零件出口额,85章电机、电气设备及其零件；录音机及放声机、电视_图像、声音的录制和重放设备及其零件、附件出口额,第十七类车辆、航空器、船舶及有关运输设备出口额,86章铁道及电车道机车、车辆及其零件；铁道及电车道_轨道固定装置及其零件、附件；各种机械(包括电动机械)交通信号设备出口额,87章车辆及其零件，附件，但铁道及电车道车辆除外出_口额,88章航空器，航天器及其零件出口额,89章船舶及浮动结构体出口额,第十八类光学、照相、电影、计量、检验、医疗或外科用_仪器及设备、精密仪器及设备；钟表；乐器；上述物品的零件、附件出口额,90章光学、照相、电影、计量、检验、医疗或外科用仪_器及设备、精密仪器及设备；上述物品的零件、附件出口额,91章钟表及其零件出口额,92章乐器及其零件，附件出口额,第十九类武器、弹药及其零件、附件出口额,93章武器、弹药及其零件，附件出口额,第二十类杂项制品出口额,94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填_充制品；未列名灯具及照明装置；发光标志、发光名牌及类似品；活动房屋出口额,95章玩具、游戏品、运动用品及其零件、附件出口额,96章杂项制品出口额,第二十一类艺术品、收藏品及古物出口额,97章艺术品、收藏品及古物出口额,第二十二类特殊交易品及未分类商品出口额,98章特殊交易品及未分类商品出口额
2019,2499482.089188,16772.287028,510.018095,841.003977,12467.027921,560.622352,2393.614683,27139.638222,432.163252,10326.798367,6227.061001,3633.403114,1120.943611,838.598008,2874.926091,1555.98179,129.762988,1188.457107,1188.457107,31850.661845,9241.433705,1861.349228,399.294987,2216.131137,7837.280018,3985.224921,2081.176044,2809.043441,1419.728364,52173.075341,3301.68374,1746.659018,47124.732583,130291.859489,16839.45304,56779.678399,9168.364351,7163.728115,7719.843592,5894.164659,4424.264286,3227.689876,896.115187,1105.5355,17073.022484,106296.934393,84156.99363,22139.940763,35232.989023,704.106678,29441.775253,5087.107092,15070.533813,13386.563132,25.627316,1658.343365,25976.971771,133.814533,21868.029827,3975.127411,260240.576166,995.60951,2359.749833,14136.336814,1368.443302,22192.465329,12380.488261,6053.125576,2919.314458,5312.091413,7958.989225,18657.911773,71352.803266,66663.157206,27890.0902,63627.670763,47699.563881,4640.378285,2858.393431,8429.335166,54448.894364,11476.852977,25119.504621,17852.536766,20600.645221,20600.645221,182625.809701,39414.231051,69262.007009,6780.85933,914.847691,26077.734436,63.92142,331.267855,111.792275,3526.180048,16621.727014,19521.241572,1087084.065091,416635.682359,670448.382732,111838.664291,9131.684176,74305.754382,3901.1472,24500.078533,79606.652464,72938.834828,4928.68178,1739.135856,142.342413,142.342413,179463.880392,99063.069937,62444.706673,17956.103782,743.08609,743.08609,17066.3942,17066.3942
2018,2486682.0,17789.251,544.086,866.026,13256.011,589.65,2533.478,25572.331,379.42,10516.928,5284.606,3278.051,950.074,791.894,2714.831,1528.754,127.772,1092.69,1092.69,33104.915,10252.065,1828.874,407.222,1993.22,8050.432,3679.384,2368.514,3116.594,1408.609,51606.219,3717.433,1164.443,46724.343,136538.653,20089.087,59761.679,8870.205,7021.817,7766.162,5618.558,4115.92,3052.246,996.935,1129.551,18116.493,101867.886,79620.225,22247.661,34331.157,635.409,29386.15,4309.598,16472.29,14844.41,25.537,1602.344,23074.527,131.247,19130.339,3812.941,266007.398,1140.472,2476.03,15446.611,1398.523,20491.538,12685.495,5731.614,2974.552,5062.985,8027.609,18154.341,73326.739,71293.42,27797.47,61118.462,46894.17,4668.789,2707.981,6847.522,50201.646,11906.501,21564.932,16730.213,19709.934,19709.934,185435.061,46860.241,65127.852,6941.832,450.605,27023.354,132.007,248.634,74.564,3864.993,16295.977,18415.001,1093335.646,429306.044,664029.602,118005.846,13272.503,75071.083,4526.277,25135.983,77745.231,71465.944,4649.606,1629.681,164.86,164.86,167944.891,95443.314,56063.811,16437.766,187.952,187.952,5374.662,5374.662
2017,2263345.0,17628.185,561.541,916.484,13252.542,588.231,2309.387,25139.43,338.468,11164.183,5336.538,2930.789,669.756,574.555,2646.341,1347.927,130.872,839.44,839.44,29975.829,9024.178,1759.254,376.027,1650.108,7693.661,3259.7,2227.074,2659.027,1326.799,39325.568,3217.627,717.175,35390.766,114451.669,15004.412,49736.116,7364.201,6042.557,6990.875,4832.346,3538.27,2841.358,824.591,1082.823,16194.12,90654.848,70000.376,20654.471,33138.764,614.715,28872.139,3651.911,15156.776,13640.033,21.157,1495.586,21752.299,135.019,17988.606,3628.674,257321.23,1111.843,1999.003,15127.254,1055.241,17953.546,12061.41,5084.135,2702.166,4740.137,7390.117,16506.064,71823.613,73408.648,26358.054,61105.664,48185.818,4390.363,2621.193,5908.29,45902.741,10870.694,19313.843,15718.203,17980.628,17980.628,165096.874,42984.233,56727.624,6457.489,417.944,22585.178,84.88,243.361,59.612,3228.824,15012.897,17294.832,981568.73,383243.543,598325.186,104808.916,10945.586,67263.14,3667.043,22933.148,76819.62,70615.803,4655.416,1548.4,132.689,132.689,159158.182,88973.113,54593.035,15592.035,128.228,128.228,5285.019,5285.019
2016,2097631.193,17617.673,646.738,902.452,13706.352,589.717,1772.413,24405.107,330.155,10546.712,5499.186,2982.477,429.188,565.488,2673.698,1257.519,120.686,599.962,599.962,28546.877,7941.755,1706.94,426.122,1579.089,7337.742,3206.996,2203.206,2767.559,1377.467,30133.149,2986.708,270.48,26875.961,99317.803,12136.55,42165.325,7011.89,6556.922,6089.866,4288.683,3234.128,2494.362,822.122,1070.745,13447.21,81107.159,62373.665,18733.494,31397.979,626.961,27368.55,3402.468,15050.195,13547.309,21.282,1481.604,21339.645,109.685,17616.975,3612.984,253263.036,1158.02,2141.387,14967.18,1054.563,16569.22,12116.066,4910.541,2522.987,4485.976,6900.832,14420.763,74422.282,72069.166,25524.053,59442.908,47208.07,4404.552,2717.811,5112.475,44272.181,10738.479,18267.623,15266.079,21731.194,21731.194,154411.524,43256.784,51901.087,5795.133,325.479,21210.455,72.779,271.937,66.491,2499.83,13342.169,15669.379,896974.872,343790.219,553184.652,92887.205,6858.98,60148.722,3364.512,22514.991,74389.974,67488.326,5331.184,1570.464,139.259,139.259,146061.353,87514.428,43707.086,14839.839,215.43,215.43,4326.708,4326.708
2015,2273468.224113,17356.891,597.731,1057.444,13323.95,606.068,1771.699,22231.451,299.686,9023.65,5161.489,2535.382,321.808,589.678,2902.852,1272.173,124.733,666.66,666.66,27911.218,8004.594,1562.49,442.228,1527.573,7386.47,2977.37,1993.89,2665.137,1351.466,31718.898,3571.298,243.86,27903.74,106194.495,13445.973,42666.609,6940.731,10880.001,6296.766,4694.167,3277.632,2639.891,946.911,1184.757,13221.056,86030.389,65682.744,20347.645,35038.666,665.877,31031.735,3341.055,15835.755,14199.342,22.438,1613.975,22764.178,113.081,18752.436,3898.661,273393.475,1269.884,2281.227,15798.722,1568.389,16375.995,12898.553,4859.37,2628.967,4803.269,7130.311,14624.025,83786.271,78439.918,26928.573,68210.437,53509.469,4785.076,3104.793,6811.1,54844.886,13004.526,26028.724,15811.636,30708.819,30708.819,176567.348,49196.926,60522.913,5621.492,764.48,23808.388,160.39,524.267,60.284,2831.494,14578.718,18497.995,958601.552,364276.142,594325.411,107214.625,12330.654,62600.002,3470.738,28813.231,81098.532,73676.933,5733.056,1688.542,170.25,170.25,155838.019,98530.819,42626.657,14680.542,564.988,564.988,506.693,506.693
2014,2342293.0,18720.533,585.572,1181.933,14074.262,586.072,2292.694,20988.471,409.95,8226.456,4318.152,2452.618,445.421,612.292,3114.042,1305.974,103.565,644.614,644.614,29008.737,8881.919,1540.355,475.797,1573.199,7634.471,2708.012,1651.195,3259.876,1283.912,38674.41,3872.636,350.079,34451.695,109405.634,15026.001,45442.905,6591.592,8919.588,6723.672,4187.334,3447.921,2679.247,983.577,1192.484,14211.312,90386.844,66789.42,23597.424,35084.367,563.33,30365.883,4155.154,16153.651,14469.961,19.651,1664.038,21773.777,117.669,17818.53,3837.578,287584.119,1516.713,2522.052,16304.25,1486.329,16878.482,12817.09,4598.021,2680.213,5122.517,7607.249,14141.713,91991.73,81445.116,28472.646,70544.505,56248.574,4542.484,3214.01,6539.438,49112.945,11094.744,21978.517,16039.685,63199.996,63199.996,184256.749,55478.832,60637.042,6982.63,2213.751,22615.47,160.514,572.652,141.263,3488.112,14786.08,17180.402,971758.646,400834.16,570924.486,104779.877,12737.456,64192.713,2647.267,25202.442,81035.041,74001.396,5322.873,1710.772,161.163,161.163,146154.665,93374.119,38552.9,14227.646,597.46,597.46,2266.491,2266.491
2013,2209004.0,16840.612724,580.624579,988.523617,12526.363435000001,544.778607,2200.322486,19853.454778,275.43909,7871.39535,4171.872871,2245.403093,513.962087,610.519393,2924.8638659999997,1150.7393100000002,89.25971799999999,606.53853,606.53853,28065.297799,8982.206317,1451.714616,385.986193,1531.67788,7852.1428399999995,2464.515292,1341.0945020000001,2734.22505,1321.735109,37634.107176,3455.987032,378.872619,33799.247525,97689.320652,13592.888478,42201.531264,6207.562235,6252.534707999999,5803.352144,3620.699885,3133.966611,2453.126079,901.510947,1217.756821,12304.39148,84882.64939800001,61753.122392,23129.527006,34795.876626000005,466.06654399999996,30673.226169,3656.5839130000004,14456.793332,12748.096361,17.066747,1691.630224,19793.521879,106.292523,15987.709668,3699.5196880000003,273958.53128,1630.002997,2619.2469029999997,17546.656998,1285.32766,16014.283231000001,11211.386038,4125.343667,2505.473036,4874.882381,7375.916871,12900.38896,96792.63609700001,68251.833132,26825.153309,64052.607725,50761.328292000006,4439.499457999999,3002.3691200000003,5849.410855,45427.757375,10062.402246,19162.589702,16202.765426999998,50288.448846,50288.448846,155998.53359200002,38620.857906000005,57347.730446999994,7144.439689,996.8635899999999,20039.264929,164.295852,233.361853,157.001804,3184.87666,13256.543323999998,14853.297538,944438.144428,383152.503937,561285.640491,100165.345147,10994.680936,58549.722635,1939.709861,28681.231715,81759.204176,74530.41165099999,5568.386391,1660.406134,159.23294099999998,159.23294099999998,135368.80411199998,86414.55152,35847.098034999995,13107.154557,1041.022387,1041.022387,1728.193902,1728.193902
2012,2048714.0,15477.262,582.866,980.5,11322.707,533.947,2057.243,17629.48,256.113,6905.648,3771.774,1942.961,443.108,602.273,2626.516,989.896,91.191,567.362,567.362,27417.06,8951.442,1265.25,332.925,1499.716,7561.784,2223.241,1386.621,2934.172,1261.91,34827.471,3391.702,424.29,31011.478,94441.845,13924.159,40405.45,5890.639,7241.904,5470.03,3299.859,2946.741,2214.246,859.726,1211.128,10977.963,77343.473,55192.939,22150.533,31738.549,445.17,28243.256,3050.123,14121.457,12314.833,15.559,1791.065,17321.14,127.783,13721.751,3471.606,246045.494,1706.53,2583.914,14838.38,1068.189,14296.994,10624.213,3540.343,2403.738,4637.482,6848.614,11218.102,87043.017,61220.174,24015.804,58811.524,46811.105,3897.089,2825.428,5277.901,39709.899,8072.248,16745.933,14891.717,45451.332,45451.332,149073.446,37115.897,56160.089,7190.967,880.835,18640.467,60.506,158.32,97.126,3193.338,12262.046,13313.856,863208.739,375887.928,487320.81,108369.591,12886.036,55113.849,1558.315,38811.39,79391.164,72625.598,5063.267,1702.298,138.674,138.674,125679.579,77885.562,35618.759,12175.258,534.303,534.303,1415.578,1415.578
2011,1898381.0,14965.681971,570.798288,1075.43227,10984.680465,498.64793099999997,1836.123017,18768.848175,228.993543,8722.659436,3188.464091,2020.632834,608.659866,587.06048,2345.931106,981.261839,85.18498,544.234971,544.234971,24338.382472,7865.763446999999,1289.952365,314.904058,1502.169492,6978.750318,2006.01904,1183.169664,2057.144921,1140.509167,36288.281799,3418.903419,593.9331609999999,32275.445219,97090.522059,17307.704566,39292.473085,5421.3236320000005,7924.044921,5504.4984110000005,3029.0706529999998,2677.877494,2045.235674,779.888676,1174.378404,11934.026543,66346.023229,45421.152218,20924.871011,29945.052421,452.789011,26892.324455,2599.938955,13157.461411,11354.3518,17.729754,1785.379857,16242.436834,231.035721,12905.415644,3105.985469,240539.05990599998,1745.54074,2958.974278,15497.562206,1131.311281,13815.251467,11175.915248,3457.645149,2323.672996,4569.952494,7254.306235,10697.599013,80164.28986,63073.728329000005,22673.31061,52464.136434,41722.294498999996,3536.802142,2881.395764,4323.644029,34020.679225,7365.777866,14051.646944,12603.254415,27503.683132,27503.683132,144921.252301,39875.96054,51195.607670000005,6743.642125,1053.604573,18648.440853,160.751618,289.131236,174.297035,3718.312018,11173.301366,11888.203267,799518.677917,353762.96877700003,445755.70914,109107.40561399999,14315.874872,49539.647733,1630.432108,43621.450901,65996.97386,60685.426034,3688.017295,1623.530531,116.972953,116.972953,103788.652576,59335.919545000004,34304.39591,10148.337121,374.777089,374.777089,2341.69111,2341.69111
2010,1577754.0,12017.297164999998,453.962708,994.590514,8806.856837,404.552772,1357.334334,15868.954899,205.565543,7476.942731,2679.442945,1657.471116,539.441163,552.271305,2047.934796,646.2487389999999,63.636561,369.43864,369.43864,19370.598015,5863.960937,1059.718694,212.616606,1160.0627490000002,5544.953428999999,1559.219347,994.847871,1954.916638,1020.3017439999999,30375.268423,3120.483547,580.17091,26674.613965999997,74972.637071,11763.41054,31451.577004,4482.147359,5431.721641,4309.349485999999,2494.010692,2026.032115,1750.010254,651.5335200000001,1072.933906,9539.910554,49592.26251,34696.227024,14896.035486,23245.610159000003,411.72845400000006,20845.496497,1988.385208,11187.637662,9651.527946,16.203714,1519.906002,12405.589521,140.134568,9561.024959,2704.429994,199533.065533,1642.004191,2361.690309,13066.588989,869.56408,10085.444273,7956.6821390000005,2683.298498,1954.929326,3804.631019,5626.0711710000005,8666.555728,66710.05862699999,54361.468925,19744.078258,43911.885169,35635.531711,2797.770079,2436.103018,3042.480361,27212.424914,5787.285,11099.752341,10325.387573,12546.278122,12546.278122,110798.812911,28931.505407,39134.501093,4802.012066,1298.595268,14530.867918,173.111053,286.211047,173.575324,3031.484028,8869.602695,9567.347012,698568.2078689999,309813.668448,388754.539421,88874.450485,8915.179962,38397.642247,1265.231817,40296.396459,56624.755982,52109.612966,3049.07919,1466.0638259999998,97.519554,97.519554,88554.032564,50584.057429,29306.888506,8663.086629,160.486928,160.486928,1467.1009909999998,1467.1009909999998
