年份,进口额,第一类活动物；动物产品进口额,01章活动物进口额,02章肉及食用杂碎进口额,03章鱼、甲壳动物、软体动物及其他水生无脊椎动物进_口额,04章乳品；蛋品；天然蜂蜜；其他食用动物产品进口额,05章其他动物产品进口额,第二类植物产品进口额,06章活树及其他活植物；鳞茎、根及类似品；插花及装_饰用簇叶进口额,07章食用蔬菜、根及块茎进口额,08章食用水果及坚果；甜瓜或柑桔属水果的果皮进口额,09章咖啡、茶、马黛茶及调味香料进口额,10章谷物进口额,11章制粉工业产品；麦芽；淀粉；菊粉；面筋进口额,12章含油子仁及果实；杂项子仁及果实；工业用或药用_植物；稻草、秸秆及饲料进口额,13章虫胶；树胶、树脂及其他植物液、汁进口额,14章编结用植物材料；其他植物产品进口额,第三类动、植物油、脂及其分解产品；精制的食用油脂；_动、植物蜡进口额,15章动、植物油、脂及其分解产品；精制的食用油脂；_动、植物蜡进口额,第四类食品；饮料、酒及醋；烟草、烟草及烟草代用品的_制品进口额,16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动_物的制品进口额,17章糖及糖食进口额,18章可可及可可制品进口额,19章谷物、粮食粉、淀粉或乳的制品；糕饼点心进口额,20章蔬菜、水果、坚果或植物其他部分的制品进口额,21章杂项食品进口额,22章饮料、酒及醋进口额,23章食品工业的残渣及废料；配制的动物饲料进口额,24章烟草、烟草及烟草代用品的制品进口额,第五类矿产品进口额,25章盐；硫磺；泥土及石料；石膏料、石灰及水泥进口额,26章矿砂、矿渣及矿灰进口额,27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物_蜡进口额,第六类化学工业及其相关工业的产品进口额,28章无机化学品；贵金属、稀土金属、放射性元素及其_同位素的有机及无机化合物进口额,29章有机化学品进口额,30章药品进口额,31章肥料进口额,32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料，颜_料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨进口额,33章精油及香膏；芳香料制品及化妆盥洗品进口额,34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、_调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂进口额,35章蛋白类物质；改性淀粉；胶；酶进口额,36章炸药；烟火制品；火柴；引火合金；易燃材料制品_进口额,37章照相及电影用品进口额,38章杂项化学产品进口额,第七类塑料及其制品；橡胶及其制品进口额,39章塑料及其制品进口额,40章橡胶及其制品进口额,第八类生皮、皮革、毛皮及其制品；鞍具及挽具；旅行用_品、手提包及类似品；动物肠线(蚕胶丝除外)制品进口额,41章生皮(毛皮除外)及皮革进口额,42章皮革制品；鞍具及挽具；旅行用品、手提包及类似_容器；动物肠线(蚕胶丝除外)制品进口额,43章毛皮、人造毛皮及其制品进口额,第九类木及木制品；木炭；软木及软木制品；稻草、秸秆、_针茅或其他编结材料制品；篮筐及柳条编结品进口额,44章木及木制品；木炭进口额,45章软木及软木制品进口额,46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳_条编结品进口额,第十类木浆及其他纤维状纤维素浆；纸及纸板的废碎品；_纸、纸板及其制品进口额,47章木浆及其他纤维状纤维素浆；纸及纸板的废碎品进_口额,48章纸及纸板；纸浆，纸或纸板制品进口额,49章书籍、报纸、印刷图画及其他印刷品；手稿、打字_稿及设计图纸进口额,第十一类纺织原料及纺织制品进口额,50章蚕丝进口额,51章羊毛、动物细毛或粗毛；马毛纱线及其机织物进口额,52章棉花进口额,53章其他植物纺织纤维；纸纱线及其机织物进口额,54章化学纤维长丝进口额,55章化学纤维短纤进口额,56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、_缆及其制品进口额,57章地毯及纺织材料的其他铺地制品进口额,58章特种机织物；簇绒织物；花边；装饰毯；装饰带；_刺绣品进口额,59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制_品进口额,60章针织物及钩编织物进口额,61章针织或钩编的服装及衣着附件进口额,62章非针织或非钩编的服装及衣着附件进口额,63章其他纺织制成品；成套物品；旧衣着及旧纺织品；_碎织物进口额,第十二类鞋、帽、伞、杖、鞭及其零件；已加工的羽毛及_其制品；人造花；人发制品进口额,64章鞋靴、护腿和类似品及其零件进口额,65章帽类及其零件进口额,66章雨伞、阳伞、手杖、鞭子、马鞭及其零件进口额,67章已加工羽毛、羽绒及其制品；人造花；人发制品进_口额,第十三类石料、石膏、水泥、石棉、云母及类似材料的制_品；陶瓷产品；玻璃及其制品进口额,68章石料、石膏、水泥、石棉、云母及类似材料的制品_进口额,69章陶瓷产品进口额,70章玻璃及其制品进口额,第十四类天然或养殖珍珠、宝石或半宝石、贵金属、包贵_金属及其制品；仿首饰；硬币进口额,71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金_属及其制品；仿首饰；硬币进口额,第十五类贱金属及其制品进口额,72章钢铁进口额,73章钢铁制品进口额,74章铜及其制品进口额,75章镍及其制品进口额,76章铝及其制品进口额,78章铅及其制品进口额,79章锌及其制品进口额,80章锡及其制品进口额,81章其他贱金属，金属陶瓷及其制品进口额,82章贱金属工具、器具、利口器、餐匙、餐叉及其零件_进口额,83章贱金属杂项制品进口额,第十六类机器、机械器具、电气设备及其零件；录音机及_放声机、电视图像、声音的录制和重放设备及其零件、附件进口额,84章核反应堆、锅炉、机械器具及零件进口额,85章电机、电气设备及其零件；录音机及放声机、电视_图像、声音的录制和重放设备及其零件、附件进口额,第十七类车辆、航空器、船舶及有关运输设备进口额,86章铁道及电车道机车、车辆及其零件；铁道及电车道_轨道固定装置及其零件、附件；各种机械(包括电动机械)交通信号设备进口额,87章车辆及其零件，附件，但铁道及电车道车辆除外进_口额,88章航空器，航天器及其零件进口额,89章船舶及浮动结构体进口额,第十八类光学、照相、电影、计量、检验、医疗或外科用_仪器及设备、精密仪器及设备；钟表；乐器；上述物品的零件、附件进口额,90章光学、照相、电影、计量、检验、医疗或外科用仪_器及设备、精密仪器及设备；上述物品的零件、附件进口额,91章钟表及其零件进口额,92章乐器及其零件，附件进口额,第十九类武器、弹药及其零件、附件进口额,93章武器、弹药及其零件，附件进口额,第二十类杂项制品进口额,94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填_充制品；未列名灯具及照明装置；发光标志、发光名牌及类似品；活动房屋进口额,95章玩具、游戏品、运动用品及其零件、附件进口额,96章杂项制品进口额,第二十一类艺术品、收藏品及古物进口额,97章艺术品、收藏品及古物进口额,第二十二类特殊交易品及未分类商品进口额,98章特殊交易品及未分类商品进口额
2019,2078408.983196,41949.932378,497.696719,18832.475347,15414.354725,6349.59122,855.814367,61468.752252,269.969913,1566.462071,11665.067121,952.080719,5054.8867,1321.751082,40082.336265,412.483153,143.715228,9933.201512,9933.201512,26898.08308,394.313298,1603.258118,811.261695,7209.856236,1495.814469,3689.475177,5817.387073,3971.971529,1904.745485,520352.351309,8145.574671,164958.223211,347248.553427,154919.730018,10366.322755,57506.948923,33605.325868,3543.694164,5028.980493,16111.757686,4751.285131,3681.73123,113.296666,2710.477597,17499.909505,86960.142897,71593.75635,15366.386547,8666.626014,3660.015734,3986.223308,1020.386972,22041.162795,21982.012564,40.526846,18.623385,26690.980133,19055.987837,5272.058135,2362.934161,32176.370765,56.580924,3223.472562,9227.514463,1057.997443,2868.858425,2255.966065,1241.669405,119.776336,454.256827,1689.662749,1370.965185,3654.344108,4478.232745,477.073528,6101.86675,5635.887938,130.192213,15.670099,320.1165,10637.922455,1771.854025,1279.14137,7586.92706,60463.728547,60463.728547,96411.414989,23409.734687,9859.672764,40626.446365,5571.68211,5796.670399,369.685547,2092.022118,159.022706,3112.541869,3508.786389,1905.150035,687820.389046,190400.422278,497419.966768,97391.366895,715.240028,75137.221974,19332.821303,2206.08359,103351.756113,98708.866323,4114.413492,528.476298,10.250449,10.250449,8410.684513,3522.346682,2527.927039,2360.410792,840.516965,840.516965,14911.752925,14911.752925
2018,2135734.0,29360.035,411.71,11018.385,11599.018,5601.287,729.635,62454.703,292.744,2037.929,8682.012,633.85,5793.591,1178.936,43379.521,313.727,142.393,8608.587,8608.587,25924.737,394.333,1421.41,787.907,6665.804,1401.763,3256.096,6434.464,3804.178,1758.782,493260.077,8024.739,135868.187,349367.15,155552.061,10835.892,67304.605,27931.121,2731.899,5036.286,12383.03,4914.417,3600.474,139.938,2603.47,18070.929,91795.702,74885.267,16910.435,9131.255,4778.566,3314.303,1038.386,24991.235,24919.349,56.107,15.78,32287.482,24010.356,6203.231,2073.896,34137.799,53.31,4197.662,9889.821,916.946,3153.497,2477.356,1325.885,136.619,512.879,1809.507,1638.452,3380.713,4158.572,486.579,5024.752,4660.965,99.585,33.285,230.916,10849.415,1842.697,1222.357,7784.361,78020.099,78020.099,106523.736,22369.895,10760.593,47536.738,5486.754,6643.371,401.899,2573.363,178.854,4780.278,3851.791,1940.201,723809.92,202192.315,521617.605,114910.676,792.959,81519.615,30541.059,2057.043,106905.01,102626.058,3790.747,488.204,8.203,8.203,8669.314,3968.843,2108.906,2591.564,173.437,173.437,13335.649,13335.649
2017,1843793.0,23604.628,363.839,9486.551,8070.777,5069.954,613.506,61480.573,280.863,2015.745,6395.218,472.246,6400.876,970.485,44514.236,255.907,174.995,8285.122,8285.122,21922.416,239.088,1407.716,659.89,5685.818,1093.175,2388.102,5288.405,3397.548,1762.675,382469.631,6367.474,126477.634,249624.522,132551.185,10433.675,55837.858,25364.914,2314.166,4652.152,7658.011,4460.519,3355.159,164.244,2372.879,15937.607,87683.218,68929.153,18754.065,9521.442,5648.927,2630.682,1241.833,23484.228,23421.966,47.687,14.575,27910.28,21214.007,4981.983,1714.291,31099.343,50.634,3632.013,8614.958,806.378,3009.221,2376.399,1298.862,132.835,521.086,1786.517,1690.963,2798.683,3874.681,506.115,3961.012,3650.84,79.622,11.988,218.563,9912.003,1669.703,1023.01,7219.291,65288.229,65288.229,95563.772,21475.574,10020.271,41284.906,4643.078,6618.07,265.146,2496.799,208.78,3098.41,3642.706,1810.033,627454.864,169532.408,457922.456,107267.778,762.788,79245.672,25493.484,1765.833,101199.424,97468.605,3327.458,403.361,7.073,7.073,8365.0,3700.689,2030.335,2633.976,76.64,76.64,14685.08,14685.08
2016,1587926.219,21613.594,394.452,10262.578,6917.637,3516.726,522.201,53889.651,226.363,1864.236,5864.967,666.895,5661.089,892.278,38295.395,214.138,204.289,7040.708,7040.708,19609.497,182.969,1460.104,685.521,4559.059,981.531,2164.101,4786.505,3062.038,1727.67,275689.703,4674.375,94479.438,176535.89,109790.766,9024.583,43905.78,20771.374,2407.917,4235.846,5506.877,3938.751,3088.114,178.187,2227.804,14505.533,74762.377,61048.503,13713.874,9188.657,5758.923,2202.477,1227.258,19681.315,19627.36,41.417,12.538,22818.691,17229.611,3947.371,1641.709,28396.341,57.158,3145.878,7743.516,795.159,2913.084,2039.6,1170.973,136.941,542.901,1721.413,1704.356,2388.621,3587.641,449.102,3355.627,3062.8,62.991,12.366,217.471,9184.317,1566.154,789.658,6828.504,79327.271,79327.271,78957.547,16918.311,9576.174,33258.729,4956.999,5946.234,52.808,1171.41,307.011,1804.134,3210.724,1755.013,560544.778,147659.933,412884.845,97333.636,1062.881,71506.0,22840.343,1924.412,96192.695,92688.922,3127.68,376.093,13.461,13.461,7517.784,3219.059,1910.039,2388.686,137.057,137.057,12880.746,12880.746
2015,1679564.497587,17447.9,549.431,6800.51,6328.008,3303.432,466.519,59689.616,217.333,2620.883,6017.137,397.477,9347.989,952.078,39712.699,227.367,196.653,7892.166,7892.166,20262.998,238.804,2080.252,872.751,3838.009,875.844,1785.814,4282.455,4425.568,1863.502,297791.095,5470.274,93720.072,198600.749,113048.463,9918.663,47757.644,19226.078,3926.818,4086.607,4509.56,3810.787,3040.094,148.115,2195.594,14428.505,79703.9,65550.972,14152.927,11116.103,7499.446,2112.31,1504.348,18709.261,18655.529,40.899,12.833,23758.924,18040.191,4046.062,1672.672,32367.904,59.659,3419.969,10254.128,858.822,3125.178,2602.764,1175.764,145.931,586.285,1800.269,1847.425,2309.125,3720.4,462.185,3087.656,2748.627,54.623,14.076,270.33,8815.193,1508.436,704.252,6602.505,96592.77,96592.77,87191.074,18152.468,10077.417,38146.913,5154.614,6929.554,46.865,1444.656,325.302,1785.133,3426.155,1701.997,585737.305,157042.985,428694.319,97933.29,1349.3,69628.668,25951.858,1003.464,103457.075,99636.208,3482.148,338.719,7.647,7.647,7459.281,3232.626,1878.036,2348.619,359.542,359.542,7135.333,7135.333
2014,1959235.0,20232.963,835.234,5844.331,6583.348,6490.639,479.41,61716.826,189.271,2579.931,5144.604,342.297,6174.89,963.921,45887.757,234.637,199.516,9118.711,9118.711,17125.559,248.949,1786.013,870.943,2814.458,765.862,1406.882,3159.323,3980.566,2092.563,457692.558,6243.944,134660.947,316787.667,126059.053,10384.983,60312.892,17752.095,3351.122,4460.916,3372.164,3953.108,3241.692,149.776,2273.232,16807.073,92560.918,75190.305,17370.613,11599.905,8260.979,2051.667,1287.259,22850.124,22797.546,41.16,11.418,23632.348,17413.803,4308.836,1909.708,36002.468,69.092,3384.212,12756.184,889.43,3527.135,3067.482,1310.779,164.037,670.628,2015.814,2039.465,2065.514,3559.322,483.373,2649.149,2293.381,51.943,22.031,281.794,9777.021,1668.111,778.195,7330.714,42333.152,42333.152,101567.683,21167.203,11787.462,47278.407,4097.085,8039.03,70.557,1639.344,428.722,1565.855,3558.848,1935.169,603697.208,179377.721,424319.488,120910.076,1644.07,89509.494,28438.496,1318.015,109685.445,105806.107,3561.232,318.107,6.073,6.073,7169.411,3373.789,2072.457,1723.166,524.116,524.116,82323.882,82323.882
2013,1949989.0,18099.356333,432.743045,5929.655818,5993.592804,5245.216234,498.14843199999996,55971.868185,173.378018,2549.351815,4100.715902,256.358722,5053.758663,802.303605,42626.754882,223.937643,185.308935,10822.944692,10822.944692,15898.336847999999,197.43635999999998,2363.616602,714.3850620000001,2583.89197,661.646262,1205.242969,3058.234316,3654.224037,1459.65927,469991.141568,5986.589923,148772.299941,315232.251704,125460.03235,9460.464717,65876.607482,15096.014504,3374.943102,4312.108245,2384.841702,3692.43147,3099.359069,121.281591,2321.811338,15720.16913,92288.84141,72390.445117,19898.396293,11147.150049000002,8025.6287,1917.130531,1204.390818,18818.486187,18768.808212,37.008495,12.66948,23576.654386,17305.500669,4372.83317,1898.320547,40415.703942,86.283481,3674.3763169999997,17229.073175,692.468375,3713.278762,3391.698173,1194.818157,152.67398300000002,734.1114590000001,1978.189246,2321.973412,1667.7139040000002,3148.793486,430.252012,2358.076036,1955.25808,44.944817,19.413124,338.460015,9601.684584,1452.560694,688.5387169999999,7460.585173,18339.649296,18339.649296,103667.26209199999,21335.561943999997,10429.877182,49828.688214,4524.5058930000005,8702.562163,83.539679,1671.741851,552.2061970000001,1541.434392,3210.031657,1787.1129199999998,609987.607115,170570.774484,439416.83263099997,100363.268571,999.3624540000001,74147.79937800001,23181.18915,2034.917589,111783.729729,107588.247069,3903.174128,292.308532,4.8855010000000005,4.8855010000000005,5886.547570000001,3063.718978,1351.289446,1471.5391459999998,770.753725,770.753725,104735.488097,104735.488097
2012,1818405.0,13795.002,499.523,4108.025,5489.359,3251.4,446.695,50981.904,136.593,2406.847,3808.433,306.327,4750.662,579.729,38596.147,203.308,193.857,13041.04,13041.04,14349.25,182.694,2543.314,623.936,1945.551,623.618,966.1,3102.418,3045.604,1316.016,453349.708,6346.644,133870.665,313132.399,118061.435,9772.7,60864.037,12993.951,4024.45,4166.296,2151.261,3410.14,2979.469,110.444,2278.593,15310.095,90072.426,69420.266,20652.16,9938.393,7125.633,1876.26,936.499,14997.826,14938.272,45.062,14.491,23385.702,17248.802,4600.238,1536.662,40867.676,95.45,3585.727,18680.691,603.239,3778.652,3383.454,1154.436,147.008,736.681,1934.408,2357.759,1344.884,2670.797,394.49,2163.226,1785.253,46.831,20.742,310.401,9268.838,1344.655,657.163,7267.02,13220.216,13220.216,111186.645,23280.072,10067.394,54495.531,4785.772,9598.225,114.672,1469.479,920.506,1483.283,3175.598,1796.113,563500.58,181980.392,381520.188,91175.998,1180.149,70598.283,17613.977,1783.59,110606.192,106154.171,4149.099,302.923,9.06,9.06,5576.642,2872.338,1418.26,1286.045,87.929,87.929,68769.316,68769.316
2011,1743484.0,12463.85426,376.624348,3411.600651,5589.197042,2657.855226,428.576993,40224.636768,128.733662,1823.631443,3037.005533,232.166015,2015.943093,540.943519,32043.978684,158.386955,243.847864,11540.152947,11540.152947,12797.001546,180.143422,2132.098075,604.971785,1624.484501,592.501184,866.082726,2556.463322,3102.292316,1137.964215,432249.13952100003,5794.548104,150640.48884,275814.10257700004,117962.34872,10930.845838,63131.457099,10347.319284,3449.555245,4539.677908,1938.2034,3290.808113,2667.9214810000003,91.45063400000001,2166.979492,15408.130226,93258.552444,70196.942706,23061.609738000003,9356.523916999999,6845.412224,1687.122837,823.988856,15917.851529,15858.668948,47.681156,11.501425,25374.632207,18907.460702,5054.948768,1412.222737,37587.823723,112.136554,3840.637478,14730.04615,761.017111,4062.863354,3598.568637,1189.263689,137.000014,732.435698,1994.379102,2446.827487,1187.1532479999998,2384.859201,410.636,1918.916338,1553.629006,35.724843,9.617312,319.945177,8354.323815,1344.317536,743.134565,6266.871714,14911.511347,14911.511347,118836.267273,28379.220035,10225.17755,54241.661433,7373.896599,9772.498345,138.304559,1276.502647,846.737258,1509.416222,3255.091892,1817.760733,550246.14301,199295.140653,350951.002357,83029.87628200001,1982.595207,65465.014489,13542.010879,2040.255707,102673.635356,99138.01418299999,3263.77076,271.850413,7.947559,7.947559,5231.81005,2780.393568,1436.2534839999998,1015.162998,42.160556,42.160556,49498.448835,49498.448835
2010,1396247.0,9278.067865,269.224413,2225.002746,4365.945457,1999.750478,418.144771,33245.732266,103.97903,1515.544256,2139.505868,150.06035500000002,1501.285748,451.39616600000005,27062.026814,120.600602,201.333427,8884.025291,8884.025291,9607.669786,100.19353,1036.574048,437.169902,1221.483621,462.065734,679.483073,1645.746227,3234.24789,790.705761,303027.614761,4509.353318,109510.283914,189007.977529,93206.70032799999,9965.111599,48261.367281000006,7235.84818,2571.769137,4428.017853,1502.136334,2778.137479,2200.066311,74.138251,1929.457813,12260.65009,80630.033473,63704.181287,16925.852186,7699.050715,5939.552094,1122.980009,636.518612,11288.925338,11235.972618,43.605696,9.347024,20064.666069,14180.674954,4611.83804,1272.153075,29579.763314,124.442848,2827.5283539999996,10621.053265,559.671629,3784.356632,3018.558902,1126.73109,130.347508,694.223061,1847.004609,2345.513276,818.221757,1420.040063,262.07032,1369.919384,1116.832523,29.141141,6.164562,217.781158,6523.285192,1065.326836,586.178889,4871.779467,10846.503888,10846.503888,103093.410001,25327.128382,9151.120919,46210.564561,5910.364919,8795.723227,133.87390100000002,1217.9497760000002,553.698964,1494.850923,2764.276906,1533.857523,486471.74233,172156.841104,314314.901226,65595.359566,2021.044453,49505.010406,12391.037629,1678.267078,92336.34451800001,89919.699154,2187.6245299999996,229.020834,3.009708,3.009708,5033.125741000001,3060.483508,1023.362833,949.2794,25.766912,25.766912,18433.289261,18433.289261
