年份,法人单位数,农、林、牧、渔业法人单位数,采矿业法人单位数,制造业法人单位数,电力、燃气及水的生产和供应业法人单位数,建筑业法人单位数,交通运输、仓储和邮政业法人单位数,信息传输、计算机服务和软件业法人单位数,批发和零售业法人单位数,住宿和餐饮业法人单位数,金融业法人单位数,房地产业法人单位数,租赁和商务服务业法人单位数,科学研究、技术服务和地质勘查业法人单位数,水利、环境和公共设施管理业法人单位数,居民服务和其他服务业法人单位数,教育业法人单位数,卫生、社会保障和社会福利业法人单位数,文化、体育和娱乐业法人单位数,公共管理和社会组织法人单位数,国际组织业法人单位数
2019,25280211.0,1879887,70983,3463346,113649,1458539,629631,1047408,7155907,449277,131744,811663,2825375,1390741,172856,522903,698893,279155,585224,1593030,
2018,21787273.0,232818,70191,3269606,110714,1218463,577233,919879,6499161,431323,137934,744924,2551306,1275579,148860,497292,665883,272504,566593,1597010,
2017,22009092.0,1926771,108900,3483617,120736,1045232,540994,719150,6252424,378974,135068,642893,2242096,1035170,146295,420667,517739,286858,414973,1590535,
2016,18191382.0,1481473,104074,3019269,99469,754512,443325,507674,5041698,317619,122516,533557,1768005,813251,122367,359932,486026,275554,341182,1599879,
2015,15729199.0,1204724,103426,2801143,87486,574128,378705,387842,4199026,274283,109711,466100,1440572,661022,108069,298958,461451,271571,297274,1603708,
2014,13701440.0,951045,101673,2616671,79679,464975,323044,289162,3513338,235337,91583,419618,1161947,544309,97522,242251,444038,265537,263384,1596327,
2013,10825611.0,161824,89112,2252225,70409,347519,262048,226107,2810531,199592,,343924,916953,455778,84803,190692,413908,249567,230544,1520075,
2012,10616530.0,440853,107596,2380759,69947,391392,249832,245669,2630690,186837,67554,356717,813851,324932,75981,196880,355072,206885,121126,1393957,
2011,9593729.0,321086,105490,2240315,66652,346026,219630,208867,2276295,172070,55513,323985,687575,283777,69186,175813,346390,205173,102775,1387111,
2010,8754588.0,242429,104065,2098370,64151,302232,195829,191182,1965118,164762,45512,284726,590478,256865,64794,158152,342408,205778,95633,1382104,
2009,8003868.0,184764,103403,1959254,62038,261694,175914,176326,1670315,154895,36907,244043,511666,233221,61740,141936,342003,209016,90891,1383842,
2008,7098765.0,2023,97315,1818370,57923,226768,157589,153290,1403141,145297,28668,214391,427001,201689,57553,120467,335065,206480,81878,1363857,
2007,6495064.0,98546,97678,1702455,49052,190517,117228,115101,1246042,118173,31815,187444,368763,176677,50953,110525,312339,187376,76430,1257950,
2006,6068912.0,78205,93967,1579406,45922,170180,104635,100614,1122489,109892,29201,165865,331904,166240,48811,102228,308760,185014,72873,1252706,
2005,5647823.0,68800,89430,1451556,43148,149471,91565,85499,994953,101853,26828,148059,291498,153076,46847,93947,305446,183760,69490,1252597,
2004,5323235.0,156033,82357,1328971,39832,128196,80570,72917,883654,92874,23793,129198,249196,136569,44352,83607,299584,181989,64750,1244793,
2003,5214144.0,156033,72538,1298870,33570,132059,85991,58307,840241,103537,64802,98943,219567,110685,47847,64391,304056,198879,77717,1243967,2144.0
2002,5170849.0,170953,70851,1239549,37136,129062,83489,59368,829029,102244,64806,96795,242109,78356,51426,96244,308320,200761,57891,1250166,2294.0
2001,5107015.0,171526,71409,1220587,36982,123187,82162,57420,807454,100768,63996,92417,234265,75666,51007,94655,307817,200360,57410,1254546,3381.0
2000,4366141.0,142140,90484,1243607,30841,118240,59711,25425,693108,83014,70228,48363,107229,45003,30189,54366,218304,114388,41060,1146645,3796.0
