年份,沿海主要港口码头泊位数,大连港口泊位数,营口港口泊位数,秦皇岛港口泊位数,天津港口泊位数,烟台港口泊位数,青岛港口泊位数,日照港口泊位数,上海港口泊位数,连云港港口泊位数,宁波—舟山港口泊位数,汕头港口泊位数,广州港口泊位数,湛江港口泊位数,海口港口泊位数,八所港口泊位数,港口生产用泊位数,大连港口生产用泊位数,营口港口生产用泊位数,秦皇岛港口生产用泊位数,天津港口生产用泊位数,烟台港口生产用泊位数,青岛港口生产用泊位数,日照港口生产用泊位数,上海港口生产用泊位数,连云港港口生产用泊位数,宁波—舟山港口生产用泊位数,汕头港口生产用泊位数,广州港口生产用泊位数,湛江港口生产用泊位数,海口港口生产用泊位数,八所港口生产用泊位数,港口非生产用泊位数,大连港口非生产用泊位数,营口港口非生产用泊位数,秦皇岛港口非生产用泊位数,天津港口非生产用泊位数,烟台港口非生产用泊位数,青岛港口非生产用泊位数,日照港口非生产用泊位数,上海港口非生产用泊位数,连云港港口非生产用泊位数,宁波—舟山港口非生产用泊位数,汕头港口非生产用泊位数,广州港口非生产用泊位数,湛江港口非生产用泊位数,海口港口非生产用泊位数,八所港口非生产用泊位数
2019,6426,248,93,92,189,213,123,83,1032,73,718,91,558,132,70,12,5562,223,86,72,144,203,117,82,560,71,627,86,490,119,69,12,864,25,7,20,45,10,6,1,472,2,91,5,68,13,1,
2018,6150,248,93,92,167,207,128,75,1054,73,707,91,556,132,70,12,5302,223,86,72,145,197,122,74,573,71,619,86,488,119,69,12,848,25,7,20,22,10,6,1,481,2,88,5,68,13,1,
2017,6209,248,93,92,160,205,127,74,1078,67,701,92,553,132,69,12,5324,223,86,72,145,195,121,73,563,65,613,87,485,119,68,12,885,25,7,20,15,10,6,1,515,2,88,5,68,13,1,
2016,6096,247,93,92,176,104,100,59,1152,66,697,92,553,175,61,12,5152,222,86,72,160,94,94,58,592,64,606,87,485,144,60,12,944,25,7,20,16,10,6,1,560,2,91,5,68,31,1,
2015,6115,247,90,92,173,98,97,54,1238,64,703,92,561,174,52,11,5132,222,83,72,157,88,91,53,609,62,624,87,514,143,51,10,983,25,7,20,16,10,6,1,629,2,79,5,47,31,1,1.0
2014,5923,240,87,92,162,98,90,52,1220,62,687,92,556,177,52,13,4970,215,80,72,151,88,84,51,608,60,615,87,510,146,51,12,953,25,7,20,11,10,6,1,612,2,72,5,46,31,1,1.0
2013,5761,237,83,86,160,98,88,51,1191,53,683,92,545,177,32,13,4841,212,76,66,149,88,82,50,608,51,613,87,498,146,31,12,920,25,7,20,11,10,6,1,583,2,70,5,47,31,1,1.0
2012,5715,231,82,86,159,95,85,53,1183,58,665,91,540,184,37,11,4811,206,75,66,148,85,79,52,612,56,601,86,493,153,36,10,904,25,7,20,11,10,6,1,571,2,64,5,47,31,1,1.0
2011,5612,223,76,86,154,92,81,49,1164,55,687,91,533,184,53,11,4733,198,69,66,143,82,75,48,606,53,625,86,487,153,52,10,879,25,7,20,11,10,6,1,558,2,62,5,46,31,1,1.0
2010,5529,225,68,86,151,85,81,48,1160,55,710,91,515,184,53,11,4661,200,63,66,140,75,75,47,602,53,650,86,473,153,52,10,868,25,5,20,11,10,6,1,558,2,60,5,42,31,1,1.0
2009,5372,221,55,86,134,88,79,44,1145,55,689,86,509,178,42,10,4516,196,50,66,124,74,73,44,614,53,628,82,467,148,41,9,856,25,5,20,10,14,6,,531,2,61,4,42,30,1,1.0
2008,4914,222,54,75,139,85,69,37,1141,37,667,86,503,99,34,10,4001,198,49,54,128,71,63,37,604,33,607,82,461,82,34,9,913,24,5,21,11,14,6,,537,4,60,4,42,17,,1.0
2007,3970,226,48,80,142,82,67,36,174,42,734,85,634,85,32,10,3453,194,43,52,129,70,59,36,121,37,703,82,475,71,32,10,517,32,5,28,13,12,8,,53,5,31,3,159,14,,
2006,3804,222,41,73,132,53,60,31,175,40,341,88,631,85,32,8,3291,191,36,52,119,46,54,31,121,35,304,82,474,71,32,8,513,31,5,21,13,7,6,,54,5,37,6,157,14,,
2005,3641,223,31,62,116,43,59,35,183,37,334,88,617,85,31,8,3110,192,26,41,100,40,52,28,121,32,297,82,455,71,31,8,531,31,5,21,16,3,7,7,62,5,37,6,162,14,,
2004,2849,223,31,57,114,37,55,37,197,37,79,91,133,80,15,8,2438,192,28,36,98,34,49,30,117,32,49,85,103,69,15,8,411,31,3,21,16,3,6,7,80,5,30,6,30,11,,
2003,2562,206,30,52,76,37,54,34,215,36,76,88,122,43,15,8,2238,175,27,31,68,34,47,27,137,31,46,82,92,32,15,8,324,31,3,21,8,3,7,7,78,5,30,6,30,11,,
2002,1790,102,32,49,76,35,49,26,222,34,63,66,135,43,15,8,1473,74,29,29,68,33,43,19,131,30,38,60,105,32,15,8,317,28,3,20,8,2,6,7,91,4,25,6,30,11,,
2001,1772,101,30,49,74,35,49,25,228,34,66,66,130,41,15,8,1443,73,27,29,66,33,43,18,133,30,40,60,99,31,15,8,329,28,3,20,8,2,6,7,95,4,26,6,31,10,,
2000,1772,100,30,49,73,31,49,25,225,34,69,28,141,41,15,8,1454,73,27,29,64,29,46,18,134,30,45,23,110,31,15,8,318,27,3,20,9,2,3,7,91,4,24,5,31,10,,
