年份,港口码头长度,大连港口码头长度,营口港口码头长度,秦皇岛港口码头长度,天津港口码头长度,烟台港口码头长度,青岛港口码头长度,日照港口码头长度,上海港口码头长度,连云港港口码头长度,宁波—舟山港口码头长度,汕头港口码头长度,广州港口码头长度,湛江港口码头长度,海口港口码头长度,八所港口码头长度,港口生产用码头长度,大连港口生产用码头长度,营口港口生产用码头长度,秦皇岛港口生产用码头长度,天津港口生产用码头长度,烟台港口生产用码头长度,青岛港口生产用码头长度,日照港口生产用码头长度,上海港口生产用码头长度,连云港港口生产用码头长度,宁波—舟山港口生产用码头长度,汕头港口生产用码头长度,广州港口生产用码头长度,湛江港口生产用码头长度,海口港口生产用码头长度,八所港口生产用码头长度,港口非生产用码头长度,大连港口非生产用码头长度,营口港口非生产用码头长度,秦皇岛港口非生产用码头长度,天津港口非生产用码头长度,烟台港口非生产用码头长度,青岛港口非生产用码头长度,日照港口非生产用码头长度,上海港口非生产用码头长度,连云港港口非生产用码头长度,宁波—舟山港口非生产用码头长度,汕头港口非生产用码头长度,广州港口非生产用码头长度,湛江港口非生产用码头长度,海口港口非生产用码头长度,八所港口非生产用码头长度
2019,932185,44978,19709,17161,40620,36588,30489,21968,107037,16634,100152,10223,56055,17388,9867,2488,869884,41101,18975,15928,37157,35458,29368,21662,75818,16337,95772,9952,51233,16353,9676,2488,62301,3877,734,1233,3463,1130,1121,306,31219,297,4380,271,4822,1035,191,
2018,876523,44978,19709,17161,39509,34604,30429,19203,107234,16634,96840,10223,55285,17388,9867,2488,814337,41101,18975,15928,36783,33474,29308,18897,75410,16337,92503,9952,50463,16353,9676,2488,62186,3877,734,1233,2726,1130,1121,306,31824,297,4337,271,4822,1035,191,
2017,864459,44978,19709,17161,37634,33680,29939,18785,106079,15867,94452,9898,54508,17388,9576,2488,800000,41101,18975,15928,35478,32550,28818,18479,72473,15570,89667,9627,49686,16353,9385,2488,64459,3877,734,1233,2156,1130,1121,306,33606,297,4785,271,4822,1035,191,
2016,827193,44642,19709,17161,39389,20624,26762,15440,109222,15817,91029,9898,54508,18494,8408,2488,761463,40765,18975,15928,37133,19494,25641,15134,74066,15520,86089,9627,49686,16793,8217,2488,65730,3877,734,1233,2256,1130,1121,306,35156,297,4940,271,4822,1701,191,
2015,815428,43956,18966,17161,38729,19041,25626,13989,126921,15608,86789,9898,51722,18419,7049,2223,735027,40079,18232,15928,36473,17911,24608,13683,75161,15311,82989,9627,47746,16718,6858,2053,80401,3877,734,1233,2256,1130,1018,306,51760,297,3800,271,3976,1701,191,170.0
2014,778579,42607,18166,17246,35954,19041,22714,13504,126044,14653,83313,9898,50654,17243,7049,2324,701232,38730,17432,15928,34606,17911,21696,13198,75091,14356,80125,9627,46958,15542,6858,2154,77347,3877,734,1318,1348,1130,1018,306,50953,297,3188,271,3696,1701,191,170.0
2013,744469,42026,17097,16068,35756,19041,21962,13013,123988,12012,81269,9898,49273,17243,4563,2324,669379,38149,16363,14750,34408,17911,20944,12707,74487,11715,78371,9627,45477,15542,4372,2154,75090,3877,734,1318,1348,1130,1018,306,49501,297,2898,271,3796,1701,191,170.0
2012,721159,40749,16898,16068,33978,18150,21962,13291,122859,11533,78413,9715,49051,17458,5075,1924,647541,36872,16164,14750,32630,17020,20944,12985,74459,11236,75735,9444,45255,15757,4884,1754,73618,3877,734,1318,1348,1130,1018,306,48400,297,2678,271,3796,1701,191,170.0
2011,688779,37855,15465,16068,32714,17270,20518,12295,119704,10455,76141,9715,47834,17458,5838,1924,617746,33978,14731,14750,31366,16140,19500,11989,72742,10158,73755,9444,44398,15757,5647,1754,71033,3877,734,1318,1348,1130,1018,306,46962,297,2386,271,3436,1701,191,170.0
2010,665168,37563,13533,16068,31915,15296,20518,11931,119248,10455,73914,9715,45122,17458,5838,1924,595483,33686,13244,14750,30567,14166,19500,11625,72537,10158,71668,9444,42001,15757,5647,1754,69685,3877,289,1318,1348,1130,1018,306,46711,297,2246,271,3121,1701,191,170.0
