省份编码,省份,年份,批发业法人企业单位数(个),批发业年末从业人数(人),批发业商品购进总额(亿元),批发业进口额(亿元),批发业商品销售总额(亿元),批发业出口额(亿元),批发业商品库存总额(亿元)
110000,北京市,2019,7419,456193,58719.2224,10463.6003,62513.4726,1874.9555,5654.7794
110000,北京市,2018,5123,423972,53564.9,9537.2,57275.0,2230.3,4944.0
110000,北京市,2017,4469,399967,49417.7241,8969.2353,52999.8758,2417.9698,4722.2995
110000,北京市,2016,4106,369002,42653.5872,7773.5695,45512.1991,2260.6521,4785.579
110000,北京市,2015,4282,380171,40427.7843,7278.5015,43084.7701,2278.4002,4913.4461
110000,北京市,2014,5791,411714,48485.5047,8991.381,50746.7958,2637.7197,4642.2418
110000,北京市,2013,4976,375008,46784.19249,8251.61427,49276.95644,2222.24629,4078.27447
110000,北京市,2012,5384,369409,42435.9,8065.6,45390.5,1797.4,4131.6
110000,北京市,2011,5811,356063,36466.7,7222.5,39261.9,1548.2,3690.6
110000,北京市,2010,5916,297893,29629.8,5733.7,31901.2,1268.9,3197.5
110000,北京市,2009,5907,272530,20868.2,3651.0,22558.0,1072.2,2383.5
110000,北京市,2008,5312,243025,20972.5,,22278.5,,2324.0
110000,北京市,2007,3493,196565,,,,,
110000,北京市,2006,2941,151824,,,,,
110000,北京市,2005,2768,146426,,,,,
110000,北京市,2004,2900,132634,,,,,
110000,北京市,2003,997,80989,,,,,
110000,北京市,2002,997,76610,,,,,
110000,北京市,2001,1046,79891,,,,,
110000,北京市,2000,1059,96488,,,,,
120000,天津市,2019,5429,178490,26951.839,1185.5121,28499.0635,563.6038,1482.676
120000,天津市,2018,4083,155399,24912.7,1459.4,25976.3,596.3,1543.4
120000,天津市,2017,3806,108335,26760.0106,1488.6689,27911.6405,496.0906,1459.1339
120000,天津市,2016,4135,130429,29881.713,1589.3541,31904.7722,561.9215,1367.1188
120000,天津市,2015,3986,120150,28396.3326,1732.7994,30303.5195,739.4365,1115.8519
120000,天津市,2014,4040,115557,28240.1203,1684.3334,29929.6794,557.7716,1335.8111
120000,天津市,2013,4072,108368,24925.48769,1315.21422,26271.53305,532.3647,1047.39828
120000,天津市,2012,3519,98187,20068.6,1310.6,21048.4,562.2,882.9
120000,天津市,2011,3353,84888,16224.5,894.1,16944.0,411.6,770.8
120000,天津市,2010,3033,77171,11062.5,474.4,12150.7,296.1,520.9
120000,天津市,2009,2639,75831,7973.6,323.3,8599.5,232.0,487.2
120000,天津市,2008,2770,76746,8191.3,,8957.2,,378.0
120000,天津市,2007,1455,52993,,,,,
120000,天津市,2006,1345,48965,,,,,
120000,天津市,2005,1231,56896,,,,,
120000,天津市,2004,1470,55366,,,,,
120000,天津市,2003,559,38691,,,,,
120000,天津市,2002,507,39888,,,,,
120000,天津市,2001,507,47280,,,,,
120000,天津市,2000,337,38911,,,,,
130000,河北省,2019,2035,98632,8667.0945,130.7777,9820.1577,154.5848,424.7984
130000,河北省,2018,1566,94653,6151.2,85.3,7186.1,104.8,348.3
130000,河北省,2017,1573,101494,6471.1206,90.5694,7211.3686,101.9461,323.9177
130000,河北省,2016,1541,103766,6570.5298,117.3421,7064.4868,82.6821,367.7874
130000,河北省,2015,1558,107763,6289.4245,93.9125,6781.7427,77.4627,296.4347
130000,河北省,2014,1712,125770,7828.549,94.2372,8527.5471,101.4916,368.3267
130000,河北省,2013,1572,126869,7663.47569,73.71472,8456.96899,85.8967,331.62229
130000,河北省,2012,1327,124282,6690.3,89.6,7223.4,75.3,302.4
130000,河北省,2011,1260,120815,5774.9,97.0,6321.8,72.9,257.1
130000,河北省,2010,1066,93676,3560.4,61.8,4117.6,56.6,264.5
130000,河北省,2009,805,82140,2277.5,35.3,2730.6,52.2,151.0
130000,河北省,2008,1006,84163,2690.4,,3165.2,,165.4
130000,河北省,2007,485,70603,,,,,
130000,河北省,2006,517,75609,,,,,
130000,河北省,2005,516,72719,,,,,
130000,河北省,2004,527,74408,,,,,
130000,河北省,2003,576,76292,,,,,
130000,河北省,2002,624,80825,,,,,
130000,河北省,2001,647,84362,,,,,
130000,河北省,2000,638,93499,,,,,
140000,山西省,2019,1430,83920,9274.1145,73.1905,9925.8189,12.9335,334.4432
140000,山西省,2018,1122,76681,7923.1,37.9,8837.3,53.6,313.2
140000,山西省,2017,962,67943,6771.1967,22.9357,7342.346,47.7794,265.0836
140000,山西省,2016,898,84755,6532.5852,26.6009,6984.1589,8.0385,240.0225
140000,山西省,2015,939,81485,7761.2778,35.418,8090.3118,14.4522,255.1432
140000,山西省,2014,1092,98021,9116.0579,76.4516,9764.0865,52.3283,297.5127
140000,山西省,2013,1103,105547,9431.53757,347.91408,9870.96022,54.21206,354.85992
140000,山西省,2012,1092,98201,8456.5,365.7,8895.1,99.5,275.6
140000,山西省,2011,911,83353,5606.6,50.3,6100.9,32.2,363.0
140000,山西省,2010,810,98050,3225.7,258.5,4298.0,20.3,213.0
140000,山西省,2009,668,94393,2347.4,164.0,2705.0,55.0,141.6
140000,山西省,2008,703,83814,2517.0,,3004.6,,227.3
140000,山西省,2007,494,81197,,,,,
140000,山西省,2006,450,73142,,,,,
140000,山西省,2005,472,82707,,,,,
140000,山西省,2004,584,87674,,,,,
140000,山西省,2003,312,46736,,,,,
140000,山西省,2002,306,46420,,,,,
140000,山西省,2001,301,58982,,,,,
140000,山西省,2000,319,50787,,,,,
150000,内蒙古自治区,2019,969,38091,3472.5401,284.4029,3946.4045,113.1871,322.5015
150000,内蒙古自治区,2018,784,35792,2996.2,200.2,3676.9,84.6,309.3
150000,内蒙古自治区,2017,640,31357,2480.7628,191.1298,2848.5857,49.5172,426.3334
150000,内蒙古自治区,2016,697,35232,2178.3761,60.6081,2373.5902,15.5781,439.8742
150000,内蒙古自治区,2015,692,37748,1984.6845,66.6802,2293.7615,6.2476,333.5375
150000,内蒙古自治区,2014,739,36975,2424.9452,108.5537,2739.1815,59.1844,267.2132
150000,内蒙古自治区,2013,709,38233,2651.16311,136.67121,2909.65371,60.91717,245.13734
150000,内蒙古自治区,2012,677,40851,2216.7,145.8,2462.0,72.7,236.1
150000,内蒙古自治区,2011,663,39289,1962.7,113.1,2070.3,42.2,243.5
150000,内蒙古自治区,2010,525,48398,1839.9,116.9,1953.4,10.6,108.4
150000,内蒙古自治区,2009,461,42829,1321.0,115.6,1487.6,28.0,98.0
150000,内蒙古自治区,2008,489,42924,1362.4,,1550.2,,117.3
150000,内蒙古自治区,2007,278,33123,,,,,
150000,内蒙古自治区,2006,289,33507,,,,,
150000,内蒙古自治区,2005,308,29464,,,,,
150000,内蒙古自治区,2004,335,24198,,,,,
150000,内蒙古自治区,2003,177,21850,,,,,
150000,内蒙古自治区,2002,180,17939,,,,,
150000,内蒙古自治区,2001,180,17137,,,,,
150000,内蒙古自治区,2000,203,20525,,,,,
210000,辽宁省,2019,3097,88878,13005.06,727.3268,13937.0862,224.276,642.1073
210000,辽宁省,2018,2632,84574,14159.7,387.4,15377.6,276.5,698.1
210000,辽宁省,2017,2412,82901,12519.7572,129.5306,13370.2954,216.4985,655.6333
210000,辽宁省,2016,2479,92388,9736.3148,207.6733,10277.2722,282.4911,523.0189
210000,辽宁省,2015,2970,124740,10127.6423,299.4023,10962.8785,274.0083,473.1723
210000,辽宁省,2014,3376,130668,12395.6546,464.9478,13201.6763,319.4262,579.0201
210000,辽宁省,2013,3498,130013,11553.9668,440.45953,12769.67709,413.29746,597.2591
210000,辽宁省,2012,3321,100245,11126.2,373.8,11957.7,258.8,629.0
210000,辽宁省,2011,2897,93292,11519.8,419.6,12261.7,261.7,506.1
210000,辽宁省,2010,2352,92162,7769.5,377.7,8297.3,205.5,429.7
210000,辽宁省,2009,2058,80394,5828.5,271.8,6428.7,191.2,343.4
210000,辽宁省,2008,2835,93109,6271.5,,7310.5,,363.5
210000,辽宁省,2007,1123,58134,,,,,
210000,辽宁省,2006,1138,61550,,,,,
210000,辽宁省,2005,1280,76426,,,,,
210000,辽宁省,2004,1547,74081,,,,,
210000,辽宁省,2003,607,57921,,,,,
210000,辽宁省,2002,655,77542,,,,,
210000,辽宁省,2001,667,83813,,,,,
210000,辽宁省,2000,688,101952,,,,,
220000,吉林省,2019,879,42149,2125.4663,18.4481,2361.4878,10.8099,287.7556
220000,吉林省,2018,797,38029,1923.8,8.7,2015.9,4.9,300.8
220000,吉林省,2017,823,42251,1951.235,33.8832,2020.9525,13.8339,362.1611
220000,吉林省,2016,724,38708,1961.9658,29.2175,1844.7901,19.1605,471.5854
220000,吉林省,2015,523,33870,1631.5282,49.5642,1692.7559,13.7036,365.1302
220000,吉林省,2014,437,32228,1847.0447,52.1159,1907.4974,11.5985,319.4287
220000,吉林省,2013,427,31412,1972.06894,98.84193,2054.45558,13.93298,200.98191
220000,吉林省,2012,439,30806,1851.6,87.3,1960.6,12.9,148.1
220000,吉林省,2011,385,26380,1455.9,82.8,1613.6,12.7,92.0
220000,吉林省,2010,346,43275,1321.3,43.8,1475.2,13.5,137.6
220000,吉林省,2009,293,40397,941.3,18.1,1049.4,12.1,94.2
220000,吉林省,2008,344,39646,2245.6,,2543.5,,131.2
220000,吉林省,2007,281,27925,,,,,
220000,吉林省,2006,272,26730,,,,,
220000,吉林省,2005,326,29028,,,,,
220000,吉林省,2004,438,71803,,,,,
220000,吉林省,2003,156,37362,,,,,
220000,吉林省,2002,217,42367,,,,,
220000,吉林省,2001,230,51336,,,,,
220000,吉林省,2000,266,51422,,,,,
230000,黑龙江省,2019,754,43607,3819.7242,1079.6193,4173.75,33.9905,444.0772
230000,黑龙江省,2018,568,36484,3141.3,1043.4,3435.9,14.4,276.2
230000,黑龙江省,2017,573,38726,2665.7258,532.4578,3012.8137,60.1698,413.5011
230000,黑龙江省,2016,727,44058,2841.8612,414.3473,3202.522,27.6701,367.1504
230000,黑龙江省,2015,737,44006,2800.713,540.5353,3158.2172,71.5096,338.2076
230000,黑龙江省,2014,825,47571,3476.6875,893.7798,3868.8539,155.1848,374.859
230000,黑龙江省,2013,842,48641,3725.48247,917.0237,4196.30246,175.85966,337.12811
230000,黑龙江省,2012,813,48296,3512.3,906.4,3738.8,162.5,318.7
230000,黑龙江省,2011,716,48112,3114.0,928.6,3324.2,116.5,260.7
230000,黑龙江省,2010,683,51937,1804.3,162.4,2121.4,181.1,205.6
230000,黑龙江省,2009,737,49405,1771.7,265.5,2028.3,250.8,156.7
230000,黑龙江省,2008,773,56765,1601.9,,1755.4,,151.9
230000,黑龙江省,2007,428,42205,,,,,
230000,黑龙江省,2006,435,43639,,,,,
230000,黑龙江省,2005,473,51765,,,,,
230000,黑龙江省,2004,546,60699,,,,,
230000,黑龙江省,2003,285,46713,,,,,
230000,黑龙江省,2002,289,44377,,,,,
230000,黑龙江省,2001,272,40511,,,,,
230000,黑龙江省,2000,365,72525,,,,,
310000,上海市,2019,8824,613346,101654.789,13004.1164,110931.319,4407.1094,5824.7519
310000,上海市,2018,5159,506410,83679.8,12621.6,92361.8,4454.7,5809.0
310000,上海市,2017,4567,466284,79626.0464,13098.4406,87903.0166,3958.9711,4901.7385
310000,上海市,2016,3814,441969,62472.6118,10562.1765,68936.7063,3339.4646,3711.0043
310000,上海市,2015,3853,450960,57524.3291,9421.353,64030.994,3149.9788,3281.7217
310000,上海市,2014,4094,457962,60482.775,8893.97,65891.8969,2578.8152,3934.6489
310000,上海市,2013,5717,450461,45455.13698,8270.25705,52343.35448,3040.94468,3100.84561
310000,上海市,2012,5076,384803,37387.6,7156.7,42533.5,2997.4,2427.7
310000,上海市,2011,5521,373258,36931.4,6426.0,40005.0,2765.8,2386.6
310000,上海市,2010,4144,271171,25574.7,4046.8,27755.5,2248.3,1780.0
310000,上海市,2009,4041,242863,18553.2,2741.0,20170.8,1752.7,1319.6
310000,上海市,2008,6866,317565,22220.0,,26209.3,,1808.2
310000,上海市,2007,2364,179783,,,,,
310000,上海市,2006,2620,181657,,,,,
310000,上海市,2005,1803,165542,,,,,
310000,上海市,2004,2392,184178,,,,,
310000,上海市,2003,758,99628,,,,,
310000,上海市,2002,763,105981,,,,,
310000,上海市,2001,505,76819,,,,,
310000,上海市,2000,445,132767,,,,,
320000,江苏省,2019,16110,486470,58224.4509,3530.4782,61334.3069,3945.3815,3104.2464
320000,江苏省,2018,13717,459142,51268.6,2832.3,55428.7,3474.3,2480.6
320000,江苏省,2017,11193,414877,40834.1349,1432.6183,43334.0598,2477.7475,3720.8749
320000,江苏省,2016,10852,397306,32907.068,846.8145,35212.9275,2079.1979,1874.7601
320000,江苏省,2015,10753,408535,30242.255,1077.0088,31209.7529,2103.4878,1636.1528
320000,江苏省,2014,11388,419826,31905.5367,1940.3045,35029.7802,2201.0612,1758.2314
320000,江苏省,2013,13050,455901,33393.48143,1944.78474,36180.9378,2505.39387,1705.42966
320000,江苏省,2012,7871,340723,25690.3,1526.0,27709.4,2124.3,1463.6
320000,江苏省,2011,7399,320993,24019.2,1405.3,26945.9,1977.8,1310.3
320000,江苏省,2010,7968,304112,19772.3,1023.0,21892.9,1654.4,1154.3
320000,江苏省,2009,7005,296144,13460.5,791.3,15364.8,1359.9,837.3
320000,江苏省,2008,8094,284866,14979.3,,16853.4,,800.1
320000,江苏省,2007,1861,167793,,,,,
320000,江苏省,2006,1801,154960,,,,,
320000,江苏省,2005,1202,125361,,,,,
320000,江苏省,2004,1624,139094,,,,,
320000,江苏省,2003,821,123105,,,,,
320000,江苏省,2002,930,152941,,,,,
320000,江苏省,2001,948,156737,,,,,
320000,江苏省,2000,990,195820,,,,,
330000,浙江省,2019,16332,463844,63679.92,3091.8053,68015.9901,5312.3893,2446.5775
330000,浙江省,2018,13795,419663,51875.0,2826.8,56362.3,4882.9,2063.0
330000,浙江省,2017,12600,402936,45201.2198,2618.0954,48203.1936,4556.8843,2039.8539
330000,浙江省,2016,11678,374349,33685.3318,1935.7895,36346.233,4279.3247,1628.7652
330000,浙江省,2015,11336,387872,32116.0873,2133.3647,34629.6929,4402.8734,1545.4603
330000,浙江省,2014,11157,377490,33992.5266,2221.3162,36722.9209,5029.4924,1507.2272
330000,浙江省,2013,10386,351997,29396.20136,2108.17067,32023.77838,4294.48738,1521.20777
