省份编码,省份,年份,批发业主营业务收入(亿元),批发业主营业务成本(亿元),批发业主营业务税金及附加(亿元),批发业主营业务利润(亿元)
110000,北京市,2019,,,,
110000,北京市,2018,49292.9,45914,104.9,3273.9
110000,北京市,2017,45238.155,42156.6907,93.8429,2987.6214
110000,北京市,2016,38717.8526,36019.4017,75.9419,2622.509
110000,北京市,2015,36948.241,34505.9974,75.7231,2366.5205
110000,北京市,2014,43176.9165,40591.2564,63.7138,2521.9463
110000,北京市,2013,41516.3136,39259.2571,62.5801,2194.4764
110000,北京市,2012,38182.5774,36020.7324,62.1,2099.8
110000,北京市,2011,33293.9746,31085.3435,64.7796,2143.8515
110000,北京市,2010,27376.13033,25412.56887,40.2,1923.3
110000,北京市,2009,19621.45021,18156.47352,26.01926,1438.95671
110000,北京市,2008,19364.2423,17878.3084,42.2456,1443.6883
110000,北京市,2007,13295.29656,12273.91137,19.72847,1001.65672
110000,北京市,2006,10086.5148,9387.3453,9.7601,689.4094
110000,北京市,2005,8089.15203,7479.21449,8.17223,601.76531
110000,北京市,2004,7006.62076,6470.44728,,273.20701
110000,北京市,2003,3007.0188,2803.6763,2.83877,102.37263
110000,北京市,2002,2351.7708,2193.9507,2.5944,80.3969
110000,北京市,2001,1999.7754,1863.5036,2.1081,70.6249
110000,北京市,2000,1898.556,1779.0342,1.7907,60.973
120000,天津市,2019,,,,
120000,天津市,2018,22370.8,21471.8,72.1,826.9
120000,天津市,2017,24309.3898,23611.6172,65.4354,632.3372
120000,天津市,2016,27739.2647,26582.7645,156.0562,1000.444
120000,天津市,2015,26573.5192,25485.0668,173.5682,914.884199999998
120000,天津市,2014,26000.6588,24957.1672,160.6443,882.8473
120000,天津市,2013,22469.59,21500.3904,156.0583,813.1413
120000,天津市,2012,18387.9821,17674.8147,96.7,616.5
120000,天津市,2011,14962.0792,14338.1036,98.7463,525.2293
120000,天津市,2010,10585.92436,10231.56128,12.7,339.9
120000,天津市,2009,7582.40478,7316.7499,8.53973,250.79833
120000,天津市,2008,7841.5652,7495.6018,7.4818,338.3416
120000,天津市,2007,4993.18024,4789.6375,4.83118,175.13295
120000,天津市,2006,4096.1691,3921.6183,2.3295,153.238
120000,天津市,2005,3541.18375,3376.28338,3.31516,120.34533
120000,天津市,2004,2927.56774,2783.54286,,75.97771
120000,天津市,2003,1417.5498,1357.2949,0.77653,27.2605
120000,天津市,2002,1036.1996,992.399,0.804,18.7128
120000,天津市,2001,1007.8443,957.5862,0.6409,18.3224
120000,天津市,2000,758.6605,725.2655,0.3482,16.6095
130000,河北省,2019,,,,
130000,河北省,2018,6281.4,5810.4,75.5,395.5
130000,河北省,2017,6340.1579,5936.9203,72.0427,331.1949
130000,河北省,2016,7047.3614,6671.4949,68.6159,307.2506
130000,河北省,2015,6803.6704,6419.4394,58.2879,325.9431
130000,河北省,2014,8090.1532,7713.2319,34.8127,342.1086
130000,河北省,2013,8238.0311,7864.2463,34.6297,339.1551
130000,河北省,2012,6685.5191,6273.1265,31.9,380.5
130000,河北省,2011,5810.0597,5516.2342,25.7512,268.0743
130000,河北省,2010,3800.94419,3553.24027,19.4,212.3
130000,河北省,2009,2559.27253,2388.72924,11.06002,144.62797
130000,河北省,2008,2879.9008,2651.992,7.7212,210.6302
130000,河北省,2007,1496.08653,1368.27815,2.42577,113.15808
130000,河北省,2006,1227.212,1125.7354,1.8682,94.4919
130000,河北省,2005,1087.6826,982.63499,1.37048,78.15582
130000,河北省,2004,978.3049,881.67526,,74.47364
130000,河北省,2003,694.6269,645.716,0.71582,24.57654
130000,河北省,2002,644.4148,601.5771,0.6006,21.505
130000,河北省,2001,654.2676,611.9896,0.5339,17.0836
130000,河北省,2000,625.6188,582.9553,0.4712,17.3413
140000,山西省,2019,,,,
140000,山西省,2018,7483.4,7086.6,54.1,342.8
140000,山西省,2017,6289.4967,5960.6719,50.7815,278.043299999999
140000,山西省,2016,5967.1525,5705.5514,46.5682,215.0329
140000,山西省,2015,7115.8544,6863.7181,40.5714,211.5649
140000,山西省,2014,8671.6252,8385.5732,25.4973,260.5547
140000,山西省,2013,8903.292,8598.2046,26.3426,278.7448
140000,山西省,2012,7337.297,7314.0434,26.5,-3.2
140000,山西省,2011,5623.0768,5271.0438,27.0059,325.027099999999
140000,山西省,2010,4121.35945,3778.01188,25.0,270.9
140000,山西省,2009,2613.66561,2446.16368,12.88254,161.23328
140000,山西省,2008,2930.8892,2701.5798,11.3751,209.2916
140000,山西省,2007,1572.31187,1401.69426,5.51696,130.95576
140000,山西省,2006,1098.1498,988.1596,3.4604,97.6123
140000,山西省,2005,1021.12697,897.84109,4.21075,94.94415
140000,山西省,2004,1091.83991,968.35605,,93.82501
140000,山西省,2003,397.6742,362.0513,1.03986,18.82776
140000,山西省,2002,322.6382,293.4197,0.8209,13.2941
