省份编码,省份,年份,零售业资产总计(亿元),零售业流动资产合计(亿元),零售业固定资产合计(亿元),零售业负债合计(亿元),零售业所有者权益合计(亿元)
110000,北京市,2019,4970.1008,3948.4153,,3690.9578,1279.143
110000,北京市,2018,4856.9,3768.2,278,3689.9,1167.0
110000,北京市,2017,4641.5306,3509.2217,295.5918,3536.3426,1105.1881
110000,北京市,2016,4516.8892,3380.0092,308.5189,3442.6148,1074.2744
110000,北京市,2015,4212.1653,3073.1898,324.2949,3216.776,995.3893
110000,北京市,2014,4178.6822,3178.2431,291.0673,3217.9323,960.67
110000,北京市,2013,3826.3719,2925.4226,304.3109,2988.5287,837.8432
110000,北京市,2012,3669.5,2819.5,299.5,2862.7,806.8
110000,北京市,2011,2982.2,2221.3,339.9,2193.5,788.7
110000,北京市,2010,2696.6,2098.4,267.4,2097.2,599.5
110000,北京市,2009,2042.2,1423.4,267.2,1469.9,572.3
110000,北京市,2008,1762.7,1186.5,343.8,1262.5,500.2
110000,北京市,2007,1439.5,972.8,283,1026.3,413.2
110000,北京市,2006,1194.3,792.995,281.9,867.9,326.4
110000,北京市,2005,1034.5,670.2,183.4,734.5,300.0
110000,北京市,2004,985.60812,629.11644,174.24397,668.71812,316.89
110000,北京市,2003,602.4,368.3,144.8,403.1,199.3
110000,北京市,2002,492.9707,277.8314,135.5545,317.3425,175.6282
110000,北京市,2001,415.4171,220.1831,129.737,258.5542,
110000,北京市,2000,427.4351,228.6029,134.1377,272.7139,
120000,天津市,2019,1159.8317,767.231,,943.0847,216.747
120000,天津市,2018,1148.6,763.6,144.4,888.6,260.0
120000,天津市,2017,1275.4442,755.3198,160.0452,934.4087,341.0356
120000,天津市,2016,1356.8216,823.3328,175.2728,1001.8629,354.9588
120000,天津市,2015,1202.0297,713.1231,171.7605,871.7641,330.2656
120000,天津市,2014,1200.9484,708.0383,186.1593,849.4295,353.4979
120000,天津市,2013,1080.1296,609.2612,198.1744,752.3709,327.7586
120000,天津市,2012,860.3,565.8,142.6,634.8,225.5
120000,天津市,2011,666.0,452.1,113.4,476.2,189.8
120000,天津市,2010,545.4,373.7,101.5,388.2,157.2
120000,天津市,2009,426.2,269.8,95.4,298.7,127.5
120000,天津市,2008,420.3,282.5,118.9,307.9,112.4
120000,天津市,2007,266.5,177.1,82.5,191.1,75.3
120000,天津市,2006,234.3,140.8,83,164.8,69.5
120000,天津市,2005,196.9,119.3,49.7,142.9,54.0
120000,天津市,2004,200.78305,116.62212,40.97787,131.08294,69.70011
120000,天津市,2003,150.9,80.7,44.8,103.6,47.2
120000,天津市,2002,134.3367,75.7781,38.4298,92.9346,41.4021
120000,天津市,2001,136.2957,75.3985,43.6902,92.4811,
120000,天津市,2000,102.9658,57.2142,33.7695,68.7978,
130000,河北省,2019,2452.4388,1234.1679,,1894.9394,542.8935
130000,河北省,2018,1646.1,1095.3,260.9,1225.5,420.6
130000,河北省,2017,1640.6186,1086.1671,311.9058,1190.284,450.3346
130000,河北省,2016,1667.6073,1137.8204,287.9912,1273.7521,393.8552
130000,河北省,2015,1543.1412,1056.2808,261.1574,1201.3042,341.8371
130000,河北省,2014,1355.42,904.5585,244.8733,1098.7978,256.6222
130000,河北省,2013,1051.7042,705.6129,200.106,834.049,217.6552
130000,河北省,2012,885.2,580.3,168.9,690.2,195.0
130000,河北省,2011,772.9,518.3,148.1,592.1,180.8
130000,河北省,2010,634.4,422.8,128.7,497.3,137.1
130000,河北省,2009,449.5,281.9,112.1,349.2,100.3
130000,河北省,2008,387.1,227.7,130.7,299.0,88.1
130000,河北省,2007,262.0,149.7,96.1,203.4,58.6
130000,河北省,2006,253.3,142.7,96.7,200.7,52.6
130000,河北省,2005,232.6,131.8,71.4,185.4,47.2
130000,河北省,2004,205.59902,111.97627,66.29764,158.58365,47.01537
130000,河北省,2003,162.4,81.4,67.6,124.9,37.5
130000,河北省,2002,149.2203,69.6091,66.485,114.5497,34.6706
130000,河北省,2001,148.5834,71.0416,65.6413,111.9501,
130000,河北省,2000,141.7142,64.7984,54.1138,110.1548,
140000,山西省,2019,1095.1669,712.0723,,902.6677,195.1117
140000,山西省,2018,1098.0,717.9,210.8,883.2,221.9
140000,山西省,2017,1187.4324,824.6277,216.4425,936.6823,250.75
140000,山西省,2016,1157.5097,751.7566,228.3834,886.7736,270.7361
140000,山西省,2015,1077.3446,721.8657,212.2133,840.1791,237.1655
140000,山西省,2014,1063.4554,718.612,204.1608,830.5089,232.9466
140000,山西省,2013,1039.6056,703.8125,181.4844,793.4091,246.1965
140000,山西省,2012,833.1,591.8,133.1,627.8,202.0
140000,山西省,2011,694.0,474.3,125.7,530.2,166.1
140000,山西省,2010,540.7,358.4,104.7,403.2,137.5
140000,山西省,2009,384.5,241.5,88.9,290.6,93.9
140000,山西省,2008,342.2,185.2,122.2,252.1,90.1
140000,山西省,2007,221.2,142.6,69.6,173.9,47.3
140000,山西省,2006,198.2,119.0,60.3,160.4,37.8
