省份编码,省份,年份,零售业法人企业单位数(个),零售业年末从业人数(人),零售业商品购进总额(亿元),零售业进口额(亿元),零售业商品销售总额(亿元),零售业出口额(亿元),零售业商品库存总额(亿元)
110000,北京市,2019,2502,293780,8811.6433,261.7747,9450.7095,1.2481,770.6182
110000,北京市,2018,1862,297344,7846.0,279.9,8651.1,1.5,693.2
110000,北京市,2017,1875,320822,7468.6254,212.3578,8113.4498,1.5565,697.8897
110000,北京市,2016,1923,362653,7491.0777,200.5517,7884.6194,1.1604,627.1466
110000,北京市,2015,1963,348467,7394.5273,167.5971,8139.8053,32.8907,635.7609
110000,北京市,2014,2818,356150,7928.5269,189.9147,8679.0939,29.8471,701.6899
110000,北京市,2013,2490,349580,7001.50007,164.60615,7693.78817,3.7936,768.26418
110000,北京市,2012,2726,350491,6308.1,247.6,6990.9,2.7,634.2
110000,北京市,2011,2870,332939,5358.6,119.7,5950.8,1.3,579.0
110000,北京市,2010,3019,296805,4808.9,103.8,5302.7,2.3,451.2
110000,北京市,2009,3142,276765,3693.2,67.8,4108.5,2.9,355.0
110000,北京市,2008,3201,274651,3259.7,,3553.9,,328.2
110000,北京市,2007,2595,227229,,,,,
110000,北京市,2006,2407,207144,,,,,
110000,北京市,2005,2586,209681,,,,,
110000,北京市,2004,3017,220794,,,,,
110000,北京市,2003,1120,144910,,,,,
110000,北京市,2002,1197,157241,,,,,
110000,北京市,2001,903,155780,,,,,
110000,北京市,2000,1276,200383,,,,,
120000,天津市,2019,1015,74409,1972.3825,47.6355,2199.0713,2.1248,242.7669
120000,天津市,2018,877,77900,1953.7,79.5,2192.2,,191.3
120000,天津市,2017,955,86781,1864.6599,127.9277,2291.7062,0.2957,162.505
120000,天津市,2016,1185,96928,2558.3435,59.1875,3065.6114,2.137,161.4451
120000,天津市,2015,1181,101068,2114.0275,125.1468,2536.8589,0.3843,168.0029
120000,天津市,2014,1157,104925,2145.2662,97.2799,2413.2092,0.7128,182.6448
120000,天津市,2013,1092,107905,2002.63842,70.64393,2270.16324,1.42831,156.66716
120000,天津市,2012,1015,101609,1855.6,64.8,2013.5,3.8,189.2
120000,天津市,2011,867,94723,1507.4,26.1,1634.5,1.6,115.9
120000,天津市,2010,769,88548,1283.5,39.7,1491.8,1.1,103.4
120000,天津市,2009,680,77802,946.0,19.9,1096.8,,87.9
120000,天津市,2008,624,95189,785.7,,943.2,,75.0
120000,天津市,2007,356,62956,,,,,
120000,天津市,2006,348,59089,,,,,
120000,天津市,2005,407,52322,,,,,
120000,天津市,2004,602,61944,,,,,
120000,天津市,2003,250,47752,,,,,
120000,天津市,2002,337,45913,,,,,
120000,天津市,2001,436,49940,,,,,
120000,天津市,2000,262,47204,,,,,
130000,河北省,2019,2553,247572,2877.4754,59.0983,3494.7269,0.3422,404.3194
130000,河北省,2018,2432,242965,2472.1,47.1,2989.5,,335.4
130000,河北省,2017,2526,255101,2702.6641,61.1954,3101.7937,0.0972,534.1224
130000,河北省,2016,2518,255427,2951.3453,65.3214,3297.5365,3.2391,305.7002
130000,河北省,2015,2389,249668,2771.7692,54.8119,3076.0455,0.3855,444.5595
130000,河北省,2014,2315,241648,2803.8003,69.8104,3051.5261,0.1669,295.1529
130000,河北省,2013,2068,226718,2578.17849,36.75985,2797.55299,0.0821,345.00507
130000,河北省,2012,1888,214019,1800.6,15.9,1922.6,0.1,201.6
