年份,国有控股工业亏损企业亏损总额,煤炭开采和洗选业国有控股工业亏损企业亏损总额,石油和天然气开采业国有控股工业亏损企业亏损总额,黑色金属矿采选业国有控股工业亏损企业亏损总额,有色金属矿采选业国有控股工业亏损企业亏损总额,非金属矿采选业国有控股工业亏损企业亏损总额,其他采矿业国有控股工业亏损企业亏损总额,农副食品加工业国有控股工业亏损企业亏损总额,食品制造业国有控股工业亏损企业亏损总额,饮料制造业国有控股工业亏损企业亏损总额,烟草制品业国有控股工业亏损企业亏损总额,纺织业国有控股工业亏损企业亏损总额,纺织服装、鞋、帽制造业国有控股工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业国有控股工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业国有控股工业亏损企业亏损总额,家具制造业国有控股工业亏损企业亏损总额,造纸及纸制品业国有控股工业亏损企业亏损总额,印刷业和记录媒介的复制国有控股工业亏损企业亏损总额,文教体育用品制造业国有控股工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业国有控股工业亏损企业亏损总额,化学原料及化学制品制造业国有控股工业亏损企业亏损总额,医药制造业国有控股工业亏损企业亏损总额,化学纤维制造业国有控股工业亏损企业亏损总额,橡胶制品业国有控股工业亏损企业亏损总额,塑料制品业国有控股工业亏损企业亏损总额,非金属矿物制品业国有控股工业亏损企业亏损总额,黑色金属冶炼及压延加工业国有控股工业亏损企业亏损总额,有色金属冶炼及压延加工业国有控股工业亏损企业亏损总额,金属制品业国有控股工业亏损企业亏损总额,通用设备制造业国有控股工业亏损企业亏损总额,专用设备制造业国有控股工业亏损企业亏损总额,交通运输设备制造业国有控股工业亏损企业亏损总额,电气机械及器材制造业国有控股工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造国有控股工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业国有控股工业亏损企业亏损总额,工艺品及其他制造业国有控股工业亏损企业亏损总额,废弃资源和废旧材料回收加工业国有控股工业亏损企业亏损总额,电力、热力的生产和供应业国有控股工业亏损企业亏损总额,燃气生产和供应业国有控股工业亏损企业亏损总额,水的生产和供应业国有控股工业亏损企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2285.25194,39.15121,164.93223,14.50703,1.73414,0.36026,,6.98291,9.47174,6.67752,0.23463,8.31835,0.7728,,1.64378,0.00832,18.38814,4.29909,0.14202,680.65379,172.18764,4.05872,10.91855,7.03497,1.98966,22.56369,157.81351,76.67673,4.2693,21.05029,30.74746,98.05436,37.69707,46.14026,1.1757,1.68475,0.183,582.53246,7.09794,43.09792
2010,1133.46201,39.08166,125.20977,1.69202,2.08508,1.05217,,4.12372,10.10375,5.00023,1.5355,10.46957,0.61286,0.08474,2.55735,0.07329,11.05798,4.65457,0.16996,78.90543,122.66011,4.45635,2.10084,3.75934,1.48689,15.79756,94.66336,49.37651,6.60344,11.88641,18.5871,46.47779,12.97808,29.65572,1.53869,1.65436,0.13117,351.20186,7.10973,52.86705
2009,1553.85124,28.40474,144.49208,7.1835,4.18086,1.30908,,4.35457,5.10631,7.56342,0.47165,15.03088,0.58021,0.18807,3.46084,0.29834,23.12837,4.84489,0.42171,66.65629,211.62198,8.01853,10.5635,1.43184,7.10719,29.36822,116.72752,92.06964,7.53331,17.08131,28.03537,65.15465,12.07035,67.1197,1.85596,1.34494,0.66367,504.11733,7.93801,46.35241
2008,3434.8984,28.51307,68.2855,1.66169,3.78403,2.41372,,7.61818,13.05655,7.65361,1.12507,19.60688,1.31182,0.26974,3.38765,0.25242,11.04986,4.62839,1.01524,1520.57255,289.32077,8.79439,43.63542,8.34603,5.50588,30.81157,186.24172,103.14954,5.91169,25.12936,28.91267,60.41814,12.99273,68.54798,1.94422,1.74725,0.45907,799.59834,15.34453,41.88113
2007,890.8016,26.48518,18.89239,1.45604,1.88622,1.38335,,5.70923,2.83306,7.75443,1.07715,14.71508,0.66604,0.16613,3.21689,0.49198,6.31608,4.12831,0.53469,365.72831,38.37018,8.8721,14.80545,1.36082,3.13557,27.40268,11.403,11.61338,5.8589,12.00503,14.62731,53.0828,10.17807,35.96236,2.65276,0.91842,0.00625,134.89359,11.72145,28.49092
