年份,国有控股工业企业应交所得税,煤炭开采和洗选业国有控股工业企业应交所得税,石油和天然气开采业国有控股工业企业应交所得税,黑色金属矿采选业国有控股工业企业应交所得税,有色金属矿采选业国有控股工业企业应交所得税,非金属矿采选业国有控股工业企业应交所得税,其他采矿业国有控股工业企业应交所得税,农副食品加工业国有控股工业企业应交所得税,食品制造业国有控股工业企业应交所得税,饮料制造业国有控股工业企业应交所得税,烟草制品业国有控股工业企业应交所得税,纺织业国有控股工业企业应交所得税,纺织服装、鞋、帽制造业国有控股工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业国有控股工业企业应交所得税,家具制造业国有控股工业企业应交所得税,造纸及纸制品业国有控股工业企业应交所得税,印刷业和记录媒介的复制国有控股工业企业应交所得税,文教体育用品制造业国有控股工业企业应交所得税,石油加工、炼焦及核燃料加工业国有控股工业企业应交所得税,化学原料及化学制品制造业国有控股工业企业应交所得税,医药制造业国有控股工业企业应交所得税,化学纤维制造业国有控股工业企业应交所得税,橡胶制品业国有控股工业企业应交所得税,塑料制品业国有控股工业企业应交所得税,非金属矿物制品业国有控股工业企业应交所得税,黑色金属冶炼及压延加工业国有控股工业企业应交所得税,有色金属冶炼及压延加工业国有控股工业企业应交所得税,金属制品业国有控股工业企业应交所得税,通用设备制造业国有控股工业企业应交所得税,专用设备制造业国有控股工业企业应交所得税,交通运输设备制造业国有控股工业企业应交所得税,电气机械及器材制造业国有控股工业企业应交所得税,通信设备、计算机及其他电子设备制造国有控股工业企业应交所得税,仪器仪表及文化、办公用机械制造业国有控股工业企业应交所得税,工艺品及其他制造业国有控股工业企业应交所得税,废弃资源和废旧材料回收加工业国有控股工业企业应交所得税,电力、热力的生产和供应业国有控股工业企业应交所得税,燃气生产和供应业国有控股工业企业应交所得税,水的生产和供应业国有控股工业企业应交所得税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2703.34705,607.31783,306.85393,44.60166,58.07342,7.87599,,9.46993,8.19529,91.28115,177.3136,3.98685,0.93392,0.34573,0.68666,1.28384,3.21337,9.60268,0.42689,64.367,108.623,33.91029,4.5363,4.00787,3.77495,100.36084,67.89073,79.63688,13.2349,53.49053,48.57624,378.94101,25.64259,41.3982,11.41376,4.20836,1.05508,296.70361,21.33366,8.77851
2010,2372.13493,414.29213,327.90225,23.95589,31.34628,4.39367,,8.88363,4.92465,62.92618,171.77797,4.97207,1.09063,0.37382,0.50077,1.32298,10.76821,9.11055,0.3619,117.67126,65.65791,28.9972,4.47544,2.80001,3.69131,56.05665,99.21742,43.87096,8.32174,49.2101,44.22005,341.26607,41.5142,30.36501,9.09856,3.09697,0.9826,320.96969,12.24827,9.49993
2009,1635.6535,282.78533,175.21785,12.60054,16.28066,3.19193,7e-05,4.45216,5.23636,51.52417,163.63521,1.96533,0.9247,0.25688,0.38354,0.70948,7.1395,8.55384,0.28203,96.6572,53.42237,23.48972,4.28938,3.01552,3.23371,33.07869,64.32832,39.1765,6.68574,38.7932,34.4942,185.60737,25.36127,24.56383,5.50666,1.68405,0.7478,243.74861,8.00313,4.62665
2008,1734.73615,301.6188,351.29363,36.86207,18.81189,7.5423,5e-05,4.93134,5.29793,45.59611,178.54387,2.18647,0.89866,1.0922,0.81426,0.93957,7.69038,7.45974,0.2671,11.18337,68.64418,26.37695,3.28722,1.05674,2.1743,21.90991,113.48596,55.02688,6.14867,38.76813,27.78954,108.95309,20.09078,13.30614,4.89074,1.75243,0.55921,224.11932,6.44097,6.92525
2007,1834.09666,146.00657,270.69213,14.65644,31.33237,3.95779,5e-05,7.2718,6.21235,32.27826,198.91881,3.98996,0.49698,0.16191,0.95511,0.66031,6.23634,8.42357,0.2808,69.63958,76.38717,22.31481,6.88785,2.60338,2.05878,17.62054,242.3395,100.54173,6.23401,36.84037,25.22316,86.91688,19.07381,13.16131,4.46166,1.29062,0.24199,358.14043,4.36567,5.22186
