年份,国有控股工业企业主营业务税金及附加,煤炭开采和洗选业国有控股工业企业主营业务税金及附加,石油和天然气开采业国有控股工业企业主营业务税金及附加,黑色金属矿采选业国有控股工业企业主营业务税金及附加,有色金属矿采选业国有控股工业企业主营业务税金及附加,非金属矿采选业国有控股工业企业主营业务税金及附加,其他采矿业国有控股工业企业主营业务税金及附加,农副食品加工业国有控股工业企业主营业务税金及附加,食品制造业国有控股工业企业主营业务税金及附加,饮料制造业国有控股工业企业主营业务税金及附加,烟草制品业国有控股工业企业主营业务税金及附加,纺织业国有控股工业企业主营业务税金及附加,纺织服装、鞋、帽制造业国有控股工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业国有控股工业企业主营业务税金及附加,家具制造业国有控股工业企业主营业务税金及附加,造纸及纸制品业国有控股工业企业主营业务税金及附加,印刷业和记录媒介的复制国有控股工业企业主营业务税金及附加,文教体育用品制造业国有控股工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业国有控股工业企业主营业务税金及附加,化学原料及化学制品制造业国有控股工业企业主营业务税金及附加,医药制造业国有控股工业企业主营业务税金及附加,化学纤维制造业国有控股工业企业主营业务税金及附加,橡胶制品业国有控股工业企业主营业务税金及附加,塑料制品业国有控股工业企业主营业务税金及附加,非金属矿物制品业国有控股工业企业主营业务税金及附加,黑色金属冶炼及压延加工业国有控股工业企业主营业务税金及附加,有色金属冶炼及压延加工业国有控股工业企业主营业务税金及附加,金属制品业国有控股工业企业主营业务税金及附加,通用设备制造业国有控股工业企业主营业务税金及附加,专用设备制造业国有控股工业企业主营业务税金及附加,交通运输设备制造业国有控股工业企业主营业务税金及附加,电气机械及器材制造业国有控股工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造国有控股工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业国有控股工业企业主营业务税金及附加,工艺品及其他制造业国有控股工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业国有控股工业企业主营业务税金及附加,电力、热力的生产和供应业国有控股工业企业主营业务税金及附加,燃气生产和供应业国有控股工业企业主营业务税金及附加,水的生产和供应业国有控股工业企业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,9053.12,261.45669,1194.76164,18.93114,13.75072,11.75679,,9.27822,4.14867,144.44463,3453.18998,3.32165,0.74797,0.14131,0.97385,0.337,3.44979,2.90434,0.19355,2647.33791,225.90927,12.56838,2.00192,4.60414,2.1656,25.011,73.98001,34.44963,6.05156,22.2822,22.39411,608.25204,17.92865,33.1687,3.98452,1.63416,0.30946,170.52162,6.13027,8.6472
2010,8016.31,212.20494,793.80296,21.16847,11.06574,12.35747,0.01138,9.27611,3.80166,112.23167,2814.78514,3.85478,0.83093,0.14253,1.31064,0.13762,3.53809,2.73119,0.16942,2536.29123,197.4178,10.1518,1.38297,3.95542,1.32186,21.47821,108.52202,37.51482,6.60441,40.71453,24.94029,781.28971,28.05473,27.52657,4.53537,3.42159,0.25858,163.89462,4.98797,8.6271
2009,6199.11,168.98178,251.36914,19.90035,7.52702,8.45624,8e-05,10.00488,3.18051,90.7282,2268.4372,3.13096,0.58988,0.12699,1.48724,0.0631,2.95169,2.42121,0.14359,2260.62656,162.68375,8.73252,1.86899,3.69355,2.31298,19.30332,89.26229,32.17437,4.86657,18.32179,20.14893,529.08995,21.94359,22.25899,2.46679,0.73017,1.56589,144.37363,5.8157,7.37457
2008,3882.05,139.97166,553.54351,13.23731,7.42169,6.26892,6e-05,6.24668,4.16211,74.70636,1840.12849,2.91337,0.63581,0.2397,1.31585,0.06956,3.21027,2.37425,0.17149,363.46852,61.85286,8.50499,1.66348,3.64995,1.40188,17.98566,135.25631,48.81797,4.68774,13.07166,14.30998,353.26693,13.65571,12.08939,2.57986,0.74054,1.47418,156.7545,4.04081,6.15941
