年份,国有控股工业企业所有者权益合计,煤炭开采和洗选业国有控股工业企业所有者权益合计,石油和天然气开采业国有控股工业企业所有者权益合计,黑色金属矿采选业国有控股工业企业所有者权益合计,有色金属矿采选业国有控股工业企业所有者权益合计,非金属矿采选业国有控股工业企业所有者权益合计,其他采矿业国有控股工业企业所有者权益合计,农副食品加工业国有控股工业企业所有者权益合计,食品制造业国有控股工业企业所有者权益合计,饮料制造业国有控股工业企业所有者权益合计,烟草制品业国有控股工业企业所有者权益合计,纺织业国有控股工业企业所有者权益合计,纺织服装、鞋、帽制造业国有控股工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业所有者权益合计,家具制造业国有控股工业企业所有者权益合计,造纸及纸制品业国有控股工业企业所有者权益合计,印刷业和记录媒介的复制国有控股工业企业所有者权益合计,文教体育用品制造业国有控股工业企业所有者权益合计,石油加工、炼焦及核燃料加工业国有控股工业企业所有者权益合计,化学原料及化学制品制造业国有控股工业企业所有者权益合计,医药制造业国有控股工业企业所有者权益合计,化学纤维制造业国有控股工业企业所有者权益合计,橡胶制品业国有控股工业企业所有者权益合计,塑料制品业国有控股工业企业所有者权益合计,非金属矿物制品业国有控股工业企业所有者权益合计,黑色金属冶炼及压延加工业国有控股工业企业所有者权益合计,有色金属冶炼及压延加工业国有控股工业企业所有者权益合计,金属制品业国有控股工业企业所有者权益合计,通用设备制造业国有控股工业企业所有者权益合计,专用设备制造业国有控股工业企业所有者权益合计,交通运输设备制造业国有控股工业企业所有者权益合计,电气机械及器材制造业国有控股工业企业所有者权益合计,通信设备、计算机及其他电子设备制造国有控股工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业国有控股工业企业所有者权益合计,工艺品及其他制造业国有控股工业企业所有者权益合计,废弃资源和废旧材料回收加工业国有控股工业企业所有者权益合计,电力、热力的生产和供应业国有控股工业企业所有者权益合计,燃气生产和供应业国有控股工业企业所有者权益合计,水的生产和供应业国有控股工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,109233.21,10828.82581,9294.05267,1650.2665,812.61969,385.81451,,471.37186,316.79765,1535.97363,4646.62408,374.58782,59.64293,20.66155,79.31027,29.99311,481.60784,350.40879,21.58815,4454.44149,5184.59175,1455.58669,241.63434,233.20484,216.80251,2354.32215,9272.5983,3694.50219,560.47623,2244.25777,2730.36205,10401.14889,1776.71298,3627.51477,579.92014,245.38768,24.30191,25647.79414,806.96125,2120.53805
2010,98085.57,8778.43962,9174.58086,1459.61312,695.40566,318.11495,0.17047,510.75912,312.64391,1222.01566,4135.53531,353.70811,61.74412,18.47654,63.57304,24.87229,599.90885,364.81821,21.49755,3997.30876,5049.82958,1283.47037,260.501,210.15886,195.58972,1912.73866,9010.88648,3262.21454,475.18248,2061.06959,2427.8139,8979.53706,1414.75255,2803.08286,453.06668,169.63332,20.76275,23262.22285,696.03901,2023.83342
2009,85186.57,7039.4315,7852.13777,548.03707,540.61772,211.63878,0.03686,409.79393,282.98908,1079.1164,3731.66682,331.34652,49.66276,11.06538,64.02289,18.59879,426.94149,349.88787,20.17019,3140.35487,4497.53943,1009.07862,240.86562,190.39576,148.48267,1464.8883,9318.99455,2812.27477,391.23215,1873.79427,1735.42801,7247.12617,1053.40678,2405.99195,387.19515,118.76578,56.43712,21676.10011,656.40073,1794.65596
2008,77388.89,5725.27492,7527.30527,708.92735,494.4348,189.28441,0.03663,326.09818,260.19667,925.30201,3364.65667,301.30567,52.9264,27.15654,64.98565,20.29582,528.31717,302.07367,29.38337,3128.87019,4300.77027,988.6215,291.82886,156.91278,173.44783,1402.00202,7937.77689,2621.65866,344.82508,1578.69027,1515.98617,6077.06269,1056.28386,1901.96592,380.16357,82.961,42.94739,20275.34433,555.5492,1727.25847
