年份,国有控股工业企业资产总计,煤炭开采和洗选业国有控股工业企业资产总计,石油和天然气开采业国有控股工业企业资产总计,黑色金属矿采选业国有控股工业企业资产总计,有色金属矿采选业国有控股工业企业资产总计,非金属矿采选业国有控股工业企业资产总计,其他采矿业国有控股工业企业资产总计,农副食品加工业国有控股工业企业资产总计,食品制造业国有控股工业企业资产总计,饮料制造业国有控股工业企业资产总计,烟草制品业国有控股工业企业资产总计,纺织业国有控股工业企业资产总计,纺织服装、鞋、帽制造业国有控股工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业资产总计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业资产总计,家具制造业国有控股工业企业资产总计,造纸及纸制品业国有控股工业企业资产总计,印刷业和记录媒介的复制国有控股工业企业资产总计,文教体育用品制造业国有控股工业企业资产总计,石油加工、炼焦及核燃料加工业国有控股工业企业资产总计,化学原料及化学制品制造业国有控股工业企业资产总计,医药制造业国有控股工业企业资产总计,化学纤维制造业国有控股工业企业资产总计,橡胶制品业国有控股工业企业资产总计,塑料制品业国有控股工业企业资产总计,非金属矿物制品业国有控股工业企业资产总计,黑色金属冶炼及压延加工业国有控股工业企业资产总计,有色金属冶炼及压延加工业国有控股工业企业资产总计,金属制品业国有控股工业企业资产总计,通用设备制造业国有控股工业企业资产总计,专用设备制造业国有控股工业企业资产总计,交通运输设备制造业国有控股工业企业资产总计,电气机械及器材制造业国有控股工业企业资产总计,通信设备、计算机及其他电子设备制造国有控股工业企业资产总计,仪器仪表及文化、办公用机械制造业国有控股工业企业资产总计,工艺品及其他制造业国有控股工业企业资产总计,废弃资源和废旧材料回收加工业国有控股工业企业资产总计,电力、热力的生产和供应业国有控股工业企业资产总计,燃气生产和供应业国有控股工业企业资产总计,水的生产和供应业国有控股工业企业资产总计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,281673.87,27327.48481,17794.29021,3575.55163,1674.54107,722.65302,,1664.40676,842.53611,2696.244,6126.237,993.05981,170.47248,32.91928,213.8074,71.02431,1322.75463,573.82191,43.36026,11100.77561,13077.21581,2683.44659,631.50304,789.05351,489.9189,5896.52736,28354.85682,10347.37972,1415.92694,6661.65923,7335.13824,28901.74076,5636.14894,8144.55165,1143.95938,775.80318,85.74589,75985.32162,1876.38866,4495.64657
2010,247759.86,21907.33248,16125.4073,2884.44809,1384.66214,575.77348,1.0917,1506.51838,880.1988,2135.61765,5438.85547,966.50545,170.9622,34.26561,185.27757,72.35538,1544.87672,600.87335,42.89053,9336.41873,12194.97157,2368.88648,610.46623,699.87785,493.01298,4861.87634,26143.8285,8762.4846,1191.86133,6075.81652,6599.10127,25950.35441,4436.25825,6211.11492,940.26198,456.94889,70.02777,68024.77561,1593.35383,4280.24673
2009,215742.01,18047.8781,14334.55271,1027.51135,1061.86283,448.95805,0.14501,1089.31389,753.63233,1820.86911,4899.25569,882.97298,153.95574,35.20719,176.01388,54.73405,1379.65909,580.92281,41.61347,8060.63278,10872.13841,1928.13841,568.38238,610.11155,407.46349,3766.38264,24942.89875,7295.72823,988.67039,5911.26257,5354.31303,20860.18459,3371.86255,5329.50417,804.0766,357.1736,149.76975,61387.19072,2238.21075,3748.85613
2008,188811.37,14696.76464,12351.8559,1195.24217,942.23317,398.54661,0.1429,946.26716,707.07848,1612.39137,4389.77063,937.67133,149.73767,47.83179,180.71875,48.32736,1333.26367,516.99165,59.46218,7609.64343,9686.00474,1861.29786,668.48751,588.05539,488.61951,3643.26142,21011.33395,6293.10112,836.4225,5217.93284,4670.76038,16450.95622,2899.82103,4701.49312,740.20203,292.01532,119.64603,55742.57838,1261.38781,3514.05368
2007,158187.87,11014.5859,9636.48194,782.28639,805.97743,307.46539,0.14327,887.06848,777.90431,1460.9887,3741.74775,1195.90298,146.88236,29.26234,201.23543,52.94219,892.15634,521.06421,56.68486,6236.31989,8699.0694,1904.62264,850.02665,465.53927,373.47771,2850.42243,17602.95637,5236.16606,757.57371,4522.17201,3450.05174,14446.37181,2349.7102,3553.05847,591.73497,308.37446,27.19408,47578.94386,963.25962,2910.04838
