年份,国有控股工业企业产成品,煤炭开采和洗选业国有控股工业企业产成品,石油和天然气开采业国有控股工业企业产成品,黑色金属矿采选业国有控股工业企业产成品,有色金属矿采选业国有控股工业企业产成品,非金属矿采选业国有控股工业企业产成品,其他采矿业国有控股工业企业产成品,农副食品加工业国有控股工业企业产成品,食品制造业国有控股工业企业产成品,饮料制造业国有控股工业企业产成品,烟草制品业国有控股工业企业产成品,纺织业国有控股工业企业产成品,纺织服装、鞋、帽制造业国有控股工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业产成品,木材加工及木、竹、藤、棕、草制品业国有控股工业企业产成品,家具制造业国有控股工业企业产成品,造纸及纸制品业国有控股工业企业产成品,印刷业和记录媒介的复制国有控股工业企业产成品,文教体育用品制造业国有控股工业企业产成品,石油加工、炼焦及核燃料加工业国有控股工业企业产成品,化学原料及化学制品制造业国有控股工业企业产成品,医药制造业国有控股工业企业产成品,化学纤维制造业国有控股工业企业产成品,橡胶制品业国有控股工业企业产成品,塑料制品业国有控股工业企业产成品,非金属矿物制品业国有控股工业企业产成品,黑色金属冶炼及压延加工业国有控股工业企业产成品,有色金属冶炼及压延加工业国有控股工业企业产成品,金属制品业国有控股工业企业产成品,通用设备制造业国有控股工业企业产成品,专用设备制造业国有控股工业企业产成品,交通运输设备制造业国有控股工业企业产成品,电气机械及器材制造业国有控股工业企业产成品,通信设备、计算机及其他电子设备制造国有控股工业企业产成品,仪器仪表及文化、办公用机械制造业国有控股工业企业产成品,工艺品及其他制造业国有控股工业企业产成品,废弃资源和废旧材料回收加工业国有控股工业企业产成品,电力、热力的生产和供应业国有控股工业企业产成品,燃气生产和供应业国有控股工业企业产成品,水的生产和供应业国有控股工业企业产成品
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7460.19707,422.85884,98.02799,51.90088,80.68444,21.9177,,147.85966,66.03417,121.00156,142.69502,74.94771,20.14727,2.95276,13.5387,2.98852,67.9665,25.46739,4.47302,499.4117,474.79474,147.09468,36.68318,89.51857,35.01449,190.60547,1019.12328,542.00124,104.8804,411.64623,490.71766,1112.02799,393.40211,332.67448,48.64294,83.05982,4.33545,60.43016,15.24853,3.42182
2010,6109.70719,355.23946,104.8156,37.18318,52.09666,16.87814,,152.26513,50.09794,88.22874,139.6409,58.77069,22.18199,3.18226,9.52665,2.50006,51.58517,25.34242,4.42021,352.91546,387.90172,111.43661,31.0355,68.03939,31.37258,142.24736,743.53951,369.34081,85.51414,341.02717,406.92817,1164.30805,306.61997,266.9769,44.017,41.39004,1.68969,29.95348,7.54685,1.95159
2009,5057.3093,298.50024,93.3593,34.04733,43.38021,16.19502,0.03877,93.6933,42.35534,76.5352,103.64552,68.98139,18.94442,3.1373,9.87013,2.27265,45.97991,25.71861,3.64758,321.18258,336.38853,92.47633,26.56347,52.92375,34.04516,133.23304,614.47057,261.96757,72.1078,339.89963,323.02657,804.86678,252.87885,289.54048,39.07433,33.96004,6.70273,31.35281,8.42375,1.92231
2008,5094.66942,289.7301,94.56463,19.95246,28.97362,18.11835,0.0286,82.10945,42.35305,80.04243,175.38388,88.99875,21.68177,5.69385,13.9719,1.74805,61.78168,22.47551,5.4132,274.54056,398.2056,94.7273,32.05285,60.31379,26.7172,138.04464,665.15223,231.04715,60.61108,333.33419,342.94637,715.6092,222.97188,349.26494,42.34285,15.75203,4.2211,27.84464,4.53678,1.41176
2007,4166.55307,183.2817,84.10902,16.47759,25.20836,14.87788,0.02064,77.63224,30.0746,71.57308,60.85081,107.23694,17.3225,3.20595,12.07077,2.52794,25.01474,25.9628,4.22653,266.42926,305.54289,98.67689,35.24172,39.55758,32.77905,107.79624,562.31482,216.95138,52.78089,249.93836,252.31987,641.98683,219.74119,215.83106,36.26953,17.91779,3.07018,44.72041,3.4442,1.56884
2006,3630.9,177.42,75.76,10.74,31.86,18.23,0.02,59.82,35.67,70.98,53.96,108.44,17.63,2.55,14.56,2.38,36.25,20.98,4.26,213.85,269.02,84.22,29.61,38.36,25.86,102.77,442.02,185.35,49.71,239.24,217.3,533.34,192.81,186.65,35.18,13.89,0.2,23.87,4.52,1.62
