年份,国有控股工业企业存货,煤炭开采和洗选业国有控股工业企业存货,石油和天然气开采业国有控股工业企业存货,黑色金属矿采选业国有控股工业企业存货,有色金属矿采选业国有控股工业企业存货,非金属矿采选业国有控股工业企业存货,其他采矿业国有控股工业企业存货,农副食品加工业国有控股工业企业存货,食品制造业国有控股工业企业存货,饮料制造业国有控股工业企业存货,烟草制品业国有控股工业企业存货,纺织业国有控股工业企业存货,纺织服装、鞋、帽制造业国有控股工业企业存货,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业存货,木材加工及木、竹、藤、棕、草制品业国有控股工业企业存货,家具制造业国有控股工业企业存货,造纸及纸制品业国有控股工业企业存货,印刷业和记录媒介的复制国有控股工业企业存货,文教体育用品制造业国有控股工业企业存货,石油加工、炼焦及核燃料加工业国有控股工业企业存货,化学原料及化学制品制造业国有控股工业企业存货,医药制造业国有控股工业企业存货,化学纤维制造业国有控股工业企业存货,橡胶制品业国有控股工业企业存货,塑料制品业国有控股工业企业存货,非金属矿物制品业国有控股工业企业存货,黑色金属冶炼及压延加工业国有控股工业企业存货,有色金属冶炼及压延加工业国有控股工业企业存货,金属制品业国有控股工业企业存货,通用设备制造业国有控股工业企业存货,专用设备制造业国有控股工业企业存货,交通运输设备制造业国有控股工业企业存货,电气机械及器材制造业国有控股工业企业存货,通信设备、计算机及其他电子设备制造国有控股工业企业存货,仪器仪表及文化、办公用机械制造业国有控股工业企业存货,工艺品及其他制造业国有控股工业企业存货,废弃资源和废旧材料回收加工业国有控股工业企业存货,电力、热力的生产和供应业国有控股工业企业存货,燃气生产和供应业国有控股工业企业存货,水的生产和供应业国有控股工业企业存货
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,27478.60934,1160.54145,606.99392,146.75694,161.89209,46.29886,,334.4322,116.75882,466.74759,2264.91538,151.36727,39.37649,5.62196,32.112,5.96076,176.77476,73.5073,10.55392,2164.89363,1253.57656,362.78038,79.76112,149.30537,82.90351,523.78038,4036.88425,2227.82112,287.59449,1560.47239,1458.2773,3954.72957,1023.54633,1019.602,188.17569,225.18237,8.03528,969.65315,66.92879,34.09395
2010,23692.65067,955.71853,526.09932,98.97716,127.65895,34.78292,,331.68538,103.82611,344.21788,1891.7591,148.9547,38.09868,5.88247,27.03872,5.67689,159.62351,74.87532,10.97117,1673.39159,1116.96963,310.33437,81.8043,128.52311,76.42199,419.423,3813.46731,1889.1549,254.24317,1411.34925,1245.88636,3555.13767,770.67283,857.05003,161.85491,111.46575,5.81256,837.01268,49.42387,37.40458
2009,19373.62358,782.10856,497.61114,62.11677,110.09103,29.45444,0.03919,207.71665,85.04079,315.77446,1676.07771,136.16945,34.67024,6.34754,26.1538,5.73225,117.44848,69.18414,9.87409,1385.43709,898.89333,221.4645,66.97042,97.8939,69.74532,330.14797,3097.06809,1284.22313,191.63777,1245.72514,1144.5072,2827.50183,607.01588,734.87018,133.90191,87.59213,28.57541,643.44528,69.00508,36.39129
2008,18031.62167,717.96999,452.85759,57.95258,97.10954,31.79491,0.02902,186.24896,95.53486,295.42367,1414.43411,157.96279,33.36802,11.13781,38.3541,4.88509,124.67902,70.78858,12.7229,1005.33976,949.67735,242.77859,77.82083,97.7591,59.13025,349.85075,3003.47603,1083.60603,172.77557,1329.86252,1057.74937,2541.03143,517.20097,705.44731,123.7444,57.29167,19.40456,758.6282,47.1769,28.61654
2007,15262.76232,512.2176,353.16976,34.21712,80.7745,24.6168,0.02106,177.66152,97.95366,240.7154,1194.66004,203.55896,34.53453,7.46221,32.86765,6.76023,81.90727,60.3795,10.31222,1058.96235,845.42755,235.01857,99.17853,77.3252,60.63379,255.29206,2635.4229,944.47143,153.93899,1037.25051,753.6162,2218.13071,515.43655,539.47851,93.66865,59.22555,5.38483,461.63655,28.7919,30.68096
2006,12787.5,461.02,334.48,28.74,78.76,28.41,0.02,152.36,81.09,246.28,1078.8,213.51,27.59,6.02,38.86,6.25,94.67,50.82,10.94,807.55,729.28,207.21,90.39,71.38,55.81,253.95,1949.34,831.03,126.15,855.63,618.69,1746.1,454.96,442.26,89.26,43.0,2.09,422.65,26.78,25.39
