年份,国有控股工业企业管理费用,煤炭开采和洗选业国有控股工业企业管理费用,石油和天然气开采业国有控股工业企业管理费用,黑色金属矿采选业国有控股工业企业管理费用,有色金属矿采选业国有控股工业企业管理费用,非金属矿采选业国有控股工业企业管理费用,其他采矿业国有控股工业企业管理费用,农副食品加工业国有控股工业企业管理费用,食品制造业国有控股工业企业管理费用,饮料制造业国有控股工业企业管理费用,烟草制品业国有控股工业企业管理费用,纺织业国有控股工业企业管理费用,纺织服装、鞋、帽制造业国有控股工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业管理费用,木材加工及木、竹、藤、棕、草制品业国有控股工业企业管理费用,家具制造业国有控股工业企业管理费用,造纸及纸制品业国有控股工业企业管理费用,印刷业和记录媒介的复制国有控股工业企业管理费用,文教体育用品制造业国有控股工业企业管理费用,石油加工、炼焦及核燃料加工业国有控股工业企业管理费用,化学原料及化学制品制造业国有控股工业企业管理费用,医药制造业国有控股工业企业管理费用,化学纤维制造业国有控股工业企业管理费用,橡胶制品业国有控股工业企业管理费用,塑料制品业国有控股工业企业管理费用,非金属矿物制品业国有控股工业企业管理费用,黑色金属冶炼及压延加工业国有控股工业企业管理费用,有色金属冶炼及压延加工业国有控股工业企业管理费用,金属制品业国有控股工业企业管理费用,通用设备制造业国有控股工业企业管理费用,专用设备制造业国有控股工业企业管理费用,交通运输设备制造业国有控股工业企业管理费用,电气机械及器材制造业国有控股工业企业管理费用,通信设备、计算机及其他电子设备制造国有控股工业企业管理费用,仪器仪表及文化、办公用机械制造业国有控股工业企业管理费用,工艺品及其他制造业国有控股工业企业管理费用,废弃资源和废旧材料回收加工业国有控股工业企业管理费用,电力、热力的生产和供应业国有控股工业企业管理费用,燃气生产和供应业国有控股工业企业管理费用,水的生产和供应业国有控股工业企业管理费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,10623.05794,1704.91699,756.95897,124.65132,114.23761,37.79062,,73.53442,40.08204,129.8796,377.97849,42.55627,16.48916,2.48037,16.83011,6.23832,50.2027,53.52129,3.52944,611.01563,571.50514,170.80782,24.72461,33.35212,21.10782,224.17848,957.62702,350.61453,71.3649,361.2131,392.02524,1496.62062,224.73136,422.76176,87.94475,43.9615,3.02504,829.43201,59.9696,113.19717
2010,9714.52385,1541.54603,660.25655,79.49269,92.03753,31.55396,0.08713,84.95397,35.66851,107.14091,360.26689,42.80045,18.45669,1.41334,12.47381,7.2576,54.28816,55.23089,3.47362,562.29316,514.13714,159.95722,21.84151,39.47211,18.79714,180.16037,922.39061,283.35532,64.36194,361.97872,364.5168,1408.03601,199.19368,320.51846,78.34028,23.96402,2.24736,832.40466,49.70251,118.4561
2009,8002.7768,1174.47161,639.95827,57.35279,60.1722,28.64814,0.00976,46.5037,33.0213,94.47396,340.37477,34.85577,11.93652,2.77126,8.34494,5.59027,35.21549,51.741,3.54532,433.58701,458.24573,123.34668,27.66012,27.18805,18.61191,143.01231,734.21553,214.70839,55.50438,291.06478,299.82973,1098.60207,163.60144,327.26813,63.30689,19.40063,5.73977,719.86538,45.56412,103.46668
2008,7378.60841,1210.76301,479.89261,64.7385,63.36468,30.53831,0.01008,40.05297,34.84434,75.66824,304.14884,42.38284,11.83982,3.12502,10.2114,4.28827,30.76593,48.91791,4.70236,515.3523,457.45833,125.99554,31.88714,23.33175,19.83593,134.86654,689.59362,202.66723,47.79604,274.32624,267.2779,859.73537,139.92028,285.76191,57.06593,18.823,4.92418,612.5912,45.30854,103.83431
2007,6349.98236,835.04891,428.08947,44.66042,64.34429,22.28933,0.00724,38.6138,29.78579,65.2073,250.9791,49.31869,11.56786,2.38016,9.5037,4.49731,25.98079,43.33453,4.3181,373.48492,410.4007,125.47297,36.20623,19.77649,15.00028,114.85512,641.51684,209.22987,42.10882,249.9112,218.30473,810.50836,126.13666,205.40263,47.99874,20.9165,1.16384,629.91685,35.40578,86.33804
2006,5293.47,718.98,329.59,34.12,64.23,24.81,0.02,34.53,28.41,64.74,219.94,54.27,9.4,2.13,12.18,3.38,28.86,44.16,4.19,219.88,332.47,113.71,29.5,16.8,23.0,100.97,476.17,189.46,35.48,230.34,191.63,672.07,122.62,173.68,44.83,15.56,0.74,508.0,36.19,82.44
