年份,国有控股工业企业工业销售产值(现价),煤炭开采和洗选业国有控股工业企业工业销售产值(现价),石油和天然气开采业国有控股工业企业工业销售产值(现价),黑色金属矿采选业国有控股工业企业工业销售产值(现价),有色金属矿采选业国有控股工业企业工业销售产值(现价),非金属矿采选业国有控股工业企业工业销售产值(现价),其他采矿业国有控股工业企业工业销售产值(现价),农副食品加工业国有控股工业企业工业销售产值(现价),食品制造业国有控股工业企业工业销售产值(现价),饮料制造业国有控股工业企业工业销售产值(现价),烟草制品业国有控股工业企业工业销售产值(现价),纺织业国有控股工业企业工业销售产值(现价),纺织服装、鞋、帽制造业国有控股工业企业工业销售产值(现价),皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业工业销售产值(现价),木材加工及木、竹、藤、棕、草制品业国有控股工业企业工业销售产值(现价),家具制造业国有控股工业企业工业销售产值(现价),造纸及纸制品业国有控股工业企业工业销售产值(现价),印刷业和记录媒介的复制国有控股工业企业工业销售产值(现价),文教体育用品制造业国有控股工业企业工业销售产值(现价),石油加工、炼焦及核燃料加工业国有控股工业企业工业销售产值(现价),化学原料及化学制品制造业国有控股工业企业工业销售产值(现价),医药制造业国有控股工业企业工业销售产值(现价),化学纤维制造业国有控股工业企业工业销售产值(现价),橡胶制品业国有控股工业企业工业销售产值(现价),塑料制品业国有控股工业企业工业销售产值(现价),非金属矿物制品业国有控股工业企业工业销售产值(现价),黑色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),有色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),金属制品业国有控股工业企业工业销售产值(现价),通用设备制造业国有控股工业企业工业销售产值(现价),专用设备制造业国有控股工业企业工业销售产值(现价),交通运输设备制造业国有控股工业企业工业销售产值(现价),电气机械及器材制造业国有控股工业企业工业销售产值(现价),通信设备、计算机及其他电子设备制造国有控股工业企业工业销售产值(现价),仪器仪表及文化、办公用机械制造业国有控股工业企业工业销售产值(现价),工艺品及其他制造业国有控股工业企业工业销售产值(现价),废弃资源和废旧材料回收加工业国有控股工业企业工业销售产值(现价),电力、热力的生产和供应业国有控股工业企业工业销售产值(现价),燃气生产和供应业国有控股工业企业工业销售产值(现价),水的生产和供应业国有控股工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,217864.52017,15118.91277,11762.82305,1276.38864,1401.05444,461.85735,,2328.97734,797.06621,1947.456,6796.36473,749.35903,183.37938,26.27024,193.65389,88.08656,819.2523,440.70972,36.7032,25183.18982,11200.37027,1688.45152,530.4851,879.48465,430.22636,4174.5553,23490.37946,10070.6475,1326.04822,4999.45353,5123.27641,27419.72719,4313.83853,5057.08873,758.2354,612.31576,98.04223,43915.31425,1372.04837,793.02672
2010,183591.16787,12126.44359,9300.73228,835.97525,1025.70445,332.08687,0.52339,1932.199,797.80031,1474.56934,5810.62576,691.40727,163.96278,25.17487,166.45317,112.21254,815.60729,435.27319,35.98663,20610.72848,9113.37159,1431.99477,424.74478,745.40573,369.07496,3126.69741,20118.19959,7870.11504,1097.64449,4513.35789,4561.75325,25428.19553,3578.33571,4267.16816,631.13135,385.9089,73.24513,37351.08189,1052.47133,757.80391
2009,144544.31281,9500.20895,7076.91143,497.62053,678.09533,257.91659,0.14856,1477.99971,637.46697,1286.3137,4876.42081,582.16259,137.45282,25.79527,133.08466,79.02178,629.2485,378.66498,32.65754,15011.19596,7230.35969,1158.20138,388.76048,584.36795,347.1637,2327.75807,16325.78664,5467.28968,917.59503,4161.21113,3941.113,18960.87403,2753.22363,3743.41281,505.82899,253.48758,217.43955,30545.05686,788.79196,628.20397
2008,140959.59292,8490.06965,9096.49436,655.95425,754.86328,245.31566,0.13109,1267.64513,668.2796,1163.78998,4411.61309,659.45173,129.5532,47.51178,131.03565,62.77464,652.6815,367.2762,38.82276,16240.57702,7655.97495,1167.76085,476.06454,548.66522,389.26014,2144.31931,18422.69245,6081.61218,971.90328,4023.91399,3395.61305,14897.99406,2521.18516,3752.79194,485.19523,223.76081,104.75042,27288.14008,722.53629,601.6184
