年份,国有控股工业企业累计折旧,煤炭开采和洗选业国有控股工业企业累计折旧,石油和天然气开采业国有控股工业企业累计折旧,黑色金属矿采选业国有控股工业企业累计折旧,有色金属矿采选业国有控股工业企业累计折旧,非金属矿采选业国有控股工业企业累计折旧,其他采矿业国有控股工业企业累计折旧,农副食品加工业国有控股工业企业累计折旧,食品制造业国有控股工业企业累计折旧,饮料制造业国有控股工业企业累计折旧,烟草制品业国有控股工业企业累计折旧,纺织业国有控股工业企业累计折旧,纺织服装、鞋、帽制造业国有控股工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业国有控股工业企业累计折旧,家具制造业国有控股工业企业累计折旧,造纸及纸制品业国有控股工业企业累计折旧,印刷业和记录媒介的复制国有控股工业企业累计折旧,文教体育用品制造业国有控股工业企业累计折旧,石油加工、炼焦及核燃料加工业国有控股工业企业累计折旧,化学原料及化学制品制造业国有控股工业企业累计折旧,医药制造业国有控股工业企业累计折旧,化学纤维制造业国有控股工业企业累计折旧,橡胶制品业国有控股工业企业累计折旧,塑料制品业国有控股工业企业累计折旧,非金属矿物制品业国有控股工业企业累计折旧,黑色金属冶炼及压延加工业国有控股工业企业累计折旧,有色金属冶炼及压延加工业国有控股工业企业累计折旧,金属制品业国有控股工业企业累计折旧,通用设备制造业国有控股工业企业累计折旧,专用设备制造业国有控股工业企业累计折旧,交通运输设备制造业国有控股工业企业累计折旧,电气机械及器材制造业国有控股工业企业累计折旧,通信设备、计算机及其他电子设备制造国有控股工业企业累计折旧,仪器仪表及文化、办公用机械制造业国有控股工业企业累计折旧,工艺品及其他制造业国有控股工业企业累计折旧,废弃资源和废旧材料回收加工业国有控股工业企业累计折旧,电力、热力的生产和供应业国有控股工业企业累计折旧,燃气生产和供应业国有控股工业企业累计折旧,水的生产和供应业国有控股工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,74012.68022,5219.33863,9424.75883,327.75998,209.05851,101.64047,,233.59126,207.1699,392.85216,996.28805,222.35074,33.75241,3.32256,72.46469,9.50214,300.69162,245.65629,8.31714,4011.52861,3736.64588,436.4039,210.27643,148.69821,116.49498,1067.13389,7853.04715,1769.52154,185.7919,745.94385,873.10002,4103.23699,557.6771,857.04992,187.82617,98.86822,4.90185,27349.20887,339.70787,1351.10149
2010,63521.57612,4391.52954,7359.52679,207.04009,179.48179,100.06553,,201.47932,188.37094,323.61561,935.19278,202.4769,22.2309,4.12001,53.33129,8.55183,302.25224,241.60911,8.57252,3643.36051,3384.69905,400.37501,193.70527,138.53414,117.78197,837.69863,7204.54879,1520.41577,155.06577,684.93751,769.23705,3685.97354,361.57755,723.28785,151.41865,74.07045,5.39175,23121.14447,377.64486,1241.26034
2009,54397.06998,3570.87793,6731.48072,147.3474,147.58193,83.12105,0.01855,168.06192,133.39224,298.12503,872.20312,211.81086,19.4947,3.73567,41.32731,5.67588,280.36499,210.54378,8.1021,3326.61284,3044.51945,316.56769,178.40204,127.39298,104.42466,704.58887,6097.9326,1354.65892,179.40566,685.79904,634.56469,2844.03436,289.62498,684.58958,111.70575,46.26374,20.94221,19348.1028,280.63781,1083.03413
2008,49054.99877,2725.38223,6365.03386,176.78729,126.79039,76.7362,0.0184,150.45258,135.70888,271.09449,791.02769,258.58918,24.63964,5.50837,52.02596,5.67197,285.23058,213.41889,9.67572,2979.92151,2841.3323,342.01959,224.5392,116.49028,109.79194,686.74134,5188.1954,1075.99917,141.44936,693.41397,610.66739,2405.67962,265.82212,694.47698,88.47065,52.25774,8.33458,17628.95193,233.43811,993.21327
2007,42015.50067,2442.28711,6475.56642,112.69286,113.3544,69.10648,0.01823,137.3245,114.269,250.50691,715.85414,310.6726,21.89306,5.43358,62.33608,6.81347,195.94908,195.87773,9.07721,2301.7807,2446.10943,388.37401,282.07083,86.87207,83.70756,619.53144,4421.33022,934.03867,113.17804,535.28501,445.13238,2165.38227,245.27912,510.82966,82.66691,38.6798,4.45655,14038.65956,201.46078,831.6428
