年份,国有控股工业企业单位数,煤炭开采和洗选业国有控股工业企业单位数,石油和天然气开采业国有控股工业企业单位数,黑色金属矿采选业国有控股工业企业单位数,有色金属矿采选业国有控股工业企业单位数,非金属矿采选业国有控股工业企业单位数,其他采矿业国有控股工业企业单位数,农副食品加工业国有控股工业企业单位数,食品制造业国有控股工业企业单位数,饮料制造业国有控股工业企业单位数,烟草制品业国有控股工业企业单位数,纺织业国有控股工业企业单位数,纺织服装、鞋、帽制造业国有控股工业企业单位数,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业单位数,木材加工及木、竹、藤、棕、草制品业国有控股工业企业单位数,家具制造业国有控股工业企业单位数,造纸及纸制品业国有控股工业企业单位数,印刷业和记录媒介的复制国有控股工业企业单位数,文教体育用品制造业国有控股工业企业单位数,石油加工、炼焦及核燃料加工业国有控股工业企业单位数,化学原料及化学制品制造业国有控股工业企业单位数,医药制造业国有控股工业企业单位数,化学纤维制造业国有控股工业企业单位数,橡胶制品业国有控股工业企业单位数,塑料制品业国有控股工业企业单位数,非金属矿物制品业国有控股工业企业单位数,黑色金属冶炼及压延加工业国有控股工业企业单位数,有色金属冶炼及压延加工业国有控股工业企业单位数,金属制品业国有控股工业企业单位数,通用设备制造业国有控股工业企业单位数,专用设备制造业国有控股工业企业单位数,交通运输设备制造业国有控股工业企业单位数,电气机械及器材制造业国有控股工业企业单位数,通信设备、计算机及其他电子设备制造国有控股工业企业单位数,仪器仪表及文化、办公用机械制造业国有控股工业企业单位数,工艺品及其他制造业国有控股工业企业单位数,废弃资源和废旧材料回收加工业国有控股工业企业单位数,电力、热力的生产和供应业国有控股工业企业单位数,燃气生产和供应业国有控股工业企业单位数,水的生产和供应业国有控股工业企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,17052.0,882.0,109.0,142.0,264.0,178.0,,614.0,284.0,271.0,117.0,275.0,124.0,15.0,116.0,21.0,127.0,305.0,29.0,215.0,1124.0,419.0,47.0,100.0,198.0,1206.0,312.0,466.0,381.0,833.0,728.0,1141.0,557.0,591.0,251.0,96.0,35.0,3509.0,262.0,708.0
2010,20253.0,856.0,112.0,136.0,264.0,215.0,1.0,803.0,378.0,331.0,116.0,366.0,176.0,25.0,156.0,34.0,180.0,525.0,45.0,218.0,1291.0,507.0,46.0,114.0,273.0,1364.0,333.0,483.0,494.0,1044.0,899.0,1326.0,683.0,689.0,344.0,129.0,40.0,3714.0,251.0,1292.0
2009,20510.0,827.0,109.0,130.0,277.0,231.0,1.0,817.0,368.0,330.0,123.0,424.0,185.0,31.0,168.0,40.0,179.0,551.0,53.0,204.0,1333.0,508.0,56.0,118.0,293.0,1325.0,338.0,460.0,510.0,1074.0,955.0,1379.0,688.0,727.0,369.0,127.0,35.0,3621.0,248.0,1298.0
2008,21313.0,864.0,112.0,132.0,287.0,226.0,1.0,805.0,384.0,326.0,119.0,486.0,206.0,35.0,170.0,39.0,196.0,589.0,61.0,231.0,1407.0,527.0,60.0,122.0,320.0,1413.0,333.0,476.0,510.0,1202.0,1007.0,1428.0,723.0,770.0,358.0,126.0,40.0,3672.0,260.0,1290.0
2007,20680.0,795.0,91.0,111.0,298.0,210.0,1.0,857.0,377.0,366.0,120.0,601.0,221.0,36.0,171.0,45.0,220.0,580.0,55.0,213.0,1377.0,559.0,60.0,122.0,303.0,1333.0,329.0,432.0,486.0,1124.0,973.0,1358.0,694.0,726.0,369.0,139.0,19.0,3481.0,217.0,1211.0
2006,24961.0,884.0,87.0,113.0,307.0,277.0,2.0,1137.0,513.0,456.0,143.0,742.0,212.0,54.0,222.0,78.0,283.0,1001.0,68.0,221.0,1551.0,590.0,76.0,143.0,379.0,1613.0,367.0,436.0,556.0,1392.0,1170.0,1598.0,821.0,762.0,441.0,165.0,17.0,3858.0,227.0,1999.0
2005,27477.0,912.0,102.0,119.0,310.0,297.0,4.0,1393.0,595.0,557.0,153.0,905.0,282.0,72.0,243.0,96.0,374.0,1149.0,92.0,241.0,1696.0,676.0,85.0,184.0,414.0,1835.0,407.0,429.0,655.0,1573.0,1323.0,1732.0,927.0,830.0,490.0,188.0,17.0,3829.0,221.0,2070.0
