年份,国有控股工业企业实收资本,煤炭开采和洗选业国有控股工业企业实收资本,石油和天然气开采业国有控股工业企业实收资本,黑色金属矿采选业国有控股工业企业实收资本,有色金属矿采选业国有控股工业企业实收资本,非金属矿采选业国有控股工业企业实收资本,其他采矿业国有控股工业企业实收资本,农副食品加工业国有控股工业企业实收资本,食品制造业国有控股工业企业实收资本,饮料制造业国有控股工业企业实收资本,烟草制品业国有控股工业企业实收资本,纺织业国有控股工业企业实收资本,纺织服装、鞋、帽制造业国有控股工业企业实收资本,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业实收资本,木材加工及木、竹、藤、棕、草制品业国有控股工业企业实收资本,家具制造业国有控股工业企业实收资本,造纸及纸制品业国有控股工业企业实收资本,印刷业和记录媒介的复制国有控股工业企业实收资本,文教体育用品制造业国有控股工业企业实收资本,石油加工、炼焦及核燃料加工业国有控股工业企业实收资本,化学原料及化学制品制造业国有控股工业企业实收资本,医药制造业国有控股工业企业实收资本,化学纤维制造业国有控股工业企业实收资本,橡胶制品业国有控股工业企业实收资本,塑料制品业国有控股工业企业实收资本,非金属矿物制品业国有控股工业企业实收资本,黑色金属冶炼及压延加工业国有控股工业企业实收资本,有色金属冶炼及压延加工业国有控股工业企业实收资本,金属制品业国有控股工业企业实收资本,通用设备制造业国有控股工业企业实收资本,专用设备制造业国有控股工业企业实收资本,交通运输设备制造业国有控股工业企业实收资本,电气机械及器材制造业国有控股工业企业实收资本,通信设备、计算机及其他电子设备制造国有控股工业企业实收资本,仪器仪表及文化、办公用机械制造业国有控股工业企业实收资本,工艺品及其他制造业国有控股工业企业实收资本,废弃资源和废旧材料回收加工业国有控股工业企业实收资本,电力、热力的生产和供应业国有控股工业企业实收资本,燃气生产和供应业国有控股工业企业实收资本,水的生产和供应业国有控股工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,52603.49791,3441.68263,6053.87813,751.7328,299.15619,129.88019,,222.06694,180.55947,345.39853,890.75628,193.27105,28.9731,3.59652,50.91875,7.28236,355.09571,197.6218,14.58106,3203.8822,3019.05218,554.88114,147.76808,124.94189,123.16119,1293.76556,4089.6321,1763.45853,321.862,983.77752,1178.74106,4395.86034,750.71828,1563.24649,234.57529,120.83327,13.3319,13799.05168,477.92889,1276.57681
2010,46996.71874,3063.41184,5002.61861,603.3786,222.47667,114.56597,0.1,242.25745,172.11093,328.86496,782.95456,205.77598,30.02084,4.13433,48.6731,7.64268,357.23355,195.41311,14.96802,2462.24976,3013.18406,502.2997,143.8065,109.43137,111.06272,1099.91042,3779.63331,1395.69565,286.5453,865.13638,1180.68056,3846.94463,595.55247,1239.17394,193.23355,69.80486,13.60368,13022.18471,417.92128,1252.06269
2009,44822.17882,2744.39388,4482.81611,305.71035,199.72125,113.17634,0.01389,222.68182,169.93249,290.99146,818.55186,224.03447,29.08623,5.02731,50.30958,6.90354,302.70438,195.24891,11.39837,2298.09468,2878.5967,449.25958,245.84466,99.60473,110.11913,948.86067,3859.06192,1334.35556,264.22005,1023.81501,908.99927,3543.8302,492.06844,1127.31428,167.42574,54.76175,30.95001,13275.95346,410.92182,1125.41892
2008,43976.38881,2579.98246,5317.79942,307.23949,190.82211,91.29619,0.01389,217.06168,160.83502,290.68241,749.07131,241.10912,42.99511,6.71866,46.19919,12.78684,296.32065,193.60262,21.10736,2921.56006,2930.75952,476.52966,273.93233,95.76776,120.9183,926.97104,3144.01976,1216.13314,226.46683,796.95379,861.71542,3153.90364,476.18422,1205.93547,217.84748,48.84559,25.51011,12608.44044,403.97668,1078.37404
2007,35172.56202,2078.88968,3387.71593,237.05154,145.34084,67.66477,0.01322,191.9794,142.82924,240.06266,532.93841,278.39193,40.11533,6.47372,57.6933,14.71076,197.38724,173.38719,16.85146,1966.21478,2540.40861,485.61312,308.37132,86.72749,116.62545,731.61311,2397.42611,943.80219,188.77757,752.1391,627.37649,2801.46873,382.1138,863.21504,125.96391,52.43712,7.39376,10746.13412,310.9888,928.25478
