年份,国有控股工业企业主营业务收入,煤炭开采和洗选业国有控股工业企业主营业务收入,石油和天然气开采业国有控股工业企业主营业务收入,黑色金属矿采选业国有控股工业企业主营业务收入,有色金属矿采选业国有控股工业企业主营业务收入,非金属矿采选业国有控股工业企业主营业务收入,其他采矿业国有控股工业企业主营业务收入,农副食品加工业国有控股工业企业主营业务收入,食品制造业国有控股工业企业主营业务收入,饮料制造业国有控股工业企业主营业务收入,烟草制品业国有控股工业企业主营业务收入,纺织业国有控股工业企业主营业务收入,纺织服装、鞋、帽制造业国有控股工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业国有控股工业企业主营业务收入,家具制造业国有控股工业企业主营业务收入,造纸及纸制品业国有控股工业企业主营业务收入,印刷业和记录媒介的复制国有控股工业企业主营业务收入,文教体育用品制造业国有控股工业企业主营业务收入,石油加工、炼焦及核燃料加工业国有控股工业企业主营业务收入,化学原料及化学制品制造业国有控股工业企业主营业务收入,医药制造业国有控股工业企业主营业务收入,化学纤维制造业国有控股工业企业主营业务收入,橡胶制品业国有控股工业企业主营业务收入,塑料制品业国有控股工业企业主营业务收入,非金属矿物制品业国有控股工业企业主营业务收入,黑色金属冶炼及压延加工业国有控股工业企业主营业务收入,有色金属冶炼及压延加工业国有控股工业企业主营业务收入,金属制品业国有控股工业企业主营业务收入,通用设备制造业国有控股工业企业主营业务收入,专用设备制造业国有控股工业企业主营业务收入,交通运输设备制造业国有控股工业企业主营业务收入,电气机械及器材制造业国有控股工业企业主营业务收入,通信设备、计算机及其他电子设备制造国有控股工业企业主营业务收入,仪器仪表及文化、办公用机械制造业国有控股工业企业主营业务收入,工艺品及其他制造业国有控股工业企业主营业务收入,废弃资源和废旧材料回收加工业国有控股工业企业主营业务收入,电力、热力的生产和供应业国有控股工业企业主营业务收入,燃气生产和供应业国有控股工业企业主营业务收入,水的生产和供应业国有控股工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,228900.13,18110.59768,11752.61943,1723.37292,1430.30854,461.68483,,2504.34886,860.40553,2201.61905,6623.50911,875.3979,204.41941,35.7276,188.1872,88.91745,810.93584,452.36723,37.20305,25499.8952,11669.55902,2022.85612,587.43587,976.60153,441.82206,4100.86248,25576.14356,11736.06009,1368.83007,5101.63112,5387.49474,28533.70063,4406.15717,5427.35341,780.86074,659.26307,155.79344,43867.8209,1442.86356,795.50283
2010,194339.68,13960.09659,10131.46599,1182.0956,1160.13506,338.38321,0.60527,2082.61607,842.51379,1625.63916,5592.5436,736.61819,186.94255,30.16232,162.66454,124.33061,847.83358,442.79923,35.55495,20930.49569,9526.72216,1752.30138,521.07945,830.1738,364.05526,3139.00815,22837.64439,9267.35012,1164.16092,4587.2391,4874.4304,26134.6416,3726.9803,4615.19462,660.61055,444.49445,162.91294,37419.85126,1115.97404,781.35556
2009,151700.55,10765.82628,7547.59766,526.80919,808.1604,266.0223,0.05525,1553.32185,664.5703,1447.63511,4838.77135,615.54735,143.75215,26.86838,142.96852,81.66083,625.2206,384.92688,31.73759,15116.83473,7590.58096,1300.75495,424.71007,621.70058,348.32153,2321.34428,18271.83864,6359.93955,972.32417,4200.08463,4117.26085,19285.08352,2777.79838,3943.02456,516.52286,302.1642,239.57243,31014.83239,862.16388,642.23693
2008,147507.9,9279.05975,10731.36845,702.38857,811.10564,261.19229,0.0413,1320.3886,687.27042,1251.27477,4231.22714,688.6997,125.6971,46.71548,145.07591,65.56121,658.25595,367.65358,43.92846,16452.70699,8017.01602,1274.03403,493.08588,597.38157,395.1554,2308.28981,20054.03362,6507.37778,997.04833,3960.71733,3553.14421,15070.67198,2507.40247,3809.9364,491.11908,260.83163,153.75159,27780.23414,799.65687,607.39559
2007,122617.13,6252.50311,8304.69673,376.01227,769.45846,202.43962,0.04772,1416.43546,581.46327,1106.12796,3718.19891,877.97904,130.16924,24.39973,133.18771,69.82393,482.41774,336.50186,35.3087,13603.15846,7214.47095,1218.60679,744.5148,514.85729,294.63359,1641.16998,15591.50936,6027.2184,838.70676,3490.88041,2662.42261,13427.34691,2127.70574,2681.8344,371.17294,231.26438,60.82309,23953.2632,589.13843,515.25689
