年份,国有控股工业企业本年应交增值税,煤炭开采和洗选业国有控股工业企业本年应交增值税,石油和天然气开采业国有控股工业企业本年应交增值税,黑色金属矿采选业国有控股工业企业本年应交增值税,有色金属矿采选业国有控股工业企业本年应交增值税,非金属矿采选业国有控股工业企业本年应交增值税,其他采矿业国有控股工业企业本年应交增值税,农副食品加工业国有控股工业企业本年应交增值税,食品制造业国有控股工业企业本年应交增值税,饮料制造业国有控股工业企业本年应交增值税,烟草制品业国有控股工业企业本年应交增值税,纺织业国有控股工业企业本年应交增值税,纺织服装、鞋、帽制造业国有控股工业企业本年应交增值税,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业本年应交增值税,木材加工及木、竹、藤、棕、草制品业国有控股工业企业本年应交增值税,家具制造业国有控股工业企业本年应交增值税,造纸及纸制品业国有控股工业企业本年应交增值税,印刷业和记录媒介的复制国有控股工业企业本年应交增值税,文教体育用品制造业国有控股工业企业本年应交增值税,石油加工、炼焦及核燃料加工业国有控股工业企业本年应交增值税,化学原料及化学制品制造业国有控股工业企业本年应交增值税,医药制造业国有控股工业企业本年应交增值税,化学纤维制造业国有控股工业企业本年应交增值税,橡胶制品业国有控股工业企业本年应交增值税,塑料制品业国有控股工业企业本年应交增值税,非金属矿物制品业国有控股工业企业本年应交增值税,黑色金属冶炼及压延加工业国有控股工业企业本年应交增值税,有色金属冶炼及压延加工业国有控股工业企业本年应交增值税,金属制品业国有控股工业企业本年应交增值税,通用设备制造业国有控股工业企业本年应交增值税,专用设备制造业国有控股工业企业本年应交增值税,交通运输设备制造业国有控股工业企业本年应交增值税,电气机械及器材制造业国有控股工业企业本年应交增值税,通信设备、计算机及其他电子设备制造国有控股工业企业本年应交增值税,仪器仪表及文化、办公用机械制造业国有控股工业企业本年应交增值税,工艺品及其他制造业国有控股工业企业本年应交增值税,废弃资源和废旧材料回收加工业国有控股工业企业本年应交增值税,电力、热力的生产和供应业国有控股工业企业本年应交增值税,燃气生产和供应业国有控股工业企业本年应交增值税,水的生产和供应业国有控股工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,9406.51,1406.33437,1011.22994,86.33633,67.9736,26.51393,,46.39917,27.33489,144.19775,840.22964,20.83914,4.40691,0.6977,4.26618,3.29902,26.45193,21.62894,1.2638,857.28269,284.89164,100.4726,12.50268,16.03512,10.75781,182.22055,525.05145,239.3333,30.06193,160.08683,148.3783,861.30518,124.84632,261.69816,30.88631,6.73059,11.8482,1717.54222,44.86855,40.30475
2010,8362.0,1151.07037,808.33807,54.35272,49.58151,19.1023,0.00128,43.77123,32.37899,101.87386,672.54553,20.40064,4.92539,0.73759,4.60748,3.37636,33.80332,21.75649,0.70003,866.63744,271.43206,92.93196,12.3559,14.95734,10.57736,133.62936,594.5678,194.98828,37.21709,179.50351,145.30606,925.51213,136.97357,112.75328,29.85608,7.03257,11.62904,1498.50466,24.13449,38.17459
2009,6508.74,876.50719,552.74173,35.75846,29.22132,16.96,0.00069,25.47761,31.14761,90.73196,565.52516,17.83467,3.30909,0.73554,4.62414,3.78918,28.70683,19.64805,1.08251,538.58386,209.71504,76.62079,11.87953,14.85448,11.71216,108.20117,603.06732,150.11539,32.09141,135.96699,106.82921,667.75314,108.13824,58.18979,19.48452,3.08427,3.87453,1291.47348,20.66328,32.6388
2008,6769.35,740.12761,1020.75267,47.6982,34.0336,15.288,0.00056,27.66763,25.78401,79.99102,525.17576,22.62919,4.6411,2.78869,6.13783,1.65765,27.14401,21.50637,1.35408,331.81523,245.55157,75.60323,14.22033,15.53819,12.25494,117.90459,726.25115,206.89535,30.64652,112.15577,73.60861,384.08895,75.82734,99.34252,18.27688,4.93057,4.011,1556.83129,30.13878,29.08204
2007,5951.44,476.94882,745.14138,26.45398,38.87648,14.16864,0.00053,24.1935,23.93845,73.11112,455.02296,27.0649,4.15534,0.77869,6.48766,1.96112,21.97963,18.65788,1.00596,320.10319,256.97625,69.01218,23.12822,11.64688,9.35511,87.08906,713.84514,241.08863,21.7958,112.21418,72.00905,394.15286,64.5395,45.91405,13.51075,3.15238,2.39572,1484.98948,17.98689,26.58745
